age_CE,KR0118B_raw,KR0119A_raw,KR0120A_raw,KR0121B_raw,KR0122B_raw,KR0123B_raw,KR0124B_raw,KR0125A_raw,KR0126B_raw,KR0128A_raw,KR0129B_raw,KR0130B_raw,KR0133B_raw,KR0135B_raw,KR0137B_raw,KR0140A_raw,KR0141B_raw,KR0142B_raw,KR0143A_raw,KR0144A_raw,KR0149A_raw,KR0150A_raw,KR0151B_raw,KR0152B_raw,KR0154A_raw,KR0155B_raw,KR0156B_raw,KR0118B_raw_outlier_flag,KR0119A_raw_outlier_flag,KR0120A_raw_outlier_flag,KR0121B_raw_outlier_flag,KR0122B_raw_outlier_flag,KR0123B_raw_outlier_flag,KR0124B_raw_outlier_flag,KR0125A_raw_outlier_flag,KR0126B_raw_outlier_flag,KR0128A_raw_outlier_flag,KR0129B_raw_outlier_flag,KR0130B_raw_outlier_flag,KR0133B_raw_outlier_flag,KR0135B_raw_outlier_flag,KR0137B_raw_outlier_flag,KR0140A_raw_outlier_flag,KR0141B_raw_outlier_flag,KR0142B_raw_outlier_flag,KR0143A_raw_outlier_flag,KR0144A_raw_outlier_flag,KR0149A_raw_outlier_flag,KR0150A_raw_outlier_flag,KR0151B_raw_outlier_flag,KR0152B_raw_outlier_flag,KR0154A_raw_outlier_flag,KR0155B_raw_outlier_flag,KR0156B_raw_outlier_flag
1964,1.12,0.69,0.54,0.77,0.38,1.31,0.25,0.15,0.63,0.2,1.48,0.56,0.51,0.98,0.28,0.74,1.46,1.46,1.72,0.46,0.39,0.61,0.91,0.81,0.37,0.73,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,1.18,0.9,0.73,1.08,0.5,1.98,0.28,0.24,0.92,0.32,1.87,0.55,0.63,1.03,0.52,0.91,1.33,2,1.72,0.61,0.47,0.74,1.08,1.08,0.67,0.92,0.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,1.49,0.88,0.57,0.81,0.43,1.61,0.22,0.25,0.74,0.24,1.52,0.44,0.62,1.13,0.47,0.69,1.01,2.03,1.6,0.68,0.4,0.66,0.7,1.25,0.52,0.86,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,1.46,1.02,0.7,0.94,0.58,1.5,0.22,0.21,0.81,0.27,1.55,0.77,0.48,1.19,0.45,0.67,1.1,2.63,1.69,0.4,0.29,0.74,0.9,1.37,0.46,0.85,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,0.95,0.99,0.53,0.64,0.43,1.33,0.24,0.16,0.72,0.2,1.01,0.57,0.7,0.98,0.42,0.52,1.08,1.61,1.36,0.47,0.19,0.62,0.71,1.15,0.47,0.42,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,1.01,0.96,0.55,0.75,0.64,1.49,0.29,0.17,0.69,0.23,1.2,0.82,0.61,1.2,0.35,0.66,0.94,1.68,1.02,0.47,0.27,0.75,0.88,1.59,0.58,0.65,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.02,0.78,0.77,0.64,0.86,1.61,0.31,0.19,0.68,0.26,1.28,1.12,0.82,1.03,0.5,1.3,1.45,2.2,1.39,0.49,0.35,0.81,1.03,1.86,0.68,0.98,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,0.76,0.78,0.73,0.64,0.73,1.39,0.29,0.17,0.74,0.31,0.95,0.65,0.59,0.86,0.41,1.06,1.39,1.34,1.44,0.43,0.24,0.64,0.84,1.59,0.52,0.86,0.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,0.64,0.57,0.43,0.66,0.69,1.08,0.08,0.11,0.77,0.11,1.01,0.54,0.39,0.87,0.31,0.81,1.31,1.39,1.68,0.38,0.1,0.55,0.91,1.25,0.4,0.69,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,0.52,0.66,0.45,0.63,0.61,1.39,0.33,0.14,0.8,0.24,1.25,0.94,0.48,0.85,0.32,1.3,1.34,1.13,0.91,0.3,0.19,0.54,0.69,0.96,0.4,0.8,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
