age_CE,KR0118B_raw,KR0119A_raw,KR0120A_raw,KR0121B_raw,KR0122B_raw,KR0123B_raw,KR0124B_raw,KR0125A_raw,KR0126B_raw,KR0128A_raw,KR0129B_raw,KR0130B_raw,KR0133B_raw,KR0135B_raw,KR0137B_raw,KR0140A_raw,KR0141B_raw,KR0142B_raw,KR0143A_raw,KR0144A_raw,KR0149A_raw,KR0150A_raw,KR0151B_raw,KR0152B_raw,KR0154A_raw,KR0155B_raw,KR0156B_raw,KR0118B_raw_outlier_flag,KR0119A_raw_outlier_flag,KR0120A_raw_outlier_flag,KR0121B_raw_outlier_flag,KR0122B_raw_outlier_flag,KR0123B_raw_outlier_flag,KR0124B_raw_outlier_flag,KR0125A_raw_outlier_flag,KR0126B_raw_outlier_flag,KR0128A_raw_outlier_flag,KR0129B_raw_outlier_flag,KR0130B_raw_outlier_flag,KR0133B_raw_outlier_flag,KR0135B_raw_outlier_flag,KR0137B_raw_outlier_flag,KR0140A_raw_outlier_flag,KR0141B_raw_outlier_flag,KR0142B_raw_outlier_flag,KR0143A_raw_outlier_flag,KR0144A_raw_outlier_flag,KR0149A_raw_outlier_flag,KR0150A_raw_outlier_flag,KR0151B_raw_outlier_flag,KR0152B_raw_outlier_flag,KR0154A_raw_outlier_flag,KR0155B_raw_outlier_flag,KR0156B_raw_outlier_flag
1850,1.03,NA,0.78,1.72,0.28,NA,0.35,1,0.57,0.68,0.16,NA,0.53,NA,0.69,NA,0.61,NA,NA,1.06,0.24,0.8,NA,NA,1.04,0.32,0.62,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1851,0.86,NA,1.63,1.5,0.41,NA,0.46,0.62,0.89,0.84,0.15,NA,1.01,NA,0.61,NA,1.02,NA,NA,1.31,0.47,0.58,NA,NA,1.23,0.61,0.76,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1852,0.67,NA,1.57,1.3,0.37,NA,0.39,0.54,0.92,1.21,0.15,NA,0.99,NA,0.6,NA,0.8,NA,NA,0.67,0.47,0.8,NA,NA,1.21,0.39,0.53,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1853,0.52,NA,1.69,1.22,0.24,NA,0.62,0.67,1.27,1.21,0.16,NA,0.93,NA,0.92,NA,1.27,NA,NA,0.79,0.55,0.63,NA,NA,1.3,0.49,0.63,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1854,0.73,NA,1.54,1.78,0.26,NA,0.74,0.65,1.16,0.93,0.15,NA,0.92,0.76,1.07,NA,1.7,NA,NA,0.65,0.42,0.42,NA,NA,1.2,0.47,1.11,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1855,0.72,NA,1.55,2,0.26,NA,0.74,0.61,1.51,0.76,0.19,NA,1.06,0.68,0.91,NA,1.28,NA,NA,0.89,0.63,0.44,NA,NA,1.23,0.58,0.72,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1856,0.68,NA,1.67,1.9,0.45,NA,0.71,0.43,1.33,0.82,0.6,NA,1.29,0.71,0.76,NA,1.39,NA,NA,0.75,0.44,0.9,NA,NA,0.54,0.53,0.51,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1857,0.39,NA,1.57,1.92,0.38,NA,0.6,0.47,1.19,0.79,0.42,NA,1.08,0.5,0.84,NA,1.2,NA,NA,0.55,0.47,0.66,NA,NA,1,0.72,0.4,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1858,0.73,NA,1.81,2.22,0.77,NA,0.65,0.65,1.42,1.12,0.5,NA,1.07,0.56,1.42,NA,1.44,NA,NA,0.72,0.65,1.04,NA,NA,0.66,1.02,0.04,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1859,0.69,NA,1.62,1.96,0.94,NA,0.55,0.63,1.42,1.12,0.45,NA,0.93,0.92,1.07,NA,1.12,NA,NA,0.65,0.44,0.77,NA,NA,0.27,0.86,0.19,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1860,0.92,NA,1.81,1.68,1.09,NA,0.68,0.71,1.61,1.68,0.37,NA,1.63,0.68,1.15,NA,0.86,NA,NA,0.39,0.54,0.5,NA,NA,0.36,1.05,0.29,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1861,0.62,NA,1.56,1.27,1.07,NA,0.61,0.6,1.53,1.47,0.31,NA,2.25,0.64,1.1,NA,0.61,NA,NA,0.5,0.36,0.36,NA,NA,0.6,1.14,0.09,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1862,0.42,NA,1.07,1.01,0.28,NA,0.32,0.59,0.53,0.67,0.41,NA,0.9,0.81,0.89,NA,0.64,NA,NA,0.46,0.35,0.16,NA,NA,0.67,0.46,0.2,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1863,0.45,NA,1.34,1.4,0.83,NA,0.76,0.68,0.96,1.33,0.68,NA,1.76,0.85,0.92,NA,1.04,NA,NA,0.72,0.64,0.27,NA,NA,0.85,0.81,0.23,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1864,0.42,NA,1.36,1.31,0.63,NA,0.38,0.42,0.77,1.14,0.89,NA,0.83,0.46,0.41,NA,0.6,NA,NA,0.43,0.17,0.27,NA,NA,0.57,0.37,0.21,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1865,0.69,NA,2.12,1.27,0.74,NA,0.84,0.62,1.04,1.75,1.41,NA,1.28,1.18,0.74,0.52,0.73,NA,NA,1.29,0.7,0.39,NA,NA,1.05,0.77,0.24,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1866,0.39,0.63,1.56,0.65,0.51,NA,0.55,0.44,0.75,1.07,0.76,NA,1.03,0.61,0.78,0.25,0.5,NA,NA,0.64,0.58,0.37,NA,NA,0.76,0.5,0.18,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1867,0.53,0.9,1.68,0.76,0.79,NA,0.55,0.58,0.69,0.79,0.52,NA,0.89,0.49,0.83,0.45,0.39,NA,NA,0.37,0.3,0.37,NA,NA,0.86,0.55,0.05,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1868,0.32,0.87,1.4,0.97,0.58,NA,0.5,0.42,0.52,0.54,0.4,NA,1.11,0.31,0.64,0.38,0.3,NA,NA,0.31,0.46,0.26,NA,NA,0.99,0.72,0.06,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1869,0.49,0.86,0.93,1.6,0.55,0.47,0.42,0.18,0.34,0.4,0.21,NA,1.06,0.19,0.45,0.49,0.32,NA,NA,0.18,0.27,0.19,NA,NA,1,0.85,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1870,0.89,1.15,1.19,1.41,0.97,0.26,0.36,0.2,0.28,0.32,0.23,NA,1.43,0.27,0.66,0.53,0.33,NA,NA,0.15,0.41,0.1,NA,1.98,1.2,0.94,0.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE
1871,0.54,0.86,0.91,1.17,0.94,0.36,0.24,0.11,0.29,0.26,0.24,NA,1.29,0.14,0.45,0.48,0.21,NA,NA,0.23,0.36,0.26,NA,1.52,0.99,0.57,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1872,0.48,0.9,0.86,1.44,0.93,0.24,0.33,0.18,0.23,0.39,0.22,NA,1.37,0.16,0.52,0.69,0.26,NA,NA,0.25,0.31,0.37,NA,1.17,0.96,0.81,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1873,0.47,1.25,0.91,0.18,0.88,0.27,0.65,0.32,0.49,0.52,0.47,NA,1.43,0.22,0.72,0.57,0.6,NA,NA,0.61,0.5,0.61,NA,1.37,1.01,0.97,0.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1874,0.59,1.19,0.82,1.12,0.9,0.59,0.7,0.42,0.43,0.54,1.12,NA,1.34,0.16,0.46,0.68,0.53,NA,NA,0.73,0.57,0.92,NA,0.99,0.96,0.45,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1875,0.63,0.8,0.75,1.05,0.75,0.73,0.74,0.41,0.42,0.61,0.92,NA,1.12,0.12,0.52,0.55,0.42,NA,NA,0.57,0.71,0.6,NA,0.87,0.84,0.68,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1876,0.58,0.54,0.49,0.56,0.57,0.29,0.41,0.22,0.56,0.47,0.6,NA,0.96,0.13,0.37,0.47,0.32,NA,NA,0.36,0.41,0.4,NA,1.29,0.56,0.58,0.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1877,0.53,1.08,1,1.16,0.87,1.31,0.51,0.55,0.96,1.06,0.91,NA,1.4,0.13,0.83,0.9,0.67,NA,NA,0.18,0.76,0.43,NA,1.23,0.69,0.91,0.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1878,0.52,0.59,1.03,1.42,0.52,0.96,0.26,0.71,0.82,0.74,0.41,NA,1.68,0.13,0.55,0.59,0.42,NA,NA,0.19,0.84,0.31,NA,1.31,0.77,0.98,0.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1879,0.55,0.48,1.1,1.27,0.62,0.89,0.41,0.64,0.83,0.98,0.6,NA,1.43,0.16,0.54,0.62,0.66,NA,NA,0.2,0.84,0.45,NA,0.68,0.96,1.22,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1880,0.44,0.42,0.71,1.19,0.41,0.93,0.24,0.45,0.48,0.76,0.66,NA,1.35,0.15,0.27,0.5,0.38,NA,NA,0.16,0.85,0.2,NA,0.47,0.6,0.97,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1881,0.42,0.52,0.61,0.99,0.4,0.66,0.21,0.44,0.57,0.69,0.65,NA,1.01,0.26,0.29,0.23,0.23,NA,NA,0.19,0.79,0.27,NA,0.51,0.82,0.81,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1882,0.68,0.56,1.11,1.01,0.67,0.6,0.31,0.52,0.58,0.79,0.9,NA,1.28,0.24,0.46,0.34,0.35,NA,NA,0.22,0.78,0.35,NA,0.78,1.05,0.86,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1883,0.79,0.62,0.98,0.99,0.76,0.92,0.4,1.07,0.66,0.8,0.82,NA,1.44,0.25,0.67,0.41,0.82,NA,NA,0.27,1.1,0.36,NA,0.92,0.98,0.97,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1884,0.64,0.73,0.87,1.42,0.68,1.09,0.19,0.57,0.46,0.7,0.49,NA,1.46,0.36,0.48,0.35,0.68,NA,NA,0.25,0.79,0.3,NA,1,1.11,1.17,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1885,0.67,0.85,0.88,1.06,0.75,1.04,0.28,0.85,0.51,0.69,0.61,NA,1.61,0.43,0.54,0.5,0.89,NA,NA,0.25,0.97,0.32,NA,1.03,1.48,1.12,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1886,0.66,0.62,0.84,1.16,1.1,1.07,0.47,0.53,0.66,0.92,0.97,NA,1.7,0.82,0.51,0.49,0.76,NA,NA,0.53,0.98,0.76,NA,0.97,1.61,1.43,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1887,0.46,0.81,0.72,1.07,1.2,1.07,0.52,0.32,0.57,0.7,0.83,NA,1.52,1.07,0.5,0.65,0.56,NA,NA,0.99,1.09,0.61,NA,0.93,1.2,1.11,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1888,0.49,1.49,0.86,1.52,1.31,0.83,0.52,0.32,0.59,0.83,0.63,NA,1.53,0.88,0.57,0.83,0.55,NA,NA,1.38,0.93,0.44,NA,1.04,1.28,1.05,0.54,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1889,0.66,1.05,0.85,1.36,1.24,1.2,0.7,0.36,0.92,1.11,0.82,NA,1.86,0.63,0.69,1.07,0.56,NA,NA,1.54,1.14,0.61,NA,1.13,1.05,1.36,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1890,0.77,1.12,1.3,1.33,1.16,0.87,0.62,0.71,0.64,0.82,1.22,NA,2.1,0.38,0.97,0.59,0.66,NA,NA,1.03,1.18,0.89,NA,1.3,1.45,1.32,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1891,0.8,0.87,1.25,0.98,0.9,1.19,0.49,0.65,0.67,0.59,1.21,0.81,2.02,0.47,0.82,0.63,0.52,NA,NA,0.82,0.94,0.53,NA,1.27,1.41,1.28,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1892,0.54,0.53,0.99,0.77,0.7,0.78,0.27,0.75,0.63,0.45,1.07,0.81,1.47,0.38,0.52,0.63,0.37,NA,0.89,0.82,0.72,0.31,NA,1.06,0.99,0.96,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1893,0.43,0.49,0.68,0.68,0.46,0.99,0.26,0.62,0.48,0.43,1.15,0.61,1.4,0.35,0.6,0.54,0.16,NA,1.19,0.69,0.73,0.25,NA,0.9,0.86,0.94,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1894,0.34,0.99,0.85,0.85,0.52,1.08,0.24,1.01,0.65,0.5,1.03,0.36,1.79,0.34,0.55,0.48,0.25,1.33,0.81,0.45,0.77,0.19,1.17,0.67,0.88,0.84,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1895,0.68,1.03,0.77,0.83,0.62,1.29,0.33,0.79,0.6,0.6,0.74,0.6,1.65,0.39,0.68,0.56,0.28,1.51,0.81,0.47,0.97,0.18,1.51,0.91,1.02,0.88,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1896,0.51,1.06,0.86,0.59,0.48,1.43,0.29,0.54,0.55,0.53,0.55,1.07,1.56,0.19,0.58,0.24,0.41,1.26,0.69,0.46,0.81,0.2,2.13,0.89,0.67,0.78,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1897,0.78,1.14,1.21,0.4,0.65,1.32,0.32,0.35,0.52,0.37,0.72,0.52,1.44,0.16,0.54,0.44,0.3,0.84,1.03,0.33,0.78,0.3,1.5,0.84,0.61,0.89,0.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1898,0.82,1.15,1.46,0.57,0.8,1.39,0.26,0.53,0.66,0.42,0.95,1.06,1.22,0.26,0.55,0.75,0.54,1.12,2.27,0.63,1.02,0.5,1.55,0.94,0.8,1.1,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1899,0.54,0.6,0.88,0.38,0.51,1.12,0.22,0.36,0.44,0.36,0.49,0.57,0.78,0.19,0.51,0.31,0.33,0.95,1.52,0.31,0.81,0.3,0.89,0.58,0.58,0.83,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1900,0.54,0.96,0.94,0.82,0.52,1.48,0.27,0.42,0.56,0.49,0.74,1.1,1.24,0.28,0.61,0.72,0.27,1.3,1.64,0.32,1.11,0.34,1.2,0.85,0.79,0.78,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1901,0.38,1.2,1.32,1.19,0.8,1.11,0.33,0.55,0.77,0.68,1.1,1.09,1.54,0.42,0.86,0.75,0.46,1.41,1.36,0.44,1.21,0.43,1.39,0.85,0.79,1.13,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1902,0.59,0.96,1.07,0.73,0.45,1.08,0.29,0.41,0.66,0.57,1,0.9,1.2,0.31,0.64,0.46,0.5,0.95,1.5,0.41,0.83,0.4,1.11,0.76,0.85,0.85,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1903,0.42,1.02,0.87,0.72,0.47,1.05,0.19,0.44,0.74,0.46,0.81,0.34,1.11,0.4,0.62,0.53,0.46,1.3,2.22,0.48,0.95,0.38,1.33,0.69,0.65,0.88,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1904,0.53,1.08,1.01,1.06,0.82,1.5,0.29,0.71,0.99,0.68,1,0.54,1.4,0.47,0.85,0.52,0.99,1.44,2.04,0.75,0.95,0.56,1.52,0.85,1.14,1.14,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1905,0.64,1.17,0.79,0.71,0.6,1.25,0.3,0.46,0.68,0.59,0.75,0.59,1.23,0.47,0.64,0.25,0.78,1.62,1.61,0.54,0.57,0.33,1.1,0.79,1.17,0.96,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1906,0.44,1.12,0.73,0.57,0.4,1.52,0.29,0.68,0.38,0.52,0.78,0.56,1.35,0.52,0.48,0.66,0.84,1.21,1.54,0.56,0.88,0.43,1.46,0.84,0.93,0.72,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
