age_CE,995012_raw,995014_raw,995022_raw,995024_raw,995042_raw,995044_raw,995052_raw,995054_raw,995062_raw,995064_raw,995072_raw,995074_raw,995082_raw,995084_raw,995092_raw,995094_raw,995102_raw,995104_raw,995112_raw,995114_raw,995012_raw_outlier_flag,995014_raw_outlier_flag,995022_raw_outlier_flag,995024_raw_outlier_flag,995042_raw_outlier_flag,995044_raw_outlier_flag,995052_raw_outlier_flag,995054_raw_outlier_flag,995062_raw_outlier_flag,995064_raw_outlier_flag,995072_raw_outlier_flag,995074_raw_outlier_flag,995082_raw_outlier_flag,995084_raw_outlier_flag,995092_raw_outlier_flag,995094_raw_outlier_flag,995102_raw_outlier_flag,995104_raw_outlier_flag,995112_raw_outlier_flag,995114_raw_outlier_flag
1860,0.78,1,0.45,0.52,0.42,0.34,0.77,0.52,1.5,1.04,0.87,0.81,1.23,1.04,1.19,1,1.65,1.32,0.86,1.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1861,0.59,0.73,0.33,0.4,0.33,0.21,0.67,0.46,1.21,0.93,0.67,0.48,1.17,1.05,1.28,0.69,2.35,1.3,1.2,1.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1862,0.62,0.93,0.41,0.5,0.43,0.32,0.87,0.54,1.37,1.16,0.86,0.67,1.28,1.37,1.39,1.28,2.21,1.44,1.22,1.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1863,0.36,0.46,0.15,0.23,0.29,0.18,0.71,0.4,1.35,0.94,0.58,0.4,1.04,1.07,1.27,1.48,2.06,1.59,0.82,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1864,0.63,0.86,0.46,0.5,0.4,0.31,0.93,0.59,1.47,1.19,0.88,0.67,1.32,1.2,1.32,1.36,2.43,1.81,1.01,1.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1865,0.23,0.45,0.15,0.2,0.24,0.17,0.61,0.39,1.21,1.13,0.67,0.45,0.84,0.87,1.24,1.27,1.9,1.12,0.77,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1866,0.45,0.56,0.29,0.43,0.31,0.21,0.67,0.5,1.56,1.36,0.95,0.77,1.25,1.05,1.39,1.36,2.17,1.05,1.01,1.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1867,0.45,0.6,0.39,0.48,0.41,0.25,0.75,0.49,2.07,1.71,1.25,1.07,1.29,1.23,1.51,1.29,2.66,1.31,0.93,1.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1868,0.8,0.72,0.52,0.59,0.51,0.43,0.82,0.58,2.25,1.79,1.05,0.98,1.52,1.4,1.74,1.24,2.02,1.16,0.96,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1869,0.94,0.82,0.43,0.49,0.35,0.38,0.92,0.63,1.63,1.54,0.88,0.88,1.47,1.33,1.59,1.37,2.15,1.22,1.15,1.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1870,0.76,0.88,0.35,0.49,0.42,0.36,0.82,0.59,1.77,1.89,1.03,0.96,1.54,1.3,1.21,1.21,2.02,1.19,1.17,1.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
