"","Estimate","Std. Error","Pr(>|t|)","V4","V5"
"DD5_sm",0.0505592535570906,0.0110805193606923,1.34039198230805e-05,"SUNR","ABILAS"
"DD5_sp",-0.040346450464898,0.0133423199748558,0.00311746314006392,"SUNR","ABILAS"
"RH_sp",-0.0239199808792409,0.0118862146780296,0.04666523233438,"SUNR","ABILAS"
"PAS",-0.046861257734625,0.0116729440507627,0.000110224894965182,"SUNR","ABILAS"
"prev_DD5_sm",-0.0515910685316715,0.0106587245200022,4.34285167796367e-06,"SUNR","ABILAS"
