"","Estimate","Std. Error","Pr(>|t|)","V4","V5"
"DD5_sm",0.0383987657413648,0.0112057638933631,0.000865292158992498,"SUNR","TSUMER"
"DD5_sp",-0.0244190449532542,0.0135088235822233,0.0734465609180822,"SUNR","TSUMER"
"RH_sp",-0.0258276450622943,0.011988753118963,0.0334374864121985,"SUNR","TSUMER"
"PAS",-0.0716014431858105,0.0118238572228851,2.0680078946255e-08,"SUNR","TSUMER"
"prev_DD5_sm",-0.044766255894356,0.0107644025204092,6.43831193189312e-05,"SUNR","TSUMER"
