"","Estimate","Std. Error","Pr(>|t|)","V4","V5"
"DD5_sm",0.0547093848930902,0.0107115142422497,1.48535907090534e-06,"PARA","ABILAS"
"DD5_sp",-0.0362260921497255,0.013483050690701,0.00840055911353014,"PARA","ABILAS"
"RH_sp",0.00301901759325855,0.0120714938804614,0.803007414208369,"PARA","ABILAS"
"PAS",-0.0588074862968428,0.0118500594819519,2.7277262039442e-06,"PARA","ABILAS"
"prev_DD5_sm",-0.0440216683786209,0.0105686846010608,6.43642997174101e-05,"PARA","ABILAS"
