"","Estimate","Std. Error","Pr(>|t|)","V4","V5"
"DD5_sm",0.0520484772252475,0.00915801060797317,1.15285759201297e-07,"SUNR","ABIAMA"
"DD5_sp",-0.031764487073143,0.0111241908462991,0.00516306402105826,"SUNR","ABIAMA"
"RH_sp",-0.0162576984837891,0.0100373475655803,0.108236008317265,"SUNR","ABIAMA"
"PAS",-0.0647961645682164,0.00975105256656277,1.30903984122969e-09,"SUNR","ABIAMA"
"prev_DD5_sm",-0.0391227479724836,0.00889554006764637,2.58864187857723e-05,"SUNR","ABIAMA"
