Year,Tree,Ring_Width_mm
1973,MDPg1,0.485
1974,MDPg1,0.608
1975,MDPg1,0.902
1976,MDPg1,1.091
1977,MDPg1,0.635
1978,MDPg1,0.872
1979,MDPg1,0.592
1980,MDPg1,0.465
1981,MDPg1,0.55
1982,MDPg1,0.676
1983,MDPg1,0.618
1984,MDPg1,0.587
1985,MDPg1,0.862
1986,MDPg1,1.074
1987,MDPg1,1.118
1988,MDPg1,0.77
1989,MDPg1,0.961
1990,MDPg1,1.041
1991,MDPg1,0.899
1992,MDPg1,0.836
1993,MDPg1,1.067
1994,MDPg1,1.211
1995,MDPg1,1.174
1996,MDPg1,1.214
1997,MDPg1,1.135
1998,MDPg1,0.738
1999,MDPg1,0.95
2000,MDPg1,1.289
2001,MDPg1,1.162
2002,MDPg1,0.675
2003,MDPg1,1.287
2004,MDPg1,1.48
2005,MDPg1,1.375
2006,MDPg1,1.248
2007,MDPg1,1.713
2008,MDPg1,0.719
2009,MDPg1,0.866
2010,MDPg1,0.823
2011,MDPg1,1.094
2012,MDPg1,1.29
2013,MDPg1,0.634
2014,MDPg1,0.846
2015,MDPg1,0.634
2016,MDPg1,0.719
2017,MDPg1,0.74
2018,MDPg1,1.089
1972,MDPg2,0.971
1973,MDPg2,0.462
1974,MDPg2,0.484
1975,MDPg2,0.316
1976,MDPg2,0.556
1977,MDPg2,0.461
1978,MDPg2,0.571
1979,MDPg2,0.464
1980,MDPg2,0.443
1981,MDPg2,0.545
1982,MDPg2,0.8
1983,MDPg2,0.749
1984,MDPg2,0.549
1985,MDPg2,0.592
1986,MDPg2,0.74
1987,MDPg2,0.74
1988,MDPg2,0.824
1989,MDPg2,0.74
1990,MDPg2,0.782
1991,MDPg2,0.808
1992,MDPg2,0.777
1993,MDPg2,0.756
1994,MDPg2,1.223
1995,MDPg2,1.31
1996,MDPg2,1.162
1997,MDPg2,1.163
1998,MDPg2,0.529
1999,MDPg2,0.592
2000,MDPg2,0.825
2001,MDPg2,0.952
2002,MDPg2,0.467
2003,MDPg2,1.376
2004,MDPg2,1.414
2005,MDPg2,1.155
2006,MDPg2,1.44
2007,MDPg2,1.223
2008,MDPg2,0.613
2009,MDPg2,0.952
2010,MDPg2,0.698
2011,MDPg2,1.216
2012,MDPg2,1.131
2013,MDPg2,0.761
2014,MDPg2,0.74
2015,MDPg2,1.565
2016,MDPg2,1.394
2017,MDPg2,1.819
2018,MDPg2,2.219
1977,MDPg3,0.76
1978,MDPg3,1.097
1979,MDPg3,0.97
1980,MDPg3,0.87
1981,MDPg3,1.268
1982,MDPg3,1.268
1983,MDPg3,1.226
1984,MDPg3,1.201
1985,MDPg3,0.739
1986,MDPg3,1.118
1987,MDPg3,1.289
1988,MDPg3,0.929
1989,MDPg3,0.93
1990,MDPg3,1.014
1991,MDPg3,0.486
1992,MDPg3,0.507
1993,MDPg3,0.359
1994,MDPg3,0.359
1995,MDPg3,0.51
1996,MDPg3,0.913
1997,MDPg3,1.06
1998,MDPg3,0.613
1999,MDPg3,0.761
2000,MDPg3,0.888
2001,MDPg3,0.846
2002,MDPg3,0.465
2003,MDPg3,1.205
2004,MDPg3,1.437
2005,MDPg3,0.718
2006,MDPg3,1.437
2007,MDPg3,1.449
2008,MDPg3,0.495
2009,MDPg3,0.359
2010,MDPg3,0.254
2011,MDPg3,0.465
2012,MDPg3,0.972
2013,MDPg3,0.655
2014,MDPg3,0.613
2015,MDPg3,0.994
2016,MDPg3,0.909
2017,MDPg3,1.142
2018,MDPg3,1.627
1970,MDPg4,0.486
1971,MDPg4,0.928
1972,MDPg4,0.228
1973,MDPg4,0.531
1974,MDPg4,0.359
1975,MDPg4,0.95
1976,MDPg4,1.053
1977,MDPg4,1.146
1978,MDPg4,0.981
1979,MDPg4,0.774
1980,MDPg4,0.781
1981,MDPg4,1.035
1982,MDPg4,0.99
1983,MDPg4,0.921
1984,MDPg4,0.909
1985,MDPg4,1.013
1986,MDPg4,0.985
1987,MDPg4,0.407
1988,MDPg4,1.432
1989,MDPg4,0.948
1990,MDPg4,0.948
1991,MDPg4,0.886
1992,MDPg4,0.738
1993,MDPg4,0.591
1994,MDPg4,1.438
1995,MDPg4,1.184
1996,MDPg4,1.055
1997,MDPg4,1.139
1998,MDPg4,0.612
1999,MDPg4,1.115
2000,MDPg4,1.034
2001,MDPg4,1.034
2002,MDPg4,0.697
2003,MDPg4,1.015
2004,MDPg4,1.332
2005,MDPg4,0.613
2006,MDPg4,0.804
2007,MDPg4,0.761
2008,MDPg4,0.528
2009,MDPg4,0.801
2010,MDPg4,0.485
2011,MDPg4,0.949
2012,MDPg4,0.907
2013,MDPg4,0.779
2014,MDPg4,0.8
2015,MDPg4,1.198
2016,MDPg4,1.07
2017,MDPg4,1.619
2018,MDPg4,1.175
1971,MDPg5,0.275
1972,MDPg5,0.591
1973,MDPg5,0.359
1974,MDPg5,0.422
1975,MDPg5,0.422
1976,MDPg5,0.549
1977,MDPg5,0.38
1978,MDPg5,0.74
1979,MDPg5,0.507
1980,MDPg5,0.528
1981,MDPg5,0.443
1982,MDPg5,0.676
1983,MDPg5,0.55
1984,MDPg5,0.507
1985,MDPg5,0.549
1986,MDPg5,0.779
1987,MDPg5,0.359
1988,MDPg5,0.539
1989,MDPg5,0.433
1990,MDPg5,0.592
1991,MDPg5,0.719
1992,MDPg5,0.486
1993,MDPg5,0.402
1994,MDPg5,0.951
1995,MDPg5,0.719
1996,MDPg5,1.099
1997,MDPg5,0.909
1998,MDPg5,0.994
1999,MDPg5,1.1
2000,MDPg5,1.163
2001,MDPg5,1.161
2002,MDPg5,1.076
2003,MDPg5,1.176
2004,MDPg5,1.414
2005,MDPg5,1.688
2006,MDPg5,1.606
2007,MDPg5,1.586
2008,MDPg5,1.31
2009,MDPg5,1.183
2010,MDPg5,1.311
2011,MDPg5,1.622
2012,MDPg5,1.706
2013,MDPg5,1.244
2014,MDPg5,1.5
2015,MDPg5,1.722
2016,MDPg5,1.767
2017,MDPg5,2.259
2018,MDPg5,2.397
1987,MDPg6,1.344
1988,MDPg6,1.519
1989,MDPg6,1.493
1990,MDPg6,1.244
1991,MDPg6,1.239
1992,MDPg6,1.203
1993,MDPg6,1.096
1994,MDPg6,1.88
1995,MDPg6,1.286
1996,MDPg6,1.521
1997,MDPg6,1.023
1998,MDPg6,1.088
1999,MDPg6,1.28
2000,MDPg6,1.477
2001,MDPg6,1.369
2002,MDPg6,1.352
2003,MDPg6,1.628
2004,MDPg6,1.776
2005,MDPg6,1.543
2006,MDPg6,1.241
2007,MDPg6,1.262
2008,MDPg6,1.03
2009,MDPg6,0.858
2010,MDPg6,0.859
2011,MDPg6,1.405
2012,MDPg6,1.593
2013,MDPg6,0.817
2014,MDPg6,1.183
2015,MDPg6,1.882
2016,MDPg6,0.909
2017,MDPg6,1.374
2018,MDPg6,1.101
1980,MDPg7,0.335
1981,MDPg7,0.295
1982,MDPg7,0.528
1983,MDPg7,0.549
1984,MDPg7,0.676
1985,MDPg7,0.566
1986,MDPg7,0.609
1987,MDPg7,0.651
1988,MDPg7,0.647
1989,MDPg7,0.799
1990,MDPg7,0.739
1991,MDPg7,0.748
1992,MDPg7,0.715
1993,MDPg7,0.774
1994,MDPg7,1.132
1995,MDPg7,0.776
1996,MDPg7,1.572
1997,MDPg7,1.144
1998,MDPg7,0.592
1999,MDPg7,0.905
2000,MDPg7,1.204
2001,MDPg7,1.436
2002,MDPg7,1.099
2003,MDPg7,1.392
2004,MDPg7,1.522
2005,MDPg7,1.374
2006,MDPg7,1.205
2007,MDPg7,1.65
2008,MDPg7,1.1
2009,MDPg7,1.015
2010,MDPg7,0.973
2011,MDPg7,1.29
2012,MDPg7,1.578
2013,MDPg7,0.959
2014,MDPg7,1.372
2015,MDPg7,1.351
2016,MDPg7,1.499
2017,MDPg7,1.706
2018,MDPg7,1.47
1978,MDPg8,0.683
1979,MDPg8,0.51
1980,MDPg8,0.363
1981,MDPg8,0.421
1982,MDPg8,0.569
1983,MDPg8,0.655
1984,MDPg8,0.58
1985,MDPg8,0.516
1986,MDPg8,0.613
1987,MDPg8,0.55
1988,MDPg8,0.571
1989,MDPg8,0.576
1990,MDPg8,0.65
1991,MDPg8,0.803
1992,MDPg8,0.781
1993,MDPg8,0.661
1994,MDPg8,1.649
1995,MDPg8,1.81
1996,MDPg8,1.478
1997,MDPg8,1.246
1998,MDPg8,0.676
1999,MDPg8,0.973
2000,MDPg8,0.973
2001,MDPg8,1.057
2002,MDPg8,1.098
2003,MDPg8,1.859
2004,MDPg8,1.374
2005,MDPg8,0.994
2006,MDPg8,1.31
2007,MDPg8,1.543
2008,MDPg8,0.928
2009,MDPg8,1.375
2010,MDPg8,1.226
2011,MDPg8,1.339
2012,MDPg8,1.622
2013,MDPg8,1.247
2014,MDPg8,1.247
2015,MDPg8,1.45
2016,MDPg8,2.039
2017,MDPg8,2.399
2018,MDPg8,2.401
1978,MDPg17,0.798
1979,MDPg17,0.483
1980,MDPg17,0.696
1981,MDPg17,0.758
1982,MDPg17,1.035
1983,MDPg17,0.67
1984,MDPg17,0.715
1985,MDPg17,1.275
1986,MDPg17,0.884
1987,MDPg17,0.952
1988,MDPg17,0.825
1989,MDPg17,0.656
1990,MDPg17,1.066
1991,MDPg17,1.197
1992,MDPg17,1.551
1993,MDPg17,1.298
1994,MDPg17,1.695
1995,MDPg17,1.218
1996,MDPg17,1.395
1997,MDPg17,0.973
1998,MDPg17,0.909
1999,MDPg17,1.882
2000,MDPg17,2.05
2001,MDPg17,2.093
2002,MDPg17,2.422
2003,MDPg17,2.525
2004,MDPg17,2.693
2005,MDPg17,2.377
2006,MDPg17,1.891
2007,MDPg17,2.031
2008,MDPg17,2.002
2009,MDPg17,1.835
2010,MDPg17,0.982
2011,MDPg17,2.064
2012,MDPg17,2.903
2013,MDPg17,1.536
2014,MDPg17,1.732
2015,MDPg17,2.915
2016,MDPg17,2.704
2017,MDPg17,2.704
2018,MDPg17,2.006
1978,MDPg18,0.317
1979,MDPg18,0.211
1980,MDPg18,0.232
1981,MDPg18,0.232
1982,MDPg18,0.38
1983,MDPg18,0.359
1984,MDPg18,0.465
1985,MDPg18,0.317
1986,MDPg18,0.422
1987,MDPg18,0.498
1988,MDPg18,0.423
1989,MDPg18,0.359
1990,MDPg18,0.402
1991,MDPg18,0.38
1992,MDPg18,0.674
1993,MDPg18,0.712
1994,MDPg18,0.694
1995,MDPg18,1.012
1996,MDPg18,0.88
1997,MDPg18,0.63
1998,MDPg18,0.732
1999,MDPg18,1.302
2000,MDPg18,1.517
2001,MDPg18,1.05
2002,MDPg18,1.371
2003,MDPg18,1.289
2004,MDPg18,1.48
2005,MDPg18,1.565
2006,MDPg18,1.351
2007,MDPg18,1.368
2008,MDPg18,1.244
2009,MDPg18,1.173
2010,MDPg18,1.192
2011,MDPg18,1.487
2012,MDPg18,1.916
2013,MDPg18,1.158
2014,MDPg18,1.722
2015,MDPg18,2.62
2016,MDPg18,1.896
2017,MDPg18,3.484
2018,MDPg18,3.294
1975,MDPg19,0.441
1976,MDPg19,0.635
1977,MDPg19,0.338
1978,MDPg19,0.38
1979,MDPg19,0.485
1980,MDPg19,0.402
1981,MDPg19,0.708
1982,MDPg19,0.675
1983,MDPg19,0.612
1984,MDPg19,0.803
1985,MDPg19,1.204
1986,MDPg19,0.908
1987,MDPg19,1.225
1988,MDPg19,1.098
1989,MDPg19,0.612
1990,MDPg19,1.001
1991,MDPg19,0.566
1992,MDPg19,0.609
1993,MDPg19,0.419
1994,MDPg19,0.482
1995,MDPg19,0.651
1996,MDPg19,0.863
1997,MDPg19,0.59
1998,MDPg19,0.548
1999,MDPg19,0.928
2000,MDPg19,0.845
2001,MDPg19,0.734
