tree,n_missing_total,n_missing_1980_on,n_outliers_total
762011_raw,99,0,6
762012_raw,75,0,2
762021_raw,121,0,4
762022_raw,55,0,6
762031_raw,237,0,6
762032_raw,121,0,8
762041_raw,6,0,10
762042_raw,0,0,15
762051_raw,241,0,5
762052_raw,246,0,3
762061_raw,225,0,0
762062_raw,150,0,2
762071_raw,207,0,5
762072_raw,217,0,2
762081_raw,229,0,3
762082_raw,201,0,1
762091_raw,230,0,2
762092_raw,303,0,1
762101_raw,216,0,7
762102_raw,217,0,6
762111_raw,233,0,3
762112_raw,230,0,4
762121_raw,238,0,4
762122_raw,242,0,6
762131_raw,148,0,3
762132_raw,109,0,8
