age_CE,633011_raw,633012_raw,633021_raw,633022_raw,633041_raw,633042_raw,633061_raw,633062_raw,633071_raw,633072_raw,633081_raw,633082_raw,633091_raw,633092_raw,633101_raw,633102_raw,633011_raw_outlier_flag,633012_raw_outlier_flag,633021_raw_outlier_flag,633022_raw_outlier_flag,633041_raw_outlier_flag,633042_raw_outlier_flag,633061_raw_outlier_flag,633062_raw_outlier_flag,633071_raw_outlier_flag,633072_raw_outlier_flag,633081_raw_outlier_flag,633082_raw_outlier_flag,633091_raw_outlier_flag,633092_raw_outlier_flag,633101_raw_outlier_flag,633102_raw_outlier_flag
1887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1895,NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,10.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
1896,NA,NA,NA,NA,NA,NA,3.59,NA,NA,NA,NA,5.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1897,NA,NA,NA,NA,NA,NA,5.33,NA,NA,NA,NA,8.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1898,NA,NA,NA,NA,NA,NA,6.04,NA,NA,NA,NA,4.64,NA,NA,NA,7.56,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1899,NA,NA,NA,NA,NA,NA,6.12,NA,NA,NA,NA,6.2,NA,NA,NA,7.88,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1900,NA,NA,NA,NA,NA,NA,5.78,NA,NA,NA,NA,6.69,NA,NA,NA,7.17,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1901,NA,NA,NA,NA,NA,NA,5.6,7.66,NA,NA,5.68,3.36,NA,NA,NA,6.44,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1902,NA,NA,NA,NA,NA,NA,6.7,6.26,NA,NA,7.28,4.32,NA,NA,NA,7.13,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1903,NA,NA,NA,NA,NA,NA,6.87,5.69,NA,NA,8.01,6.23,NA,NA,NA,12.35,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE
1904,NA,NA,NA,NA,NA,NA,4.96,5.51,NA,NA,6.07,4.22,NA,NA,NA,9.35,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1905,NA,NA,NA,NA,NA,NA,4.62,5.89,NA,NA,7.55,3.13,NA,NA,NA,7.97,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1906,NA,NA,NA,NA,NA,NA,5.61,6.45,NA,NA,8.98,5.11,NA,NA,7.59,6.18,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1907,NA,NA,9.68,8.03,NA,NA,5.55,5.92,NA,NA,7.28,5.46,NA,NA,8.15,6.02,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1908,NA,NA,8.58,8.03,NA,NA,6.25,7.03,NA,NA,8.19,4.59,NA,3.97,7.54,7.12,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
