# Woodhouse and Lukas 2004 TreeFlow Colorado Streamflow Reconstructions
#----------------------------------------------------------------------- 
#               World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available),
# and date accessed when using these downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/6316
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-recon-6316.json
#   Study_Level_JSON_Description: JSON metadata of this file's parent study, which includes all study metadata.
#
# Data_Type: Climate Reconstructions
#
# Dataset_DOI: 10.25921/jrak-de20
#
# Science_Keywords: Streamflow Reconstruction
#-------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/reconstructions/colorado/treeflow/roarfork-noaa.txt
#   Data_Download_Description: NOAA Template File; Roaring Fork at Glenwood Springs Streamflow Reconstruction
#
# Original_Source_URL: 
#   Original_Source_Description: 
#
#-------------------
# Contribution_Date
#   Date: 2005-10-01
#-------------------
# File_Last_Modified_Date
#   Date: 2025-06-12
#-------------------
# Title
#   Study_Name: Woodhouse and Lukas 2004 TreeFlow Colorado Streamflow Reconstructions
#-------------------
# Investigators
#   Investigators: Woodhouse, C.A.(https://orcid.org/0000-0003-0545-9753); Lukas, J.J.; Webb, R.S.
#-------------------
# Description_Notes_and_Keywords
#   Description: Tree-ring-based reconstructions of streamflow at 22 gaging stations in the South Platte River, Arkansas River, Colorado River , and Rio Grande basins of Colorado, USA. For details see the TreeFlow website at: http://treeflow.info/
#-------------------
# Publication
#   Authors: Woodhouse, C.A. and J.J. Lukas
#   Journal_Name: Climatic Change
#   Published_Title: Multi-Century Tree-Ring Reconstructions of Colorado Streamflow for Water Resource Planning.
#   Published_Date_or_Year: 2006-10-01
#   Volume: 78
#   Issue: 2-4
#   Pages: 293-315
#   Report_Number: 
#   DOI: 10.1007/s10584-006-9055-0
#   Full_Citation: 
#   Abstract: Water resource management requires knowledge of the natural variability in streamflow over multiple time scales. Reconstructions of streamflow derived from moisture-sensitive trees extend, in both time and magnitude, the variability provided by relatively short gage records. In this study, we present a network of 14 annual streamflow reconstructions, 300–600 years long, for gages in the Upper Colorado and South Platte River basins in Colorado generated from new and existing tree-ring chronologies. Gages for the reconstruction were selected on the basis of their importance to two of the largest Colorado Front Range water providers, who provided the natural flow data for the calibration with tree-ring data. The reconstruction models explain 63–76% of the variance in the gage records and capture low flows particularly well. Analyses of the reconstructions indicate that the 20th century gage record does not fully represent the range of streamflow characteristics seen in the prior two to five centuries. Multi-year drought events more severe than the 1950s drought have occurred, notably in the 19th century, and the distribution of extreme low flow years is markedly uneven over the past three centuries. When the 14 reconstructions are grouped into Upper Colorado, northern South Platte, and southern South Platte regional flow reconstructions, the three time series show a high degree of coherence, but also time-varying divergences that may reflect the differential influence of climatic features operating in the western U.S. These reconstructions are currently being used by water managers to assess the reliability of water supply systems under a broader range of conditions than indicated by the gage records alone.
#-------------------
# Funding_Agency
#   Funding_Agency_Name: US National Oceanic and Atmospheric Administration (NOAA)
#   Grant_Number: Office of Global Programs, GC02-046, Regional Integrated Sciences and Assessment Program
#-------------------
# Site_Information
#   Site_Name:  Roaring Fork at Glenwood Springs
#   Location: Colorado
#   Northernmost_Latitude: 39.54361
#   Southernmost_Latitude: 39.54361
#   Easternmost_Longitude: -107.3289
#   Westernmost_Longitude: -107.3289
#   Elevation_m: 1744
#-------------------
# Data_Collection
#   Collection_Name:  Roaring Fork at Glenwood Springs streamflow Woodhouse2006
#   First_Year: 1402
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m: 
#   Parameter_Keywords: streamflow
#   Notes: 
#-------------------
# Chronology_Information
#   Chronology:
#-------------------
# Variables 
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Variables format: shortname <tab> what,material,error,units,seasonality,data_type,detail,method, C(har) or N(umeric) data,additional information
## Year	age,,,year Common Era,,climate reconstructions;tree ring,,,N,
## Recon	streamflow,,,acre foot,Oct-Sep,climate reconstructions;tree ring,,,N,
## Gage	streamflow,,,acre foot,Oct-Sep,instrumental,,,N,
#-------------------------------
# Data: 
# Missing_Values: NA
Year	Recon	Gage
1402	944675	NA
1403	835143	NA
1404	1156243	NA
1405	891877	NA
1406	1050259	NA
1407	999818	NA
1408	1045221	NA
1409	1151107	NA
1410	987604	NA
1411	973656	NA
1412	1015800	NA
1413	518289	NA
1414	1453069	NA
1415	417266	NA
1416	679059	NA
1417	715805	NA
1418	920684	NA
1419	890086	NA
1420	1074889	NA
1421	825908	NA
1422	896845	NA
1423	547988	NA
1424	945885	NA
1425	703435	NA
1426	1542952	NA
1427	951016	NA
1428	918289	NA
1429	981966	NA
1430	1204666	NA
1431	1299238	NA
1432	794048	NA
1433	818515	NA
1434	1490946	NA
1435	1236564	NA
1436	1098791	NA
1437	798791	NA
1438	786274	NA
1439	842300	NA
1440	1240389	NA
1441	1245347	NA
1442	417653	NA
1443	1171773	NA
1444	656686	NA
1445	712765	NA
1446	951392	NA
1447	1197490	NA
1448	918035	NA
1449	1182896	NA
1450	866445	NA
1451	1429398	NA
1452	1148527	NA
1453	948100	NA
1454	659083	NA
1455	719545	NA
1456	786366	NA
1457	1035666	NA
1458	965436	NA
1459	790404	NA
1460	574870	NA
1461	865982	NA
1462	1282710	NA
1463	1071434	NA
1464	982824	NA
1465	802775	NA
1466	1172613	NA
1467	1310783	NA
1468	1150759	NA
1469	751459	NA
1470	944485	NA
1471	1074894	NA
1472	891485	NA
1473	1071610	NA
1474	951459	NA
1475	443450	NA
1476	1175294	NA
1477	1193376	NA
1478	998412	NA
1479	846518	NA
1480	788303	NA
1481	878441	NA
1482	912777	NA
1483	887713	NA
1484	1564646	NA
1485	1189098	NA
1486	1283172	NA
1487	1125276	NA
1488	996333	NA
1489	1183499	NA
1490	1208819	NA
1491	1425885	NA
1492	1004367	NA
1493	788893	NA
1494	1319626	NA
1495	348224	NA
1496	543223	NA
1497	1021012	NA
1498	1398103	NA
1499	705284	NA
1500	444937	NA
1501	977735	NA
1502	928127	NA
1503	1053365	NA
1504	1175192	NA
1505	652573	NA
1506	382820	NA
1507	921830	NA
1508	939989	NA
1509	1221889	NA
1510	696893	NA
1511	974397	NA
1512	1098515	NA
1513	1003738	NA
1514	1248167	NA
1515	644625	NA
1516	802872	NA
1517	825187	NA
1518	804825	NA
1519	1046052	NA
1520	872118	NA
1521	1461124	NA
1522	635142	NA
1523	1281441	NA
1524	1133380	NA
1525	912151	NA
1526	1149658	NA
1527	1093534	NA
1528	673884	NA
1529	1099659	NA
1530	1012888	NA
1531	667477	NA
1532	419245	NA
1533	854606	NA
1534	1045095	NA
1535	1111232	NA
1536	1319601	NA
1537	1029774	NA
1538	464158	NA
1539	1048870	NA
1540	1269854	NA
1541	1064590	NA
1542	468114	NA
1543	810963	NA
1544	997832	NA
1545	609707	NA
1546	1208982	NA
1547	985745	NA
1548	1088467	NA
1549	1440919	NA
1550	965494	NA
1551	725198	NA
1552	889008	NA
1553	1183054	NA
1554	1056327	NA
1555	1077715	NA
1556	1332803	NA
1557	1165181	NA
1558	475277	NA
1559	734461	NA
1560	1095540	NA
1561	924690	NA
1562	869966	NA
1563	871001	NA
1564	1194724	NA
1565	1288512	NA
1566	880526	NA
1567	720513	NA
1568	1175239	NA
1569	898267	NA
1570	1107880	NA
1571	942217	NA
1572	1121816	NA
1573	787760	NA
1574	417471	NA
1575	1023118	NA
1576	753966	NA
1577	1279792	NA
1578	1097551	NA
1579	869507	NA
1580	337404	NA
1581	897824	NA
1582	1012459	NA
1583	832357	NA
1584	262644	NA
1585	459877	NA
1586	1094416	NA
1587	747641	NA
1588	1104185	NA
1589	1152890	NA
1590	368986	NA
1591	774898	NA
1592	559161	NA
1593	772963	NA
1594	978138	NA
1595	1256818	NA
1596	1222716	NA
1597	883652	NA
1598	232310	NA
1599	1189631	NA
1600	457636	NA
1601	1111179	NA
1602	1084673	NA
1603	1249306	NA
1604	1386757	NA
1605	1198846	NA
1606	970758	NA
1607	327101	NA
1608	1205946	NA
1609	717562	NA
1610	1272903	NA
1611	1216336	NA
1612	985985	NA
1613	1039821	NA
1614	1234532	NA
1615	1176771	NA
1616	1044648	NA
1617	1257458	NA
1618	1269664	NA
1619	870043	NA
1620	1035820	NA
1621	1295692	NA
1622	503181	NA
1623	712060	NA
1624	766222	NA
1625	572582	NA
1626	771195	NA
1627	1033100	NA
1628	912294	NA
1629	847716	NA
1630	1154999	NA
1631	719198	NA
1632	511275	NA
1633	1238557	NA
1634	461460	NA
1635	926112	NA
1636	948175	NA
1637	1074235	NA
1638	763512	NA
1639	1146142	NA
1640	1125240	NA
1641	867007	NA
1642	1095133	NA
1643	812872	NA
1644	936982	NA
1645	537747	NA
1646	653443	NA
1647	1103782	NA
1648	866081	NA
1649	1164857	NA
1650	1258349	NA
1651	1000533	NA
