"","State","Species","Band","Pair","Comp","Tag","PairUn","Lat","Long","Elev","Aspect","Slope","DBH","Bark","Height","BA_totLR","BA_totLRsc","in5_tot","in5_totsc","N_Cr","N_Crsc","ACF","ACFsc","BAI10yr"
"1","CO","ABLA","H",1,"H","ABLA-H-01H","H1",37.45735,108.083816,3450,"255",19.5,33.1,1.1,18.088,65,-1.152039891,4,-0.461750892,3,0.219697512,0.742647059,0.103227976,848.1033513
"2","CO","ABLA","H",1,"L","ABLA-H-01L","H1",37.45758,108.08465,3452,"230",17,45.5,2,13.26,85,-0.904879962,1,-1.052616963,0,-1.524959204,0.871794872,0.73905715,1054.04623
"3","CO","ABLA","H",2,"H","ABLA-H-02H","H2",37.45622,108.08311,3498,"230",15,26.2,1.5,13.5,70,-1.090249909,6,-0.067840178,3,0.219697512,0.7,-0.106734884,684.996191
"4","CO","ABLA","H",2,"L","ABLA-H-02L","H2",37.45635,108.08355,3496,"230",10,19.4,1.5,7.86,50,-1.337409837,2,-0.855661606,0,-1.524959204,1,1.370245236,591.8139521
"5","CO","ABLA","H",3,"H","ABLA-H-03H","H3",37.46169,108.08877,3458,"SSW",30,23.5,1.8,10.278,40,-1.460989802,3,-0.658706249,1,-0.943406965,1,1.370245236,531.7164514
"6","CO","ABLA","H",3,"L","ABLA-H-03L","H3",37.46117,108.08751,3447,"SSW",30,21,1.1,9.468,25,-1.646359748,1,-1.052616963,0,-1.524959204,1,1.370245236,336.6348711
"7","CO","ABLA","H",4,"H","ABLA-H-04H","H4",37.46403,108.08882,3473,"S",35,27.8,1.9,11.913,40,-1.460989802,2,-0.855661606,2,-0.361854726,1,1.370245236,412.8145011
"8","CO","ABLA","H",4,"L","ABLA-H-04L","H4",37.46393,108.08939,3440,"S",13,30.5,2.1,13.032,20,-1.708149731,0,-1.24957232,0,-1.524959204,1,1.370245236,733.1637408
"9","CO","ABLA","H",5,"H","ABLA-H-05H","H5",37.4705,108.09035,3479,"WSW",50,31.1,1.5,16.224,40,-1.460989802,8,0.326070535,2,-0.361854726,0.731755424,0.04960555,622.1883327
"10","CO","ABLA","H",5,"L","ABLA-H-05L","H5",37.47036,108.0904,3466,"WSW",38,32.1,1.8,13.072,15,-1.769939713,1,-1.052616963,0,-1.524959204,1,1.370245236,1454.252456
"11","CO","ABLA","H",6,"H","ABLA-H-06H","H6",37.47007,108.08968,3504,"W",30,34.2,1.6,17.841,115,-0.534140069,6,-0.067840178,3,0.219697512,0.829605964,0.531349889,740.0860577
"12","CO","ABLA","H",6,"L","ABLA-H-06L","H6",37.4703,108.0895,3510,"W",41.7,48.7,3.4,22.195,105,-0.657720033,8,0.326070535,0,-1.524959204,0.838341969,0.574359575,1180.226883
"13","CO","ABLA","H",7,"H","ABLA-H-07H","H7",37.46888,108.0892,3504,"SW",33,33.4,1.3,14.497,190,0.392709665,5,-0.264795535,2,-0.361854726,0.778505898,0.279770617,834.789531
"14","CO","ABLA","H",7,"L","ABLA-H-07L","H7",37.46905,108.08965,3491,"SW",35,27.5,1.9,14.497,90,-0.84308998,3,-0.658706249,1,-0.943406965,0.778505898,0.279770617,NA
"15","CO","ABLA","H",8,"H","ABLA-H-08H","H8",37.46916,108.08898,3519,"WSW",38,25,1.3,21.091,220,0.763449558,7,0.129115178,3,0.219697512,0.816793893,0.468272644,641.295603
"16","CO","ABLA","H",8,"L","ABLA-H-08L","H8",37.46901,108.08849,3522,"SW",35,26,1.4,11.956,130,-0.348770122,3,-0.658706249,1,-0.943406965,1,1.370245236,858.7370605
"17","CO","ABLA","H",9,"H","ABLA-H-09H","H9",37.46756,108.08887,3497,"SSW",40,46.4,1.7,21.654,150,-0.101610193,6,-0.067840178,4,0.801249751,0.887780549,0.817758907,1757.840081
"18","CO","ABLA","H",9,"L","ABLA-H-09L","H9",37.46798,108.08897,3493,"SSW",33,46.6,1.6,23.856,110,-0.595930051,3,-0.658706249,1,-0.943406965,0.915492958,0.954194498,1967.755829
"19","CO","ABLA","H",10,"H","ABLA-H-10H","H10",37.46767,108.08819,3512,"SSW",47,28.7,1.5,16.192,160,0.021969771,5,-0.264795535,3,0.219697512,0.782608696,0.299969787,690.4329226
"20","CO","ABLA","H",10,"L","ABLA-H-10L","H10",37.46776,108.0879,3526,"SSW",47,31.8,1.4,11.98,120,-0.472350086,3,-0.658706249,2,-0.361854726,0.824707846,0.507235149,1120.487768
"21","CO","ABLA","H",11,"H","ABLA-H-11H","H11",37.4683,108.08817,3529,"SW",35,29.4,1.6,13.248,160,0.021969771,6,-0.067840178,3,0.219697512,0.70531401,-0.080572595,413.514562
"22","CO","ABLA","H",11,"L","ABLA-H-11L","H11",37.46836,108.088,3540,"SW",35,29.8,1.4,17.055,150,-0.101610193,2,-0.855661606,2,-0.361854726,0.920844327,0.980540719,1043.217938
"23","CO","ABLA","H",12,"H","ABLA-H-12H","H12",37.46728,108.08925,3478,"SW",30,29.5,1.3,13.94,170,0.145549736,5,-0.264795535,4,0.801249751,0.743902439,0.109408548,785.7604393
"24","CO","ABLA","H",12,"L","ABLA-H-12L","H12",37.4674,108.08955,3469,"SW",30,35.7,2,15.893,140,-0.225190157,3,-0.658706249,2,-0.361854726,0.90593343,0.907130389,1820.171509
"25","CO","ABLA","H",13,"H","ABLA-H-13H","H13",37.46767,108.08994,3460,"WSW",40,31.6,1.2,14.71241379,190,0.392709665,7,0.129115178,5,1.38280199,0.8,0.385591823,1152.956908
"26","CO","ABLA","H",13,"L","ABLA-H-13L","H13",37.46779,108.09018,3447,"WSW",40,37.1,1.6,19.8,40,-1.460989802,2,-0.855661606,0,-1.524959204,1,1.370245236,1561.207851
"27","CO","ABLA","H",14,"H","ABLA-H-14H","H14",37.46849,108.08926,3518,"SW",40,27.2,1.3,18,160,0.021969771,6,-0.067840178,5,1.38280199,0.5,-1.091388297,367.8199294
"28","CO","ABLA","H",14,"L","ABLA-H-14L","H14",37.46861,108.08939,3496,"SW",40,25,1.1,8.4,130,-0.348770122,4,-0.461750892,1,-0.943406965,0.785714286,0.315259436,636.9603908
"29","CO","ABLA","H",15,"H","ABLA-H-15H","H15",37.46996,108.09029,3471,"SW",40,25.1,1.2,8.19,120,-0.472350086,8,0.326070535,4,0.801249751,1,1.370245236,515.3518154
"30","CO","ABLA","H",15,"L","ABLA-H-15L","H15",37.46978,108.09029,3461,"WSW",40,25.7,1.8,9.68,40,-1.460989802,1,-1.052616963,1,-0.943406965,0.522727273,-0.979495863,1651.434964
