,State,Species,Elev,Tree,Tag,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875
71,CO,ABLA,H,06H,ABLA-H-06H,0.127,0.754,0.871666667,0.775666667,1.082,0.756,0.769333333,0.610333333,0.8,0.667666667,0.715333333,0.496666667,0.940666667,0.897666667,0.912333333,1.019666667,0.903,0.991666667,0.765333333,0.762666667,0.800333333,1.027666667,0.953666667,0.833,0.96,0.997333333,0.97,1.019333333,0.956666667,0.894333333,0.949333333,1.038666667,0.996666667,0.887666667,0.926666667,1.072333333,1.025,1.163666667,1.023666667,1.023666667,0.883666667,1.099,1.071,1.488333333,1.840666667,1.709,1.766333333,2.506333333,1.323,1.512,1.62,1.592,1.505,1.567666667,1.466666667,1.393333333,1.283333333,1.383,1.511,1.572,1.591333333,1.519333333,1.215333333,1.327666667,1.437333333,1.284333333,1.180666667,1.115666667,1.198666667,1.055666667,1.140666667,1.351666667,1.46,1.199333333,1.186333333,1.316666667,1.305666667,1.283333333,1.401333333,1.325666667,1.121333333,1.063666667,1.250333333,1.166333333,1.228666667,1.319,1.362666667,1.386666667,1.515666667,1.203,1.193,1.037,1.088,1.326,1.2145,0.836,0.8465,1.287,1.184,1.356,1.628,1.7065,1.6805,1.5855,1.6855,1.767,2.124,1.839,1.6915,1.5695,1.4125,1.4145,1.47,1.385,1.576,1.2665,1.4065,1.139,1.565,0.916,0.611,1.183,1.165,1.273,1.378,1.39,1.784,2.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,CO,ABLA,H,06L,ABLA-H-06L,0.1725,1.31,1.027,1.2745,1.261,0.8285,0.7045,0.651,0.7545,0.589,0.7745,0.769,0.7295,0.717,0.5785,0.6255,0.5935,0.681,0.598,0.6945,0.687,0.8795,0.8235,0.6455,0.87,0.8535,0.78,0.7295,0.7635,0.7325,0.7335,0.885,0.707,0.434,0.696,0.6875,0.6075,0.6965,0.3575,0.4915,0.3945,0.4175,0.507,0.832,1.148,1.2325,1.5835,1.717,1.1125,1.009,0.9375,0.9085,0.8165,0.9045,0.8905,0.819,0.6465,0.7625,1.052,0.99,0.895,0.5655,1.0525,1.0655,1.1185,1.1315,1.143,0.967,0.94,0.834,0.9155,1.0205,0.9825,1.3035,1.2635,0.9645,0.952,0.984,1.147,1.1825,1.132,0.9475,1.1585,1.309,1.2635,1.348,0.9595,1.148,1.1815,1.0475,0.8545,0.8335,0.78,0.621,0.7225,0.6275,0.715,0.5915,0.7265,0.871,1.115,1.158,1.134,1.1245,0.627,0.884,0.9695,0.862,0.884,1.0915,1.193,0.8725,1.0915,1.263,1.1485,1.445,1.316,1.074,1.2165,1.2895,0.805,0.828,1.0035,0.8795,0.789,0.977,0.796,0.946,1.1165,0.729,0.941,0.8135,0.8595,0.535,0.674,0.5855,0.5775,0.5395,0.434
73,CO,ABLA,H,07H,ABLA-H-07H,0.1215,0.8965,0.896,0.828,0.9935,1.0175,0.936,0.8075,0.9885,0.7555,0.772,0.738,0.9795,0.931,0.76,0.8155,0.634,0.786,0.8745,0.9975,0.9135,0.9225,0.8285,0.92,1.0475,0.9655,0.927,0.757,0.7225,0.6395,0.8135,0.6895,0.574,0.493,0.697,0.708,0.873,0.9615,0.818,0.966,1.0225,1.0755,1.201,1.7375,2.424,2.54,2.6265,2.42,1.608,1.727,2.0225,1.908,1.7245,1.868,1.9915,2.151,1.4335,1.5995,1.654,1.655,1.814,1.782,1.811,1.6215,1.773,1.622,1.6415,1.5045,1.581,1.3575,1.3435,1.5025,1.237,1.278,1.197,0.92,1.022,1.134,1.076,1.438,1.281,0.797,1.434,1.1795,1.112,1.0805,1.1915,1.379,1.493,1.188,1.012,1.215,1.133,1.283,1.464,1.1625,0.686,0.5485,0.886,0.8985,1.4905,1.4985,1.2615,1.291,0.9945,1.455,1.16,1.211,1.0885,1.4855,1.38,1.6545,1.5125,1.5685,1.534,1.333,0.927,1.047,1.544,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,CO,ABLA,H,07L,ABLA-H-07L,0.169,0.8055,0.715,0.611,0.7485,0.634,0.768,0.7045,0.9105,0.899,0.9355,0.989,1.1785,1.0745,0.916,0.9325,0.7075,0.9155,1.008,0.8935,0.803,0.877,0.9025,0.801,0.6995,0.7005,0.6695,0.6855,0.68,0.785,0.7155,0.763,0.5855,0.4905,0.5835,0.539,0.6735,0.661,0.645,0.609,0.6505,0.5895,0.838,1.1285,1.15,0.9935,1.0045,1.079,1.026,1.2575,1.2015,1.272,1.1795,1.287,1.295,1.2975,1.0615,1.2625,1.8875,2.0615,1.897,1.2425,1.9035,1.9665,2.1,2.104,2.188,2.213,2.1095,2.012,1.9735,2.0465,2.177,2.4525,2.295,2.006,1.694,1.8705,2.1635,2.3415,2.3505,2.327,2.3085,2.117,1.9585,2.136,2.1255,1.9335,2.2195,2.0715,1.665,1.5775,1.6355,1.419,1.5225,1.721,1.3195,1.233,1.6495,1.3555,1.8845,1.878,1.9225,1.6175,1.2885,1.6585,1.4315,1.404,1.434,2.1185,1.861,2.31,2.1395,2.167,1.6165,1.4685,1.3285,1.4395,1.1665,1.3005,0.9235,1.1895,0.7885,0.915,0.866,0.96,2.043,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,CO,ABLA,H,08H,ABLA-H-08H,0.1145,1.135,1.085,0.9795,1.1585,0.969,0.999,0.8405,0.9145,0.8025,0.6445,0.7495,0.7495,1.042,0.913,1.0615,0.956,1.028,0.979,0.9525,0.616,1.033,0.8025,0.729,1.1085,0.9685,0.9255,0.904,0.799,0.83,0.894,0.7155,0.5695,0.528,0.5595,0.538,0.5375,0.6215,0.4735,0.4195,0.356,0.376,0.47,0.573,0.5825,0.5605,0.674,0.9605,0.6575,0.591,0.738,0.8525,0.7185,0.886,0.94,1.09,0.6935,0.6925,0.9765,0.866,1.196,0.9375,0.843,1.002,1.1715,1.0525,0.8425,0.79,0.948,0.8705,0.8095,1.315,1.2775,1.1235,1.385,1.2895,1.1205,0.9995,0.88,0.709,0.5395,0.453,0.631,0.6645,0.675,0.752,0.854,0.8835,0.7765,0.8165,0.748,0.7985,0.798,0.5845,0.5525,0.3975,0.645,0.682,1.025,0.915,0.4855,0.479,0.481,0.389,0.326,0.378,0.528,0.492,0.839,0.701,0.718,0.589,0.695,0.527,0.339,0.549,0.591,0.656,1.053,0.935,0.633,0.888,0.928,0.58,0.599,0.619,0.623,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,CO,ABLA,H,08L,ABLA-H-08L,0.0895,1.2475,1.152,1.3475,1.5825,1.316,1.3965,1.186,1.1195,1.02,1.0935,1.3015,1.2645,0.973,0.9605,0.8825,0.9385,0.8755,0.712,0.9525,1.0085,1.128,1.0875,1.11,1.2425,1.219,0.991,0.9465,1.03,1.0905,1.065,1.284,1.236,1.104,1.3965,1.3085,0.791,1.3965,0.8265,1.626,1.4905,1.5785,1.4755,1.6625,2.1585,2.0395,2.3005,1.754,1.763,2.323,2.385,1.905,1.89,2.0425,1.955,1.9465,1.4045,1.419,1.789,1.7095,1.618,1.135,1.3725,1.697,1.8245,1.2055,0.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,CO,ABLA,H,09H,ABLA-H-09H,0.1935,1.337,1.229,1.2755,1.5245,1.5025,1.458,1.4325,1.4045,1.2255,1.056,1.076,1.289,1.2145,1.141,1.257,1.2155,1.2715,1.0845,1.1275,1.1565,1.349,1.3365,1.271,1.229,1.3,1.3395,1.327,1.3585,1.348,1.3055,1.462,1.127,0.8365,1.287,1.2625,1.513,1.468,1.4055,1.399,1.357,1.395,1.419,1.929,2.372,2.098,2.4435,2.548,1.72,1.728,1.761,1.464,1.572,1.6435,1.378,1.186,1.0775,0.962,1.2325,1.2855,1.2335,1.134,1.219,1.262,1.499,1.6695,1.6935,1.2935,1.4485,1.49,1.357,1.267,1.447,1.639,1.396,1.46,1.4945,1.577,1.57,1.5725,1.3645,1.1235,1.397,1.2395,1.2395,1.47,1.5675,1.618,1.8125,1.485,1.4215,1.2865,1.3185,1.4655,1.6955,1.4955,1.28,1.458,1.8005,1.6295,2.029,2.2175,2.2975,2.0105,1.2315,2.199,2.225,1.853,1.8685,2.1365,2.0485,2.2945,2.517,2.159,1.451,2.122,1.852,1.6565,1.912,2.2125,1.744,3.876,1.43,1.04,1.33,1.036,0.82,0.536,0.611,0.633,1.045,1.501,1.371,1.617,1.776,4.476,NA,NA,NA
78,CO,ABLA,H,09L,ABLA-H-09L,0.291,1.1675,1.254,1.127,2.063,1.8545,1.758,1.581,1.721,1.3275,1.115,1.6655,1.883,1.804,1.602,1.841,1.505,1.8335,1.528,1.6085,1.782,1.8535,1.602,1.432,1.4265,1.5335,1.8405,1.5005,1.392,1.2195,1.29,1.3725,1.0885,0.93,1.11,1.278,1.2065,1.243,1.0545,1.2045,1.0795,1.051,1.082,1.3345,1.623,1.3975,1.574,1.6505,1.3135,1.505,1.503,1.43,1.3575,1.4245,1.2155,1.296,1.1745,1.0385,1.23,1.209,1.262,1.103,1.135,1.1935,1.316,1.4185,1.3365,1.1935,1.148,1.152,1.123,1.3775,1.3825,1.344,1.229,1.087,1.2175,1.2705,1.303,1.082,1.0295,0.967,1.0275,1.06,0.932,0.962,0.714,0.8335,0.751,0.8315,0.763,0.891,0.888,0.8145,1.0215,0.916,0.9435,1.0175,1.2035,1.155,1.152,1.0445,0.893,0.897,0.749,0.754,0.832,0.6575,0.7925,0.8425,0.934,0.6655,0.528,0.669,0.65,0.861,0.846,0.565,0.858,0.696,0.528,0.761,0.824,0.655,0.485,0.527,0.485,0.632,0.779,0.527,0.57,0.612,0.781,0.527,0.527,0.674,0.606,0.64,0.575
79,CO,ABLA,H,10H,ABLA-H-10H,0.2475,0.7755,0.934,0.8615,1.055,1.001,1.129,0.857,0.756,0.6645,0.8415,0.9785,1.1835,1.1975,0.976,1.0565,1.0155,1.053,1.085,1.106,1.198,1.2365,1.1725,1.168,1.189,1.3525,1.263,1.256,1.1575,1.118,0.961,1.026,0.931,0.7185,1.0035,1.1155,1.004,1.077,0.857,0.7615,0.7455,0.731,0.8275,1.226,1.574,1.6055,1.671,1.778,1.4485,1.5735,1.506,1.336,1.495,1.4735,1.5265,1.4215,1.2025,1.3205,1.344,1.136,1.0595,1.1245,1.211,1.221,1.338,1.2175,0.9435,0.6685,1.2295,0.9115,0.823,0.995,1.037,1.3165,1.285,1.5335,1.385,1.6285,1.7875,1.3095,1.7105,1.126,1.5085,1.429,1.02,1.1645,1.3955,1.9905,1.8455,1.9215,1.969,2.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,CO,ABLA,H,10L,ABLA-H-10L,0.099,1.284,1.225,1.242,1.5515,1.3045,1.2305,1.231,1.325,1.1685,1.3175,1.49,2.279,2.2565,1.7275,1.8025,1.553,2.012,1.546,1.4135,1.492,1.7815,1.815,1.6815,1.5755,2.0065,1.9025,2.1345,1.9485,1.342,1.376,1.7705,1.4775,1.083,1.2435,1.559,1.845,1.935,1.646,1.7545,1.2625,1.9305,1.6035,1.7865,1.607,1.581,1.8755,2.2605,1.8555,2.487,2.546,2.2675,2.1615,2.231,2.3565,2.0205,1.787,1.8385,1.997,2.092,1.8705,1.353,1.7125,1.986,1.933,2.0445,2.055,1.9875,1.4565,1.4195,1.767,1.365,1.0305,2,1.376,1.7295,1.611,1.581,1.1715,1.5085,1.427,1.199,2.0965,1.3965,1.1515,0.7735,0.8565,0.194,1.1665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,CO,ABLA,H,11H,ABLA-H-11H,0.108,0.531,0.482,0.467,0.749,0.575,0.529,0.4135,0.46,0.461,0.461,0.471,0.6755,0.7195,0.5455,0.4545,0.2885,0.45,0.4295,0.463,0.4035,0.3735,0.3995,0.566,0.6465,0.843,0.889,0.7965,0.664,0.4845,0.5545,0.638,0.5265,0.432,0.557,0.515,0.715,0.848,0.6065,0.781,0.601,0.506,0.517,0.824,1.173,1.0145,1.3635,2.5635,1.192,1.264,1.434,1.477,1.352,1.312,1.322,1.544,1.244,1.443,1.5185,1.602,1.309,1.2585,1.044,1.121,1.127,1.2425,1.188,0.9355,0.905,0.862,0.7945,0.899,0.948,0.905,0.915,0.953,0.792,0.9325,0.9255,1.2075,1.1385,0.6625,0.833,0.773,0.759,0.7185,0.651,0.8905,1.0115,0.8335,0.978,1.159,1.243,0.75,0.823,0.402,0.362,0.3205,0.2815,0.274,0.4975,0.442,0.4005,0.631,0.853,1.272,1.3935,1.3065,1.4415,1.056,1.3905,1.3695,1.485,1.228,1.7765,2.0165,3.1665,2.4455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
