tree,n_missing_total,n_missing_1980_on,n_outliers_total
WAH01A_raw,297,35,1
WAH01B_raw,297,35,3
WAH02B_raw,244,35,5
WAH04B_raw,207,35,1
WAH04C_raw,239,35,2
WAH05B_raw,232,45,7
WAH05C_raw,257,35,1
WAH06A_raw,116,35,14
WAH06B_raw,94,35,11
WAH07C_raw,470,45,0
WAH07D_raw,136,37,1
WAH07E_raw,36,36,2
WKM03A_raw,478,16,1
WKM03B_raw,485,16,1
WKM04A_raw,441,16,0
WKM04B_raw,425,16,4
WKM05A_raw,388,16,1
WKM05B_raw,359,16,2
WKM06A_raw,453,16,2
WKM06B_raw,483,16,0
WKM07A_raw,501,16,0
WKM07B_raw,508,16,0
WKM08A_raw,503,16,0
WKM08B_raw,506,16,0
WKM09A_raw,477,16,1
WKM09B_raw,498,16,1
WKM10A_raw,418,16,0
WKM10B_raw,440,16,2
WKM11A_raw,196,16,2
WKM11B_raw,193,16,0
WKM12A_raw,98,16,13
WKM12B_raw,88,16,16
WKM13A_raw,110,16,6
WKM13B_raw,248,16,0
WKM14A_raw,416,16,2
WKM14B_raw,415,16,2
WKM15A_raw,264,16,1
WKM15B_raw,429,16,0
WKM16A_raw,318,16,0
WKM16B_raw,299,16,3
WKM17A_raw,348,16,7
WKM17B_raw,351,16,2
WKM18A_raw,281,16,0
WKM18B_raw,447,16,1
