Doi,Author,Pub_year,Case,id_site,Country,Lat,Long,Temp,Prec,Species,Mix_pure,Broad_conif,Un_evenaged,Age,BA,Number,Last_cut,Observ_treat,MS,Clim_assoc,Year,Resist_qual,Resil_qual,Recov_qual,Resist_quant,Resil_quant,Recov_quant
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_82,Italy,45° 45',7° 34',8.5,494,Pinus_sylvestris,Pure,Conifer,Even,48,18.0,54,NA,Observ,NA,NA,1987,NA,NA,NA,0.48,0.81,1.69
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_82,Italy,45° 45',7° 34',6.1,494,Pinus_sylvestris,Pure,Conifer,Even,112,35.7,66,NA,Observ,NA,NA,1987,NA,NA,NA,0.65,1.12,1.72
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_67,Italy,45° 45',7° 02',7.9,494,Pinus_sylvestris,Pure,Conifer,Even,82,36.8,73,NA,Observ,NA,NA,1987,NA,NA,NA,0.65,0.84,1.29
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_30,Italy,45° 42',7° 47',7.9,494,Pinus_sylvestris,Pure,Conifer,Even,82,42.3,39,NA,Observ,NA,NA,1987,NA,NA,NA,0.65,0.98,1.51
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_82,Italy,45° 45',7° 34',8.5,494,Pinus_sylvestris,Pure,Conifer,Even,48,18.0,54,NA,Observ,NA,NA,1988,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_82,Italy,45° 45',7° 34',6.1,494,Pinus_sylvestris,Pure,Conifer,Even,112,35.7,66,NA,Observ,NA,NA,1988,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_67,Italy,45° 45',7° 02',7.9,494,Pinus_sylvestris,Pure,Conifer,Even,82,36.8,73,NA,Observ,NA,NA,1988,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_30,Italy,45° 42',7° 47',7.9,494,Pinus_sylvestris,Pure,Conifer,Even,82,42.3,39,NA,Observ,NA,NA,1988,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_82,Italy,45° 45',7° 34',8.5,494,Pinus_sylvestris,Pure,Conifer,Even,48,18.0,54,NA,Observ,NA,NA,1989,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_82,Italy,45° 45',7° 34',6.1,494,Pinus_sylvestris,Pure,Conifer,Even,112,35.7,66,NA,Observ,NA,NA,1989,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_67,Italy,45° 45',7° 02',7.9,494,Pinus_sylvestris,Pure,Conifer,Even,82,36.8,73,NA,Observ,NA,NA,1989,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_30,Italy,45° 42',7° 47',7.9,494,Pinus_sylvestris,Pure,Conifer,Even,82,42.3,39,NA,Observ,NA,NA,1989,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_82,Italy,45° 45',7° 34',8.5,494,Pinus_sylvestris,Pure,Conifer,Even,48,18.0,54,NA,Observ,NA,NA,1990,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_82,Italy,45° 45',7° 34',6.1,494,Pinus_sylvestris,Pure,Conifer,Even,112,35.7,66,NA,Observ,NA,NA,1990,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_67,Italy,45° 45',7° 02',7.9,494,Pinus_sylvestris,Pure,Conifer,Even,82,36.8,73,NA,Observ,NA,NA,1990,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_30,Italy,45° 42',7° 47',7.9,494,Pinus_sylvestris,Pure,Conifer,Even,82,42.3,39,NA,Observ,NA,NA,1990,NA,NA,NA,NA,NA,NA
10.1007/s00468-015-1250-z,Castagneri,2015,Casta Pinus_sylvestris 1987_1993,site_82,Italy,45° 45',7° 34',8.5,494,Pinus_sylvestris,Pure,Conifer,Even,48,18.0,54,NA,Observ,NA,NA,1991,NA,NA,NA,NA,NA,NA
