Year,Qy_GS_m3_s-1,Qy_GS3_m3_s-1,P_GS_mm,P_GS3_mm,T_GS_degC,T_GS3_degC,SMI_GS,SMI_GS3
1984,26.5,39.1,180.9,190.1,15,15,0.236,0.276
1985,47.6,51.9,224.6,209.5,14.7,14.9,0.286,0.294
1986,81.7,61.8,223.1,228,15,15.2,0.36,0.331
1987,56.2,52.9,236.3,198.5,15.9,15.8,0.347,0.316
1988,20.9,45.4,136,212.5,16.6,16,0.24,0.308
1989,59.2,69.3,265.2,188,15.4,15.9,0.336,0.317
1990,127.6,120.9,162.7,222.6,15.8,15.6,0.375,0.354
1991,175.9,110.3,239.9,240,15.5,15.3,0.35,0.353
1992,27.6,139.1,317.4,336.7,14.6,14.8,0.334,0.399
1993,213.8,106.8,452.7,311.7,14.2,15,0.514,0.422
1994,79.1,186.3,164.9,308.1,16.1,14.9,0.418,0.457
1995,266.1,158.3,306.6,204.6,14.4,15.2,0.44,0.406
1996,129.7,181.5,142.2,206.6,15,15.1,0.361,0.384
1997,148.6,138.9,171,181,16,15.9,0.351,0.345
1998,138.3,118.6,229.8,192.7,16.8,15.7,0.323,0.317
1999,68.8,79,177.4,166.1,14.2,15.5,0.277,0.273
2000,30,41.5,91,107.8,15.5,15.5,0.22,0.236
2001,25.7,86.5,54.9,182,16.7,15.6,0.211,0.271
2002,203.8,100.1,400.2,193.6,14.5,15.7,0.382,0.322
2003,70.8,104.8,125.8,243.8,15.8,14.8,0.372,0.348
2004,39.7,93.5,205.5,263.3,14.2,14.7,0.291,0.361
2005,170.1,106.9,458.6,273.3,14.2,14.8,0.42,0.37
2006,110.8,117,155.9,255.2,15.9,15.3,0.398,0.369
2007,70.2,98.7,151.1,216.3,15.8,15.5,0.29,0.343
2008,115.2,79.7,341.9,231.2,14.7,15.1,0.34,0.328
2009,53.6,127.8,200.6,296.1,14.9,14.3,0.353,0.398
2010,214.6,177.6,345.7,259.9,13.4,14.4,0.5,0.458
2011,264.5,205.6,233.3,267,15,14.7,0.52,0.475
2012,137.9,189.3,222,250.7,15.6,15.5,0.404,0.434
2013,165.5,178.3,296.9,284.9,16,15.6,0.379,0.408
2014,231.4,150.7,335.7,265.5,15.1,15.5,0.441,0.379
2015,55.1,109.7,163.9,235.7,15.4,15.3,0.316,0.339
2016,42.6,64.5,207.6,159.7,15.4,15.8,0.261,0.273
2017,95.9,69.7,107.7,150.7,16.6,15.8,0.243,0.243
2018,70.5,69.4,136.8,139.1,15.5,15.7,0.225,0.231
2019,41.8,86.5,172.8,178.3,14.9,15.3,0.226,0.254
2020,147.2,94.5,225.3,199.1,15.5,15.2,0.311,0.269
