Year,NIRvP_GS_mol_m-2,NIRvP_LS_mol_m-2_d-1,Qy2_GS_m3_s-1,Qy2_annual_m3_s-1,SMI_GS,SMI_annual
1984,578.8154,4.2517,30.7,24,0.236,0.24
1985,701.7236,4.8446,42.3,24.6,0.286,0.297
1986,831.4811,5.7966,73.2,60.7,0.36,0.384
1987,851.5684,6.0523,62.6,47,0.347,0.368
1988,588.6806,4.0532,29.7,28.2,0.24,0.28
1989,761.4464,5.3808,49.6,28.8,0.336,0.282
1990,799.704,5.6064,110.5,71.7,0.375,0.372
1991,770.7611,6.2879,163.8,86.4,0.35,0.318
1992,691.2718,5.9286,64.6,43.4,0.334,0.311
1993,820.6267,6.5285,167.2,69.9,0.514,0.448
1994,937.8837,6.3306,112.8,86.3,0.418,0.494
1995,951.8384,8.0743,219.3,110.2,0.44,0.391
1996,1023.6404,7.2621,163.8,107.8,0.361,0.392
1997,883.8539,6.1183,143.9,90.8,0.351,0.34
1998,817.4156,5.6421,140.9,75.7,0.323,0.282
1999,699.4051,5.2455,86.2,48.3,0.277,0.259
2000,564.7164,3.5682,39.7,41.7,0.22,0.239
2001,534.4224,3.3861,26.7,27,0.211,0.209
2002,687.5393,6.8274,159.3,73.2,0.382,0.249
2003,691.0853,4.5778,104,62.6,0.372,0.402
2004,829.945,5.9913,47.5,30.3,0.291,0.269
2005,854.1241,6.4633,137.5,68,0.42,0.347
2006,937.5865,6.1353,125.7,92.9,0.398,0.453
2007,845.8067,5.6436,80.3,63.4,0.29,0.287
2008,897.2847,7.5286,104,56.6,0.34,0.273
2009,868.9238,6.4578,69,38.2,0.353,0.354
2010,861.0776,7.5562,174.3,83.6,0.5,0.408
2011,941.442,7.8972,252,131.1,0.52,0.489
2012,909.7775,6.8233,169.5,91.5,0.404,0.406
2013,755.3335,6.8819,158.6,79.7,0.379,0.345
2014,879.4591,7.429,215,112.7,0.441,0.397
2015,808.5734,6.0634,99.2,77.5,0.316,0.37
2016,689.026,4.8277,45.7,38.4,0.261,0.262
2017,720.9454,4.4222,82.6,63.9,0.243,0.26
2018,735.0712,5.3552,76.8,52.8,0.225,0.213
2019,572.138,4.0809,49,33.6,0.226,0.218
2020,732.6067,6.0398,120.8,69.8,0.311,0.277
