Year,Qy_ES_m3_s-1,Qy_LS_m3_s-1,Qy_GS_m3_s-1,Qy2_GS_m3_s-1,Qy_annual_m3_s-1,Qy2_annual_m3_s-1,Qyp_ES_m3_s-1,Qyp_LS_m3_s-1,Qyp_GS_m3_s-1,Qyp_annual_m3_s-1,Py_ES_mm,Py_LS_mm,Py_GS_mm,Py_annual_mm,Pyp_ES_mm,Pyp_LS_mm,Pyp_GS_mm,Pyp_annual_mm,Ty_ES_degC,Ty_LS_degC,Ty_GS_degC,Ty_annual_degC,Typ_ES_degC,Typ_LS_degC,Typ_GS_DegC,Typ_annual,SMIy_ES,SMIy_LS,SMIy_GS,SMIy_annual,SMIyp_ES,SMIyp_LS,SMIyp_GS,SMIyp_annual,EnvFlows,NIRvP_GS_mol_m-2,NIRvP_LS_mol_m-2_d-1
1984,51.1,10.4,26.5,30.7,21.3,24,86.7,14.4,43.3,31.8,62.9,39.7,180.9,247.5,52.8,94.3,164.7,245.8,13.2,19.5,15,6.3,13.5,19.2,15.4,6.9,0.254,0.223,0.236,0.24,0.328,0.304,0.305,0.313,0,578.8154,4.2517
1985,98.6,13.8,47.6,42.3,25.7,24.6,51.1,10.4,26.7,21.3,33.6,82.3,224.6,338.1,62.9,39.7,180.9,247.5,14.2,18.2,14.7,5,13.2,19.5,15,6.3,0.317,0.238,0.286,0.297,0.254,0.223,0.236,0.24,0,701.7236,4.8446
1986,187.6,11.5,81.7,73.2,72.3,60.7,98.6,13.8,47.7,25.7,113.3,26.1,223.1,328.9,33.6,82.3,224.6,338.1,15.1,17.8,15,5.9,14.2,18.2,14.7,5,0.412,0.333,0.36,0.384,0.317,0.238,0.286,0.297,0,831.4811,5.7966
1987,74.5,43.8,56.2,62.6,38.6,47,187.6,11.5,81.9,72.3,60.4,146.5,236.3,367.3,113.3,26.1,223.1,328.9,15.7,16.6,15.9,8,15.1,17.8,15,5.9,0.338,0.356,0.347,0.368,0.412,0.333,0.36,0.384,0,851.5684,6.0523
1988,43.1,6.3,20.9,29.7,24.8,28.2,74.5,43.8,56.1,38.6,58.1,60,136,193.5,60.4,146.5,236.3,367.3,16.7,18.4,16.6,8,15.7,16.6,15.9,8,0.265,0.226,0.24,0.28,0.338,0.356,0.347,0.368,0,588.6806,4.0532
1989,110.1,26.2,59.2,49.6,30.1,28.8,43.1,6.3,21,24.8,108.5,125.3,265.2,400.6,58.1,60,136,193.5,13.7,18.3,15.4,5.6,16.7,18.4,16.6,8,0.33,0.335,0.336,0.282,0.265,0.226,0.24,0.28,0,761.4464,5.3808
1990,272.7,31.5,127.6,110.5,85.6,71.7,110.1,26.2,59.7,30.1,103.6,54.5,162.7,301.7,108.5,125.3,265.2,400.6,12.9,18.6,15.8,7.1,13.7,18.3,15.4,5.6,0.429,0.369,0.375,0.372,0.33,0.335,0.336,0.282,0,799.704,5.6064
1991,259.7,120.1,175.9,163.8,86.7,86.4,272.7,31.5,128,85.6,147.8,81.8,239.9,360.3,103.6,54.5,162.7,301.7,13.1,19,15.5,6.2,12.9,18.6,15.8,7.1,0.357,0.364,0.35,0.318,0.429,0.369,0.375,0.372,0,770.7611,6.2879
1992,16.2,35,27.6,64.6,28.9,43.4,259.7,120.1,175.9,86.7,140.9,157.2,317.4,371.2,147.8,81.8,239.9,360.3,14.8,16.1,14.6,7.6,13.1,19,15.5,6.2,0.266,0.381,0.334,0.311,0.357,0.364,0.35,0.318,0,691.2718,5.9286
1993,190.4,229.5,213.8,167.2,83.5,69.9,16.2,35,27.5,28.9,173.3,213,452.7,578.5,140.9,157.2,317.4,371.2,14.3,15.4,14.2,5.2,14.8,16.1,14.6,7.6,0.435,0.56,0.514,0.448,0.266,0.381,0.334,0.311,1,820.6267,6.5285
1994,154.8,28.6,79.1,112.8,87.2,86.3,190.4,229.5,213.8,83.5,125.8,35.9,164.9,228.7,173.3,213,452.7,578.5,14,18.5,16.1,6.6,14.3,15.4,14.2,5.2,0.5,0.397,0.418,0.494,0.435,0.56,0.514,0.448,1,937.8837,6.3306
1995,480.8,125.9,266.1,219.3,117.8,110.2,154.8,28.6,79.1,87.2,202.4,85.7,306.6,448.4,125.8,35.9,164.9,228.7,12.8,16.8,14.4,5.7,14,18.5,16.1,6.6,0.444,0.458,0.44,0.391,0.5,0.397,0.418,0.494,1,951.8384,8.0743
