tree,n_missing_total,n_missing_1980_on,n_outliers_total
487011_raw,68,45,4
487012_raw,103,45,1
487013_raw,165,45,4
487021_raw,324,45,0
487022_raw,303,45,2
487031_raw,126,45,6
487032_raw,115,45,6
487041_raw,148,45,3
487042_raw,172,45,8
487051_raw,309,45,4
487052_raw,294,45,4
487053_raw,300,45,2
487061_raw,112,45,3
487062_raw,46,45,3
487071_raw,146,45,6
487072_raw,144,45,8
487081_raw,287,45,0
487082_raw,310,45,2
487091_raw,278,45,2
487092_raw,368,45,1
487101_raw,315,45,1
487102_raw,357,45,0
487111_raw,360,45,2
487112_raw,354,45,4
487121_raw,330,45,2
487122_raw,320,45,0
487131_raw,338,45,0
487132_raw,352,45,1
487141_raw,385,45,0
487142_raw,377,45,1
487151_raw,264,45,3
487152_raw,248,45,1
487161_raw,398,45,1
487162_raw,376,45,1
487171_raw,210,45,1
487172_raw,227,45,6
487181_raw,351,45,1
487182_raw,353,45,2
487191_raw,330,45,1
487192_raw,316,45,0
487201_raw,303,45,1
487202_raw,269,45,0
487211_raw,382,45,1
487212_raw,361,45,0
487221_raw,285,45,2
487222_raw,338,45,0
