age_CE,LAC01E_raw,LAC01W_raw,LAC02W_raw,LAC03E_raw,LAC03W_raw,LAC04W_raw,LAC04E_raw,LAC05N_raw,LAC05S_raw,LAC01E_raw_outlier_flag,LAC01W_raw_outlier_flag,LAC02W_raw_outlier_flag,LAC03E_raw_outlier_flag,LAC03W_raw_outlier_flag,LAC04W_raw_outlier_flag,LAC04E_raw_outlier_flag,LAC05N_raw_outlier_flag,LAC05S_raw_outlier_flag
1810,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1811,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1812,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1813,NA,NA,NA,0.25,NA,NA,NA,NA,0.24,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1814,NA,NA,NA,0.43,NA,NA,NA,NA,0.32,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1815,NA,NA,NA,0.47,NA,NA,NA,NA,0.34,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1816,NA,NA,NA,0.99,NA,NA,NA,NA,0.52,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1817,NA,NA,NA,1.52,NA,NA,NA,NA,1.57,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1818,NA,NA,NA,0.85,NA,NA,NA,NA,1.27,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1819,NA,NA,NA,1.48,NA,NA,NA,NA,1.84,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1820,NA,NA,NA,0.68,NA,NA,NA,NA,0.56,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1821,NA,NA,NA,2.2,NA,NA,NA,NA,1.38,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1822,NA,NA,NA,1.13,NA,NA,NA,NA,0.84,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
1823,NA,NA,NA,0.91,1.46,NA,NA,NA,0.53,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1824,NA,NA,NA,1.11,1.42,NA,NA,NA,0.62,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1825,NA,NA,NA,2.49,3.04,NA,NA,NA,1.42,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1826,NA,NA,NA,3.22,4.4,NA,NA,NA,3.04,NA,NA,NA,TRUE,TRUE,NA,NA,NA,FALSE
1827,NA,NA,NA,2.14,3.97,NA,NA,NA,2.78,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1828,NA,NA,NA,1.49,2.89,NA,NA,NA,1.07,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1829,NA,NA,NA,0.53,1.25,NA,NA,NA,0.55,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE
1830,NA,NA,NA,0.55,0.79,NA,NA,0.61,0.36,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1831,NA,NA,NA,0.73,0.91,NA,NA,1.18,0.62,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
