Year,Tree,Ring_Width_mm
1965,MURPH01,0.791
1966,MURPH01,1.593
1967,MURPH01,0.941
1968,MURPH01,1.025
1969,MURPH01,1.309
1970,MURPH01,1.634
1971,MURPH01,1.709
1972,MURPH01,2.018
1973,MURPH01,1.037
1974,MURPH01,1.232
1975,MURPH01,0.891
1976,MURPH01,0.774
1977,MURPH01,0.622
1978,MURPH01,0.92
1979,MURPH01,0.959
1980,MURPH01,0.694
1981,MURPH01,1.157
1982,MURPH01,1.783
1983,MURPH01,1.373
1984,MURPH01,1.328
1985,MURPH01,0.994
1986,MURPH01,1.04
1987,MURPH01,1.072
1988,MURPH01,0.694
1989,MURPH01,0.998
1990,MURPH01,1.077
1991,MURPH01,1.998
1992,MURPH01,1.975
1993,MURPH01,0.644
1994,MURPH01,1.271
1995,MURPH01,1.262
1996,MURPH01,1.523
1997,MURPH01,0.84
1998,MURPH01,0.414
1999,MURPH01,0.564
2000,MURPH01,0.457
2001,MURPH01,0.836
2002,MURPH01,1.172
2003,MURPH01,0.966
2004,MURPH01,0.909
2005,MURPH01,0.808
2006,MURPH01,0.711
2007,MURPH01,0.392
2008,MURPH01,0.752
2009,MURPH01,0.687
2010,MURPH01,0.267
2011,MURPH01,0.44
2012,MURPH01,0.372
2013,MURPH01,0.657
2014,MURPH01,0.639
2015,MURPH01,0.659
1966,MURPH02,0.659
1967,MURPH02,0.895
1968,MURPH02,1.197
1969,MURPH02,0.647
1970,MURPH02,0.892
1971,MURPH02,1.467
1972,MURPH02,1.988
1973,MURPH02,1.794
1974,MURPH02,1.952
1975,MURPH02,1.693
1976,MURPH02,1.425
1977,MURPH02,1.27
1978,MURPH02,1.915
1979,MURPH02,1.583
1980,MURPH02,1.07
1981,MURPH02,1.113
1982,MURPH02,1.526
1983,MURPH02,1.603
1984,MURPH02,1.579
1985,MURPH02,0.782
1986,MURPH02,0.772
1987,MURPH02,1.16
1988,MURPH02,1.061
1989,MURPH02,1.216
1990,MURPH02,1.418
1991,MURPH02,2.305
1992,MURPH02,1.858
1993,MURPH02,0.802
1994,MURPH02,1.396
1995,MURPH02,1.945
1996,MURPH02,1.612
1997,MURPH02,0.84
1998,MURPH02,0.634
1999,MURPH02,0.92
2000,MURPH02,0.808
2001,MURPH02,0.826
2002,MURPH02,0.933
2003,MURPH02,0.789
2004,MURPH02,1.222
2005,MURPH02,1.329
2006,MURPH02,0.994
2007,MURPH02,0.685
2008,MURPH02,1.171
2009,MURPH02,1.113
2010,MURPH02,0.399
2011,MURPH02,0.831
2012,MURPH02,0.963
2013,MURPH02,1.09
2014,MURPH02,0.98
2015,MURPH02,1.001
1966,MURPH03,0.802
1967,MURPH03,1.063
1968,MURPH03,0.139
1969,MURPH03,0.99
1970,MURPH03,1.401
1971,MURPH03,1.475
1972,MURPH03,1.666
1973,MURPH03,1.439
1974,MURPH03,1.404
1975,MURPH03,1.046
1976,MURPH03,1.067
1977,MURPH03,0.744
1978,MURPH03,0.902
1979,MURPH03,1.115
1980,MURPH03,0.752
1981,MURPH03,0.74
1982,MURPH03,1.356
1983,MURPH03,1.004
1984,MURPH03,0.79
1985,MURPH03,0.598
1986,MURPH03,0.461
1987,MURPH03,0.624
1988,MURPH03,0.568
1989,MURPH03,1.01
1990,MURPH03,0.949
1991,MURPH03,1.084
1992,MURPH03,1.216
1993,MURPH03,0.815
1994,MURPH03,0.607
1995,MURPH03,0.626
1996,MURPH03,0.667
1997,MURPH03,0.385
1998,MURPH03,0.106
1999,MURPH03,0.193
2000,MURPH03,0.355
2001,MURPH03,0.529
2002,MURPH03,0.644
2003,MURPH03,0.425
2004,MURPH03,0.647
2005,MURPH03,0.463
2006,MURPH03,0.21
2007,MURPH03,0.214
2008,MURPH03,0.306
2009,MURPH03,0.302
2010,MURPH03,0.067
2011,MURPH03,0.172
2012,MURPH03,0.174
2013,MURPH03,0.25
2014,MURPH03,0.255
2015,MURPH03,0.198
1973,MURPH04,0.507
1974,MURPH04,0.339
1975,MURPH04,0.489
1976,MURPH04,1.012
1977,MURPH04,0.455
1978,MURPH04,0.665
1979,MURPH04,0.962
1980,MURPH04,1.063
1981,MURPH04,0.612
1982,MURPH04,0.707
1983,MURPH04,0.821
1984,MURPH04,0.692
1985,MURPH04,0.578
1986,MURPH04,0.498
1987,MURPH04,0.659
1988,MURPH04,0.563
1989,MURPH04,0.515
1990,MURPH04,0.527
1991,MURPH04,0.603
1992,MURPH04,0.399
1993,MURPH04,0.333
1994,MURPH04,0.539
1995,MURPH04,1.413
1996,MURPH04,1.105
1997,MURPH04,0.768
1998,MURPH04,1.13
1999,MURPH04,0.917
2000,MURPH04,0.984
2001,MURPH04,0.916
2002,MURPH04,1.653
2003,MURPH04,1.385
2004,MURPH04,1.094
2005,MURPH04,1.197
2006,MURPH04,0.839
2007,MURPH04,0.575
2008,MURPH04,0.966
2009,MURPH04,1.062
2010,MURPH04,1.2
2011,MURPH04,1.156
2012,MURPH04,0.982
2013,MURPH04,1.245
2014,MURPH04,1.157
2015,MURPH04,0.837
1968,MURPH05,0.918
1969,MURPH05,0.935
1970,MURPH05,1.264
1971,MURPH05,1.46
1972,MURPH05,1.026
1973,MURPH05,0.845
1974,MURPH05,0.897
1975,MURPH05,0.833
1976,MURPH05,1.082
1977,MURPH05,1.784
1978,MURPH05,1.531
1979,MURPH05,1.334
1980,MURPH05,1.146
1981,MURPH05,1.337
1982,MURPH05,1.319
1983,MURPH05,0.947
1984,MURPH05,1.228
1985,MURPH05,1.464
1986,MURPH05,1.257
1987,MURPH05,1
1988,MURPH05,1.513
1989,MURPH05,1.467
1990,MURPH05,1.255
1991,MURPH05,1.245
1992,MURPH05,0.981
1993,MURPH05,1.449
1994,MURPH05,2.056
1995,MURPH05,2.269
1996,MURPH05,1.572
1997,MURPH05,1.988
1998,MURPH05,1.188
1999,MURPH05,0.165
2000,MURPH05,1.291
2001,MURPH05,2.144
2002,MURPH05,2.607
2003,MURPH05,2.077
2004,MURPH05,2.023
2005,MURPH05,2.149
2006,MURPH05,1.556
2007,MURPH05,1.389
2008,MURPH05,1.592
2009,MURPH05,1.569
2010,MURPH05,0.971
2011,MURPH05,0.874
2012,MURPH05,1.017
2013,MURPH05,0.733
2014,MURPH05,0.563
2015,MURPH05,0.534
1976,MURPH06,0.555
1977,MURPH06,0.392
1978,MURPH06,0.232
1979,MURPH06,0.871
1980,MURPH06,0.585
1981,MURPH06,0.596
1982,MURPH06,0.555
1983,MURPH06,0.443
1984,MURPH06,0.334
1985,MURPH06,0.514
1986,MURPH06,0.391
1987,MURPH06,0.457
1988,MURPH06,0.429
1989,MURPH06,0.337
1990,MURPH06,0.445
1991,MURPH06,0.625
1992,MURPH06,0.737
1993,MURPH06,0.836
1994,MURPH06,1.184
1995,MURPH06,1.786
1996,MURPH06,1.448
1997,MURPH06,1.239
1998,MURPH06,1.194
1999,MURPH06,1.359
2000,MURPH06,1.116
2001,MURPH06,0.994
2002,MURPH06,1.51
2003,MURPH06,1.318
2004,MURPH06,1.256
2005,MURPH06,1.505
2006,MURPH06,1.43
2007,MURPH06,1.223
2008,MURPH06,1.477
2009,MURPH06,1.322
2010,MURPH06,1.099
2011,MURPH06,1.532
2012,MURPH06,0.943
2013,MURPH06,0.79
2014,MURPH06,1.031
2015,MURPH06,1.107
1976,MURPH07,1.193
1977,MURPH07,1.349
1978,MURPH07,1.855
1979,MURPH07,1.646
1980,MURPH07,1.208
1981,MURPH07,0.91
1982,MURPH07,1.522
1983,MURPH07,0.98
1984,MURPH07,0.816
1985,MURPH07,0.632
1986,MURPH07,0.695
1987,MURPH07,0.663
1988,MURPH07,0.466
1989,MURPH07,0.925
1990,MURPH07,1.144
1991,MURPH07,1.444
1992,MURPH07,1.339
1993,MURPH07,0.784
1994,MURPH07,1.17
1995,MURPH07,1.821
1996,MURPH07,1.631
1997,MURPH07,0.719
1998,MURPH07,1.204
1999,MURPH07,1.465
2000,MURPH07,1.284
2001,MURPH07,1.194
