age_CE,PJP01A_raw,PJP01B_raw,PJP02A_raw,PJP02B_raw,PJP03A_raw,PJP04A_raw,PJP04B_raw,PJP05A_raw,PJP05B_raw,PJP06A_raw,PJP06B_raw,PJP07A_raw,PJP07B_raw,PJP08A_raw,PJP08B_raw,PJP09A_raw,PJP09B_raw,PJP10A_raw,PJP10B_raw,PJP11A_raw,PJP11B_raw,PJP12A_raw,PJP12B_raw,PJP13A_raw,PJP13B_raw,PJP14B_raw,PJP15A_raw,PJP15B_raw,PJP16A_raw,PJP16B_raw,PJP18A_raw,PJP18B_raw,PJP19A_raw,PJP19B_raw,PJP20A_raw,PJP20B_raw,PJP01A_raw_outlier_flag,PJP01B_raw_outlier_flag,PJP02A_raw_outlier_flag,PJP02B_raw_outlier_flag,PJP03A_raw_outlier_flag,PJP04A_raw_outlier_flag,PJP04B_raw_outlier_flag,PJP05A_raw_outlier_flag,PJP05B_raw_outlier_flag,PJP06A_raw_outlier_flag,PJP06B_raw_outlier_flag,PJP07A_raw_outlier_flag,PJP07B_raw_outlier_flag,PJP08A_raw_outlier_flag,PJP08B_raw_outlier_flag,PJP09A_raw_outlier_flag,PJP09B_raw_outlier_flag,PJP10A_raw_outlier_flag,PJP10B_raw_outlier_flag,PJP11A_raw_outlier_flag,PJP11B_raw_outlier_flag,PJP12A_raw_outlier_flag,PJP12B_raw_outlier_flag,PJP13A_raw_outlier_flag,PJP13B_raw_outlier_flag,PJP14B_raw_outlier_flag,PJP15A_raw_outlier_flag,PJP15B_raw_outlier_flag,PJP16A_raw_outlier_flag,PJP16B_raw_outlier_flag,PJP18A_raw_outlier_flag,PJP18B_raw_outlier_flag,PJP19A_raw_outlier_flag,PJP19B_raw_outlier_flag,PJP20A_raw_outlier_flag,PJP20B_raw_outlier_flag
1880,1.01,0.61,1.28,0.9,0.52,0.66,0.97,0.72,0.47,0.34,0.7,0.48,0.54,0.49,0.84,0.58,0.77,0.54,0.68,0.92,1.07,0.29,0.16,1.15,0.6,0.86,1.49,1.07,0.24,1.09,0.97,0.67,0.45,0.49,2.31,2.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1881,1.55,1.07,1.47,0.86,0.8,1.05,1.34,1.19,0.9,0.35,0.64,0.99,0.69,0.34,1.45,1.07,1.02,0.91,0.88,1.16,1.32,0.35,0.17,1.27,1.17,0.77,1.33,1.6,0.32,1.31,0.6,0.49,0.54,0.77,2.87,5.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1882,1.43,0.96,1.21,0.84,0.65,1.08,1.05,0.83,0.86,0.46,0.7,0.81,0.56,0.34,0.84,0.87,0.89,0.94,0.79,0.97,1.04,0.23,0.18,1.58,1.14,1.11,1.5,1.26,0.33,1.29,1.27,0.78,0.65,0.62,2.37,3.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1883,1.28,0.94,1.47,0.78,0.55,1.09,0.76,1.04,1.18,0.51,0.71,0.53,0.42,0.36,0.94,1.02,0.5,0.97,0.85,1.08,1.13,0.34,0.24,1.36,1.27,0.89,1.3,0.58,0.32,1.02,1.36,0.54,0.51,0.67,3.15,3.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1884,1.37,1.31,1.3,0.92,0.63,1.13,1.17,1.18,1.07,0.63,1.01,0.82,0.55,0.38,1.08,1.19,0.58,1,0.77,0.75,1.05,0.53,0.29,1.28,1.2,0.48,1.54,1.29,0.45,1.33,1.59,0.7,0.71,0.91,3.24,4.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1885,2.39,2.12,1.73,1.66,1.01,1.36,1.62,1.54,1.68,0.56,0.88,1.42,0.94,0.71,1.74,1.23,1.11,1.25,1.11,1.73,2.1,0.53,0.32,1.8,1.82,0.41,2.27,2.21,0.61,1.84,2.21,0.72,0.93,1.22,4.56,5.26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1886,1.56,1.09,1.54,1.06,0.52,0.79,1.13,0.99,1.1,0.42,0.78,0.68,0.53,0.58,1.18,0.72,0.81,0.78,0.69,1.56,1.71,0.31,0.15,1.32,1.23,0.9,1.82,1.05,0.44,1.03,1.96,1.07,0.69,0.88,2.4,2.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1887,1.37,0.97,1.07,1.19,0.44,0.91,1.01,1.03,1.11,0.47,0.63,1,0.84,0.56,1.19,0.79,0.86,0.87,0.53,0.92,1.5,0.34,0.21,0.93,1.01,0.83,1.71,1.22,0.66,1.32,1.38,0.5,0.26,0.42,2.57,3.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1888,1.85,1.24,0.51,0.35,0.24,1.26,1.8,1.29,1.03,0.49,0.6,0.86,0.73,0.5,1.79,0.82,0.77,0.98,0.62,0.65,0.94,0.26,0.19,0.99,1.29,1.87,1.89,1.43,0.67,1.69,1.58,0.51,0.38,0.68,2.13,3.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1889,1.64,1.41,0.7,0.33,0.39,1.12,1.28,0.9,0.94,0.29,0.82,1.15,0.6,0.7,1.86,0.83,0.82,1.23,0.65,1.09,1.35,0.31,0.21,1.06,0.23,0.89,1.78,1.2,0.57,1.25,1.59,0.74,0.59,0.62,2.92,3.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
