age_CE,MAM121AA_raw,MAM132AA_raw,MAM142AA_raw,MAM143AA_raw,MAM151AA_raw,MAM152AA_raw,MAM161AA_raw,MAM162AA_raw,MAM163AA_raw,MAM171AA_raw,MAM172AA_raw,MAM181AA_raw,MAM201AA_raw,MAM212AA_raw,MAM221AA_raw,MAM222AA_raw,MAM223AA_raw,MAM224AA_raw,MAM225AA_raw,MAM231AA_raw,MAM251AA_raw,MAM271AA_raw,MAM272AA_raw,MAM281AA_raw,MAM511AA_raw,MAM512AA_raw,MAM513AA_raw,MAM522AA_raw,MAM523AA_raw,MAM561AA_raw,MAM621AA_raw,MAM632AA_raw,MAM633AA_raw,MAM641AA_raw,MAM651AA_raw,MAM652AA_raw,MAM661AA_raw,MAM671AA_raw,MAM672AA_raw,MAM681AA_raw,MAM682AA_raw,MAM691AA_raw,MAM712AA_raw,MAM721AA_raw,MAM722AA_raw,MAM731AA_raw,MAM761AA_raw,MAM771AA_raw,MAM781AA_raw,MAM121AA_raw_outlier_flag,MAM132AA_raw_outlier_flag,MAM142AA_raw_outlier_flag,MAM143AA_raw_outlier_flag,MAM151AA_raw_outlier_flag,MAM152AA_raw_outlier_flag,MAM161AA_raw_outlier_flag,MAM162AA_raw_outlier_flag,MAM163AA_raw_outlier_flag,MAM171AA_raw_outlier_flag,MAM172AA_raw_outlier_flag,MAM181AA_raw_outlier_flag,MAM201AA_raw_outlier_flag,MAM212AA_raw_outlier_flag,MAM221AA_raw_outlier_flag,MAM222AA_raw_outlier_flag,MAM223AA_raw_outlier_flag,MAM224AA_raw_outlier_flag,MAM225AA_raw_outlier_flag,MAM231AA_raw_outlier_flag,MAM251AA_raw_outlier_flag,MAM271AA_raw_outlier_flag,MAM272AA_raw_outlier_flag,MAM281AA_raw_outlier_flag,MAM511AA_raw_outlier_flag,MAM512AA_raw_outlier_flag,MAM513AA_raw_outlier_flag,MAM522AA_raw_outlier_flag,MAM523AA_raw_outlier_flag,MAM561AA_raw_outlier_flag,MAM621AA_raw_outlier_flag,MAM632AA_raw_outlier_flag,MAM633AA_raw_outlier_flag,MAM641AA_raw_outlier_flag,MAM651AA_raw_outlier_flag,MAM652AA_raw_outlier_flag,MAM661AA_raw_outlier_flag,MAM671AA_raw_outlier_flag,MAM672AA_raw_outlier_flag,MAM681AA_raw_outlier_flag,MAM682AA_raw_outlier_flag,MAM691AA_raw_outlier_flag,MAM712AA_raw_outlier_flag,MAM721AA_raw_outlier_flag,MAM722AA_raw_outlier_flag,MAM731AA_raw_outlier_flag,MAM761AA_raw_outlier_flag,MAM771AA_raw_outlier_flag,MAM781AA_raw_outlier_flag
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.52,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.2,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.28,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.27,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.28,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.26,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.67,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.19,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.35,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.15,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
