age_CE,WBO01A_raw,WBO01B_raw,WBO02B_raw,WBO03A_raw,WBO04A_raw,WBO04B_raw,WBO06A_raw,WBO06B_raw,WBO07A_raw,WBO09A_raw,WBO09B_raw,WBO10A_raw,WBO10B_raw,WBO11A_raw,WBO13A_raw,WBO13B_raw,WBO14B_raw,WBO15B_raw,WBO16B_raw,WBO17A_raw,WBO17B_raw,WBO18A_raw,WBO18B_raw,WBO19A_raw,WBO20A_raw,WBO01A_raw_outlier_flag,WBO01B_raw_outlier_flag,WBO02B_raw_outlier_flag,WBO03A_raw_outlier_flag,WBO04A_raw_outlier_flag,WBO04B_raw_outlier_flag,WBO06A_raw_outlier_flag,WBO06B_raw_outlier_flag,WBO07A_raw_outlier_flag,WBO09A_raw_outlier_flag,WBO09B_raw_outlier_flag,WBO10A_raw_outlier_flag,WBO10B_raw_outlier_flag,WBO11A_raw_outlier_flag,WBO13A_raw_outlier_flag,WBO13B_raw_outlier_flag,WBO14B_raw_outlier_flag,WBO15B_raw_outlier_flag,WBO16B_raw_outlier_flag,WBO17A_raw_outlier_flag,WBO17B_raw_outlier_flag,WBO18A_raw_outlier_flag,WBO18B_raw_outlier_flag,WBO19A_raw_outlier_flag,WBO20A_raw_outlier_flag
1880,1.33,1.55,2.01,NA,NA,NA,1.59,1.44,0.46,1.32,1.69,1.54,NA,0.74,1.71,1.2,1.06,0.66,2.82,1.45,NA,NA,1.2,3.54,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1881,1.46,1.3,2.29,NA,NA,NA,1.68,1.45,0.45,1.56,1.91,1.7,NA,0.67,2.04,1.27,0.94,0.74,3.32,1.42,NA,NA,1.32,3.43,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1882,1.48,1.91,1.84,NA,1.51,NA,1.65,1.76,0.53,1.28,1.55,1.86,NA,0.71,2.01,1.28,1.11,0.71,3.32,1.18,NA,NA,0.95,3.4,NA,FALSE,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1883,1.38,1.91,2.01,NA,1.19,NA,1.53,1.42,0.52,1.23,1.62,1.66,NA,0.72,1.74,1.27,0.93,0.96,2.84,1.26,NA,NA,0.78,3.34,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1884,1.75,2.31,2.38,NA,1.53,NA,1.77,1.65,0.72,1.43,2.2,2.24,NA,0.84,1.86,1.46,1.02,0.86,3.32,1.47,NA,NA,1.02,3.74,NA,FALSE,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,NA
1885,1.22,2.27,2.4,NA,1.1,NA,1.46,1.39,0.45,1.7,1.76,1.59,NA,0.56,1.62,1.27,0.82,0.62,2.38,1.19,NA,NA,0.91,2.55,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1886,1.27,2.38,2.18,NA,1.07,NA,1.44,2.29,0.44,1.76,1.91,1.55,1.81,0.62,1.67,1.41,0.99,0.86,2.95,1.57,NA,NA,1.5,2.92,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1887,1.33,2.45,1.75,NA,1.38,NA,1.11,1.58,0.37,1.38,2.04,2.11,2.14,0.75,1.01,2.13,0.89,0.72,2.73,1.62,NA,NA,1.27,2.11,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1888,2.85,2.85,1.26,1.27,1.17,NA,1.57,1.1,0.48,1.04,1.39,1.85,1.98,0.73,0.75,1.62,1.07,0.75,2.77,1.46,NA,NA,1.15,1.94,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1889,1.91,2,1.72,1.21,0.85,NA,1.3,1.78,0.58,1.03,1.46,1.34,1.48,0.75,0.89,1.38,0.85,0.79,2.11,1.4,NA,NA,1.42,2.43,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
