tree,n_missing_total,n_missing_1980_on,n_outliers_total
CPRT01A_raw,96,10,4
CPRT01B_raw,103,10,3
CPRT02A_raw,278,10,2
CPRT02B_raw,77,10,1
CPRT03A_raw,210,10,2
CPRT03B_raw,233,10,3
CPRT04A_raw,96,10,7
CPRT04B_raw,138,10,4
CPRT05A_raw,111,10,2
CPRT05B_raw,99,10,3
CPRT06A_raw,303,10,0
CPRT06B_raw,281,10,2
CPRT07A_raw,166,10,5
CPRT07B_raw,201,10,3
CPRT08A_raw,92,10,4
CPRT08B_raw,155,10,1
CPRT09A_raw,170,10,2
CPRT09B_raw,230,10,2
CPRT10A_raw,210,10,2
CPRT10B_raw,215,11,4
CPRT11A_raw,89,10,5
CPRT11B_raw,106,10,3
CPRT12A_raw,120,10,1
CPRT12B_raw,111,10,0
CPRT13A_raw,65,10,4
CPRT13B_raw,107,10,7
CPRT14A_raw,101,10,3
CPRT14B_raw,121,10,5
CPRT15A_raw,163,10,3
CPRT15B_raw,194,10,4
CPRT15E_raw,132,10,3
CPRT16A_raw,214,10,3
CPRT16B_raw,296,10,1
CPRT17A_raw,133,10,3
CPRT17B_raw,225,10,0
CPRT18A_raw,76,10,8
CPRT18B_raw,114,10,6
CPRT19A_raw,76,10,3
CPRT19B_raw,120,10,6
CPRT20A_raw,142,10,1
CPRT20B_raw,168,10,2
CPRT21A_raw,286,10,0
CPRT21B_raw,300,10,1
CPRT22A_raw,321,10,1
CPRT22B_raw,321,10,2
CPRT27A_raw,211,9,1
CPRT27B_raw,216,9,1
CPRT28A_raw,107,9,2
CPRT28B_raw,133,9,0
CPRT29A_raw,142,9,3
CPRT29B_raw,72,9,6
CPRT30A_raw,140,9,1
CPRT30B_raw,59,9,6
CPRT31A_raw,9,9,3
CPRT31B_raw,66,9,7
CPRT32B_raw,231,9,3
CPRT33A_raw,138,9,0
CPRT33B_raw,163,9,0
CPRT34A_raw,241,9,1
CPRT34B_raw,232,9,2
CPRT35A_raw,174,9,2
CPRT35B_raw,193,9,3
CPRT36A_raw,31,9,2
CPRT36B_raw,221,9,2
CPRT37A_raw,184,9,2
CPRT37B_raw,213,9,0
CPRT37E_raw,317,9,0
CPRT38A_raw,165,9,2
CPRT38B_raw,187,9,2
CPRT39A_raw,149,12,0
CPRT39B_raw,139,9,0
CPRT40A_raw,183,9,2
CPRT40B_raw,145,9,2
CPRT41A_raw,156,9,3
CPRT41B_raw,176,9,2
