"","R01","R03","R06","R08","R10","R12","R14","R16","R19","R31","R37","R38","R42","R43","R45","R50","R54","R56","R57"
"2015",1.37794876740171,1.42983271376097,1.04857019788549,0.977900044450325,1.49688206656317,1.26543095210502,NA,NA,NA,1.2207155635095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014",1.24815587653447,1.56465500056364,0.989646923708295,1.25189569090745,1.40125393138689,1.07639367323497,NA,NA,NA,1.37170462829078,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013",0.886512310614946,1.04709142119196,0.715060660968252,1.06709588146426,0.875550521753885,0.832076149708702,NA,NA,NA,0.791723717389935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012",0.875811929821649,0.866780309276596,0.808964753869633,1.11875653539228,0.932853365219496,0.786761271158109,NA,NA,NA,0.770687520986721,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011",0.724833910255969,0.90629453370738,0.674715230835252,0.853129042382709,0.623245825365083,0.854711279976197,NA,NA,NA,0.674593450351152,0.878827876045868,0.802188115014743,0.848734301291667,0.754501088529354,0.896247001103555,0.628309279138025,0.821993112532825,0.769578082672761,0.620540140126757
"2010",0.829849978205814,1.16421147783842,0.897742981290496,0.914521281948671,0.911913664266696,1.09296361555086,NA,NA,0.938480347026452,0.852249047277391,0.917798039246667,0.681928042860185,0.739728579705682,0.893746074440088,1.06517374800294,1.08444932602766,0.731997975514747,0.892530579006257,1.03466139914544
"2009",0.848886962099256,0.956749300893719,1.29296058984534,0.895478258323468,0.857643065176444,1.28187594724611,0.695678323058478,0.909169145643084,0.96150959314431,0.948924694501354,1.06895087401785,0.772505230367608,1.01818453335698,1.02590550643629,1.18498306957966,1.07456301265236,0.958713635731809,0.86436651080485,0.875142876308154
"2008",0.807357934049461,0.642567826247284,0.999928553128712,0.780727860462166,0.688588473790811,1.08931793156072,0.493161580988358,0.87752849184028,0.739250952393334,0.720811667253608,0.743871959423523,0.734706500436608,0.883129808969434,0.628738043745179,0.76502410365974,0.857451891775658,0.84809411451792,0.804109853543812,0.730546418233209
"2007",0.883671198277155,0.709063126746166,0.986397787881582,0.732930951714702,0.856094663645017,0.813787860221832,1.01956463076295,1.16931851825331,1.01890252584601,0.834449232108736,0.923645657667442,0.859554917323579,0.939689635487369,0.823346596388668,1.0091627409673,1.08106995184128,1.17795994419944,0.918282569247036,0.967143733157969
"2006",1.01906099330284,0.909449706927835,1.2472436661612,1.082159454543,1.07168150299405,0.976887090161169,1.38881312011222,1.40012102299347,1.24814121818387,1.00786923808602,1.42388544929118,1.88082913428148,1.24218462562245,1.14787533576904,1.32852968981725,1.24129647899165,1.1971526033021,1.21746023327954,1.09962209878803
