"","P22","P23","P25","P27","P32","P33","P34","P35","P36","P37","P38","P39","P40","P21","P31","P29","P30","P24","P28","P26"
"2015",NA,1.06192156121844,1.20820173227972,NA,NA,0.994860888543248,1.28623437842418,1.05422029455094,0.668894345380203,NA,1.0857601877813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014",NA,1.42445498572548,1.20701652887157,NA,NA,1.23840805932344,0.85447780701112,0.970070528764094,0.597780486293144,NA,1.09392853091104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013",NA,1.68795303700399,1.10236715071321,NA,NA,0.988263089740667,1.30450572653933,1.13710188944352,0.756389964493204,NA,1.24521847850142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012",NA,1.90500969873736,1.31109841839929,NA,NA,1.0888507683007,1.01023916289778,1.26354580362423,1.39850773812788,NA,1.36178965403052,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011",NA,0.728959229241979,0.591726432059914,NA,NA,0.812752024884877,0.61723214843284,1.00113273229674,1.03717249395036,NA,0.863625919717757,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010",NA,0.623461902715067,0.727162481255603,NA,NA,0.906888456405385,0.829771767953486,1.16382335450813,0.971257422901663,NA,0.709924013097889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",NA,0.436422861139869,0.719596529436116,NA,NA,0.782423520230223,0.883377289938748,1.07477486579482,0.974063405130279,NA,0.919307650103837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008",1.05337458742256,0.510489326089435,0.653030254287617,0.815318674919812,0.369069633955665,0.77095420458957,0.832676691062007,1.12609136664784,0.992444436367693,0.594853795334232,0.731896491107815,0.603701689952011,0.859224600183755,1.18896660736383,0.944977302621058,1.01703011013706,0.860946863201852,0.567969932082301,0.822021282735012,0.641508861476027
"2007",1.44060008306787,0.762467838024356,0.803745984569544,0.784480783211801,0.610517086050592,0.891562709661757,0.987405469864732,0.970715521629718,1.04300885095923,0.689173392521707,0.829836232854925,0.817129319934535,1.09724969218958,1.63536080144049,1.23466945139777,0.976984643157371,1.20156469422205,0.856128648297915,0.793826844622106,0.973451245815252
"2006",1.19336013874925,0.685765123069917,0.883523852426045,0.917274296932058,0.729754063102418,1.04294532599167,1.10781535167392,0.844728181250544,1.1297510088139,0.86349774368438,1.07725341737411,1.19857646335742,1.31859407509471,1.07421308107903,1.00612998625381,0.942197468387498,0.898379022869124,0.91467455460685,1.01108556686226,0.99635101874499
