"","P20","P42","P44","P45","P48","P49","P50","P51","P52","P53","P54","P55","P56","P57","P58","P60","P46","P47","P59"
"2015",0.725535708201164,1.3746109546405,NA,NA,NA,1.33909688773715,NA,NA,NA,NA,NA,NA,NA,1.00129177706908,1.51265483519286,1.48184600569448,NA,NA,1.13728635910401
"2014",1.06498793140217,1.33779533058813,NA,NA,NA,0.982277691867486,NA,NA,NA,NA,NA,NA,NA,0.702381524333285,1.00037687990648,1.34836780286629,NA,NA,0.855755396308139
"2013",1.11410767443141,1.06084730630013,NA,NA,NA,1.2064107797052,NA,NA,NA,NA,NA,NA,NA,0.686732313024229,0.822330932837943,1.24466740132768,NA,NA,0.87175019963979
"2012",0.889518646680688,0.883800615291354,NA,NA,NA,1.04757650807179,NA,NA,NA,NA,NA,NA,NA,0.933344727426939,0.572218648812886,0.855753848787775,NA,NA,0.587888061638123
"2011",0.720985203407608,0.74418786915642,NA,NA,NA,0.541352896476666,NA,NA,NA,NA,NA,NA,NA,0.455740849766598,0.441329726410983,0.523741447712415,NA,NA,0.372093864865179
"2010",0.668110572821137,0.749449262208065,NA,NA,NA,0.794031779105537,NA,NA,NA,NA,NA,NA,NA,0.578849255769055,0.63819303879175,0.881441250536544,NA,NA,0.703600880432395
"2009",0.814422565784221,0.899260941209756,NA,NA,NA,0.997914259143515,NA,NA,NA,NA,NA,NA,NA,0.626126158066956,0.931610352075916,0.692978284373097,NA,NA,1.13157386054129
"2008",1.06839684921862,0.821919841549713,0.929618600124602,0.999127879512311,1.27094101130993,0.810106310133039,0.713367942526015,0.752566363739543,0.799221375207282,0.798393122598162,0.673425025107323,0.915489928126257,0.652436050517735,1.18238733970795,0.954039904127975,1.030734182522,1.1334772078373,0.886539917806522,0.98371824337126
"2007",1.13703790438138,1.07225913697292,1.05776196404256,1.0980988128622,1.35130628325825,0.902314466724046,1.09691670453195,0.929466645328835,1.01879503183216,0.832020947553079,0.913562415257089,1.13443656291831,1.06525407845175,1.26296887171115,1.11876744244215,1.04227976922236,0.988017508614612,1.13373137214156,1.14071448004441
"2006",0.7972785242078,0.74704803654066,0.895008730195338,0.771428060653074,0.755915457374119,0.653265476151357,0.769318790997387,0.703178152917931,0.626881150631206,0.601861498295545,0.60613967869689,0.782476422415439,0.705964046702693,0.873867865193569,0.952568318603545,0.738627180170613,0.584615592213973,1.00550504915628,0.869494608187703
"2005",1.13617375317013,1.09663557019276,1.35587897760691,1.05461092821985,1.14860110693253,1.01549516680373,0.886439375712487,0.856831807956817,0.816199722459074,1.09395914923665,1.33947158142236,1.1663372486044,1.10068984532058,0.9264049751122,1.3011842599065,0.912008329466506,1.01952555054546,1.21078386486678,1.29450536229808
"2004",1.11500083050889,1.14387779260226,1.48646302788004,1.09754967660089,1.37076356209327,1.18530635659352,1.09036666292439,1.0761320843809,1.0374805956567,1.25353378456033,1.42126525119658,1.17939844644545,1.08856642358504,0.89731845227373,1.58131422338147,1.02113399713724,0.981998670300249,1.35878813712661,1.66828595569142
"2003",1.37023978118758,1.15798626894474,1.38404974166041,1.0468307995599,1.36241390600731,1.22324587606121,0.998185435780539,1.08686236289838,1.49042650166437,1.27313673108571,1.17020245780866,1.35448545439715,1.12365804180274,0.713377392272765,1.30940770908465,0.910833002851756,1.26980864833694,1.32000651752857,1.31269388368917
"2002",1.04658991107916,0.784419025068579,1.06824702342522,0.900025878948549,1.03828752140485,0.942319626702598,0.593936204957782,0.921494881842884,1.24213144393606,0.896178721152164,0.948964206836873,1.09275939665523,0.985645704876854,0.485775457248897,0.904262149166004,0.861486574222879,0.934853108149806,0.992483393749492,0.97557753447571
"2001",1.4370071937554,1.25814060394857,1.16352002733156,1.21828963886395,1.16601179140993,1.2510883397246,1.18851409339916,1.20986672743667,1.28217582172141,1.24290963624945,1.36197631758148,1.08231793102387,1.00717831027755,0.668263557792673,0.993862379899702,1.03361267517987,1.21570497595332,1.22494365676987,1.01266820807025
"2000",1.39430360713813,1.06500819020427,1.01753002953769,1.08345730776176,0.989453079696377,1.14886825041916,1.12647156547192,1.15798417503313,1.10084740643673,1.2885319972525,1.14196810037385,1.30694634981556,1.10516828053571,0.909034164546571,0.860728372945009,0.926531102048406,0.903706568046694,1.15226078235487,1.12252033301447
"1999",0.749902660279798,0.5035867294014,0.519062294682123,0.66283501813947,0.526612427571728,0.601395034143789,0.825527331955717,0.78881598590902,0.471528578642625,0.832885955788403,0.633937756175594,0.604982132164565,0.796843979978019,1.00493872096213,0.570623777271568,0.451519158663755,0.553355253330733,0.713545614458851,0.635862922479152
"1998",1.08999874991108,1.03908604854137,0.606362361109172,1.05202698165585,0.621451357061813,0.72059301759712,1.01605706719291,1.17327683273089,1.02941904131136,1.23626848850612,1.02100169863405,0.876905947764532,1.04740233509478,1.33889500648856,0.879529709756914,0.594246542452654,0.834666451659913,0.84781349058921,1.00777283880024
"1997",1.0162060229692,0.69965774414044,0.484879249261317,1.08097681007469,0.60533303844497,0.680166267785278,0.781425329150688,0.948913999963863,0.411901319093301,0.63207541344154,0.766298376289279,0.68203655677342,0.695509837478532,1.10049097354325,0.832738867023802,0.563121432930238,0.94399327461532,0.567473359959292,0.99655327557139
"1996",1.3692626137722,1.1781528219667,1.15931531116264,1.48523070005281,0.85482411237147,1.15258640974754,1.27573703237882,1.20725340710984,1.21815719289031,0.997382718752078,1.0541628706471,0.893372826604151,1.12697041252944,1.40476150405786,1.373667927042,0.995782023610663,1.42971051438483,0.797258399181057,1.56515921115143
"1995",1.11690310472999,0.963194417613893,0.962431715973785,1.35077187689781,0.767609797487003,0.932139856920694,1.22721568092618,1.20237733544042,1.01962206529863,1.07518163177355,0.953464972695107,0.818046808063941,1.22828842738727,1.21152087855572,1.11628476349754,1.00822449943155,1.35247724700591,0.795115048607225,1.19854901074845
"1994",1.41864829730032,1.22811578090754,1.21264512105114,1.40845364721296,0.868399606095586,1.05996256982694,1.18624057168929,1.15404258498903,1.19686913446363,1.18700538322097,1.07509581600528,1.04221232068035,1.32094197117173,1.31794388917979,1.13331611469461,1.20396656717663,1.44324521038042,0.931573920608445,1.19403217866966
"1993",0.742826945860431,0.976770172460093,1.00374660624247,1.02170341224097,0.711082997686547,0.828247150469096,0.873440105571245,0.782011447863189,0.931257944160017,0.81038921652396,1.02249955709644,0.732929626712836,1.06940247263753,1.03358392977604,0.823371833227162,0.896802360027498,1.16800302506307,0.728256083290199,0.844431222821338
"1992",1.42546817988705,1.27289168968388,1.17745485303421,1.31898227215178,0.935481253027343,1.59638128686286,1.22611403832402,1.27406476943985,1.24155712944816,1.42670230757641,0.907761967068907,1.10500801168476,1.51949626930033,1.40923198021082,1.38506825762169,1.43069232078732,1.15500459479791,0.970984450524074,1.4037386318868
"1991",0.741778928548013,0.696844247338175,0.621923567652823,0.763156367132821,0.889094475759578,0.821954165866702,0.879953983532798,0.902524378216237,0.840815197300569,0.672356033521811,0.66992008035663,0.603759178316918,0.787263510446376,1.21325559914772,0.956335459457039,0.801601141943675,0.604569471728349,0.781062499563623,0.807042674367133
"1990",1.34123441401812,1.34096942919274,0.914344987445339,0.965754683216362,0.915412334116514,1.21778759896879,1.32832441815882,0.937793132954901,1.2101203820136,0.959639798625101,0.951794107757341,1.20505532057951,1.06932887153202,1.36100408881408,1.59464340073985,1.36450139078755,1.12818901045395,0.740526911104692,1.47348739628238
"1989",0.935827864071177,1.17801668468977,0.689573913265103,0.996796019009771,1.20240516338741,1.262364011188,1.20917953390319,1.06001700365152,0.897036352093872,0.920688482459061,1.12657480032263,1.0526168023579,1.11860267718525,1.35579354361147,1.35428353611778,1.52482609189214,0.999985221887051,0.800121744331216,1.23045334217616
"1988",1.29865712212521,1.22925916082695,1.10855842159696,1.13453872566675,1.36674526706113,1.10389647844254,1.22095990994324,1.3888320319934,1.26448624564932,1.17201079511315,1.45708024921449,1.20808906896644,0.956506234230839,1.29616919398846,1.3784556924222,1.3402108707352,1.17004927258756,1.06873935229365,1.23207942833689
"1987",1.04372405881877,1.16081666709988,1.20153111850364,1.07050427000267,1.143382446803,1.24388801268046,1.27443894826239,1.56926236755868,1.2761725880282,1.25729373607089,1.34422633729455,1.16782304885023,0.994855510138456,1.25869386788924,1.31525509620363,1.53668434844523,1.13679830361618,1.09175349716114,1.15311989185532
"1986",1.20341152342976,1.19765743210909,0.940584804408071,0.961681177015512,1.07703015662773,1.36213292951289,1.25326795282839,1.50283524814908,1.46399743367166,1.2033699658307,1.50742201479404,1.0614538492846,1.69511167913184,1.40670329820632,1.43997723889584,1.92552776276154,1.1180046870595,1.32467169202034,1.31471790846252
"1985",1.06664408145239,0.928043485600162,1.01336285447584,0.778225465820741,1.17067624499662,0.995521771042479,1.09060977389132,1.13592516676308,1.50955372279647,0.88967546740639,1.08900482099109,1.28395696249968,1.38148812472832,1.18079702714649,1.00101159245113,1.31588502393748,1.28473009006921,1.26442073719987,0.956786389772831
"1984",0.935836700748486,0.825040258941771,0.999366184621511,0.695365275997379,1.11704001101338,0.692273102259909,1.12846475218861,0.915515493386069,1.00986909657109,0.902932487217589,0.694674019864855,0.944294777379149,0.979376162429814,1.14116774977566,0.830588356590426,0.938898407665019,1.19237187793047,1.24708354736062,0.799396310056165
"1983",0.795672051600795,0.800383946550833,0.733404820895919,0.725969083617039,1.20722427119749,0.927835759463398,1.22764256663217,0.924360025238827,0.815831118961137,0.991689708612006,1.0423837219946,0.916293464785241,1.07199552288887,0.968638412818086,0.784008240083112,0.993353920986925,1.04177996567221,1.34921828686039,0.895275240539209
