"","Q51","Q52","Q53","Q54","Q55","Q56","Q57","Q58","Q59","Q60","Q61","Q62","Q63","Q64","Q65","Q66","Q67","Q68","Q69","Q70"
"2015",1.34848838728902,NA,0.782642887108179,1.2813002957069,1.22571104259683,1.08266577729839,1.07200249858155,0.645796758807321,0.665573953930973,1.12730692586091,0.868846358088907,1.10311088962457,1.11781899429005,1.00789125230671,0.893689970518375,1.44979097389624,1.44392947365394,1.18896071848299,0.925405370283345,1.2709450279773
"2014",1.33255440104476,NA,0.630921392910549,0.928667376015715,1.0907826593557,1.00567969346094,0.898090759399178,0.631300252036513,0.660406090181235,1.03521110560975,0.723787083410428,1.04774160747512,1.20840479898847,0.997868632888758,1.00573405971402,1.31688087364181,1.15686260451109,1.18311948272396,0.872945297945353,1.16819965841494
"2013",1.25939872062612,NA,0.588839785140208,0.959043292146803,1.08512349823392,0.960566730761816,0.836640944570456,0.332863897637481,0.802392411332098,1.00830236875877,0.838315863261374,0.966396781765007,1.02440263206279,0.804579872483652,0.905567960570599,0.957040284570779,0.965446480715519,0.835012355886877,0.69707732351245,0.989873396993614
"2012",1.21477784856606,NA,0.792153919757212,1.17895749165054,1.08893804892207,1.07241277134881,0.906033264130038,0.192947326467729,0.959237989156129,1.07392553699461,1.00629588852421,1.29054788379624,0.980509557790334,1.01131168788454,0.94893279231341,1.07528374382779,1.0851177834436,0.941001132341552,1.04416015025683,1.11218888211244
"2011",0.70654721706298,1.12679229097433,0.748127514016403,0.750638787385991,0.738919492670638,0.881979044990441,0.808549232738412,0.918886176126075,0.744448119577039,0.830351818577737,0.782309361296664,1.11936366368645,0.839861912460059,1.04710914206978,0.86257041031608,0.854590963400382,0.813076862040422,0.858452664659515,1.09418179250088,0.935337695629974
"2010",0.827411716176118,1.10664910620574,0.832804866007169,0.888969186506968,0.984915320302459,0.841386823635621,0.929067577787258,0.931597252693469,0.999380428782171,0.865350603072905,0.860739528850249,1.02176650234485,0.834044766319672,0.92614152744679,0.841757449300542,1.06068732970629,0.930819720063237,1.03896118289231,1.05092934443426,0.977548091214138
"2009",1.08845591747791,1.16131983248245,1.17477876296018,1.25037378250246,1.29433627935637,1.19486890769952,1.24785894126945,1.40796626808159,1.27001354027484,0.936460921143954,1.01792027418343,1.18784882333762,0.962764069397773,0.98036346677144,1.04455562778654,1.14273451564902,0.942872101122528,1.10659186928682,1.19980779395772,1.0953576530069
"2008",0.8528922729585,0.834073882217103,1.39950706889522,1.04986881807662,1.05062732595086,0.957259811684494,0.964452215286077,1.01260982984486,0.933678175232747,0.855531535886628,0.887633266959631,1.02970439292153,0.773869053003234,0.934228337810164,0.749785359911343,1.04176125137751,0.930331843860296,0.901168803131828,1.29650351082492,0.928847255096389
"2007",0.762754812041877,0.979357226997251,1.17997893868809,0.84867395073134,0.916669929949267,0.943655253239203,0.887273798982524,0.89840521918477,1.01950331115849,0.768528610905137,0.786664475477945,0.948479642511936,0.673321748363031,0.978741464671892,0.933022939114113,0.972390392318809,0.900916816750975,0.9074355726245,1.05446001175226,0.89790825980641
"2006",0.847287942735543,0.951226871692612,1.22260678230038,0.960749770396703,1.02471048565012,0.991036356815917,1.40736272354147,1.10051852057829,1.23391025817616,0.850548574831328,0.991284752596526,1.20677029253161,0.883294142112857,0.952648252390048,0.997560489500103,1.0570212328295,1.01510773655173,0.986145206753617,0.996157493877255,0.987387503461883
