"","Q02","Q96","Q20","Q22","Q23","Q31","Q33","Q35","Q68","Q71","Q75","Q76","Q77","Q37","Q39","Q41","Q43","Q50","Q46"
"2015",1.33608619617139,NA,1.36534031071576,NA,NA,NA,NA,1.09044212892273,NA,0.278908971966681,1.11162368265696,NA,NA,1.13075965465477,NA,NA,NA,1.22365352020346,1.4729333180425
"2014",1.26965267559792,NA,1.32814670706959,NA,NA,NA,NA,0.993032407152105,NA,0.607603750591814,1.06660062808136,NA,NA,1.18604585782892,NA,NA,NA,1.30352950906481,1.14644383584314
"2013",1.32670538582638,NA,1.21706433128469,NA,NA,NA,NA,0.632872820755989,NA,1.36499443436926,1.08338508918423,NA,NA,0.910527651187752,NA,NA,NA,1.1966057664272,1.38516583428007
"2012",0.773744899067175,NA,1.34998545109794,NA,NA,NA,NA,0.721239137815627,NA,1.00227780533841,0.942123872664444,NA,NA,0.773994358163221,1.01038703979795,0.859497320019615,1.14135828186548,0.712013721761503,1.05063013084685
"2011",0.506415045775949,NA,0.748960901161842,0.517636543647272,0.702603219129281,0.538801487737782,0.678682605674182,0.727265691289884,0.843698881684968,0.805739934231108,0.846769201014091,0.866082528430052,0.995114950192777,0.786039037742654,0.863547873910853,0.807148557298717,0.962389040915666,0.644347263444848,0.485353861165251
"2010",0.739093685716197,0.760526609603069,0.839795667328697,0.707167110768726,0.924339173285973,0.660841189742613,0.850638345215161,0.858119674553223,1.12799781049484,1.00240864703976,0.86315144383852,1.0169119383927,0.970399056284345,0.719805307454418,0.973858150291382,0.764790043128126,0.857434835946611,0.811573977334413,1.04966927620528
"2009",1.03125417946208,0.937412411609747,0.855794142684992,1.29925653288298,0.911804807355731,1.06461055806646,0.966373067735331,1.25922285931502,1.06825394630708,1.12524218745507,0.969392192043636,1.06085267452378,0.988984410091106,0.875006579608175,0.965368378976463,0.917192337248263,1.02822307999843,0.979674507401486,1.12821762248369
"2008",0.962138441026013,1.09607819183058,0.909546129956225,1.20299199390852,1.10403176374663,1.03163579123486,0.937359963559447,1.11903110063964,1.16572549572132,1.09379603302607,0.996450477306038,1.02967503095915,1.10864088580695,0.989455178865265,0.954478598304395,0.875135785496777,1.02295927461656,1.01080451563752,1.0871946059858
"2007",1.20401026637804,1.02730875129645,0.974185694102739,1.18697492534652,1.1307740644943,1.33556451935567,0.977598626281847,1.2837441537794,0.968874361288909,1.14620952337262,1.12625335497916,1.18804105001707,1.10283144090554,1.01321663250351,1.30409778016571,1.08614882663075,1.09331822178582,1.05124583577904,0.839861564475145
"2006",0.935449301220868,0.813678943114198,0.995749640913936,1.03527571471521,1.03529843348828,0.871726995329013,0.841722396197852,1.01279734415467,0.774442085922159,1.12245812309771,1.15288179744091,0.911948332618488,0.805762771135232,0.957990061883407,1.28585375717958,0.956164735109817,0.96993018815119,0.879979530041155,0.790724466708463
