age_CE,FHMR01B_raw,FHMR02A_raw,FHMR03A_raw,FHMR05A_raw,FHMR06A_raw,FHMR07A_raw,FHMR08B_raw,FHMR09A_raw,FHMR10A_raw,FHMR11A_raw,FHMR12A_raw,FHMR13B_raw,FHMR14B_raw,FHMR15B_raw,FHMR16A_raw,FHMR17B_raw,FHMR18B_raw,FHMR19B_raw,FHMR20B_raw,FHMR01B_raw_outlier_flag,FHMR02A_raw_outlier_flag,FHMR03A_raw_outlier_flag,FHMR05A_raw_outlier_flag,FHMR06A_raw_outlier_flag,FHMR07A_raw_outlier_flag,FHMR08B_raw_outlier_flag,FHMR09A_raw_outlier_flag,FHMR10A_raw_outlier_flag,FHMR11A_raw_outlier_flag,FHMR12A_raw_outlier_flag,FHMR13B_raw_outlier_flag,FHMR14B_raw_outlier_flag,FHMR15B_raw_outlier_flag,FHMR16A_raw_outlier_flag,FHMR17B_raw_outlier_flag,FHMR18B_raw_outlier_flag,FHMR19B_raw_outlier_flag,FHMR20B_raw_outlier_flag
1849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1850,NA,NA,0.56,1.18,NA,0.62,0.52,0.56,0.98,NA,NA,NA,0.08,NA,NA,1.01,NA,0.72,0.65,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE
1851,NA,NA,0.63,1.22,NA,0.88,0.67,0.72,0.78,NA,NA,NA,0.2,NA,NA,1.08,NA,0.93,1.02,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE
1852,NA,NA,0.82,0.9,NA,0.94,0.72,0.62,0.79,NA,NA,NA,0.28,NA,NA,0.84,NA,1.37,1.02,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE
1853,NA,NA,0.55,0.7,NA,0.81,0.63,0.54,0.79,NA,NA,NA,0.23,NA,NA,0.88,NA,0.87,0.77,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE
1854,NA,NA,0.54,0.54,NA,0.88,0.77,0.64,0.6,NA,NA,NA,0.25,NA,NA,0.68,NA,0.77,0.77,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE
1855,NA,NA,0.96,0.69,NA,1.1,0.85,0.97,0.97,NA,NA,NA,0.26,NA,NA,1.11,NA,1.41,0.85,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE
1856,NA,NA,0.35,0.39,NA,0.58,0.48,0.75,0.91,NA,1.05,NA,0.22,NA,NA,0.91,NA,0.88,0.8,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE
1857,NA,NA,0.23,0.35,NA,0.48,0.49,0.74,1.15,NA,0.94,NA,0.17,NA,NA,0.8,NA,0.99,0.94,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE
1858,NA,NA,0.23,0.21,NA,0.41,0.58,0.62,0.93,NA,0.6,NA,0.13,NA,NA,0.7,NA,0.69,1.11,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE
