tree,n_missing_total,n_missing_1980_on,n_outliers_total
PAN01A_raw,301,42,3
PAN01B_raw,301,42,2
PAN02A_raw,270,42,3
PAN02B_raw,252,42,2
PAN03A_raw,316,42,0
PAN03B_raw,271,42,1
PAN04A_raw,204,42,0
PAN04B_raw,216,42,0
PAN05A_raw,229,42,5
PAN05B_raw,229,42,2
PAN06A_raw,319,42,1
PAN06B_raw,319,42,2
PAN07A_raw,246,42,4
PAN07B_raw,327,42,1
PAN08A_raw,327,42,2
PAN08B_raw,327,42,2
PAN09A_raw,274,45,2
PAN10A_raw,330,45,0
PAN10B_raw,330,45,0
PAN11A_raw,286,42,2
PAN11B_raw,332,45,3
PAN12A_raw,156,42,4
PAN12B_raw,156,42,7
PAN13A_raw,298,45,1
PAN13B_raw,278,45,4
PAN14A_raw,330,45,1
PAN14B_raw,330,45,1
PAN15A_raw,214,42,7
PAN15B_raw,184,42,4
PAN15C_raw,296,45,2
PAN16A_raw,301,45,1
PAN16B_raw,311,45,3
PAN17A_raw,152,42,1
PAN17B_raw,144,42,3
PAN18A_raw,358,45,2
PAN18B_raw,234,42,3
PAN21A_raw,289,42,0
PAN21B_raw,289,42,0
PAN22A_raw,279,42,4
PAN22B_raw,279,42,2
PAN23A_raw,215,42,1
PAN23B_raw,215,42,0
PAN24A_raw,271,42,3
PAN24B_raw,271,42,0
PAN25A_raw,284,42,1
PAN25B_raw,278,42,1
PAN26A_raw,290,45,2
PAN26B_raw,310,45,1
