age_CE,WHIT0010_raw,WHIT0030_raw,WHIT0040_raw,WHIT0050_raw,WHIT0060_raw,WHIT0070_raw,WHIT0080_raw,WHIT0120_raw,WHIT0130_raw,WHIT0140_raw,WHIT0150_raw,WHITCH00_raw,WHIT0010_raw_outlier_flag,WHIT0030_raw_outlier_flag,WHIT0040_raw_outlier_flag,WHIT0050_raw_outlier_flag,WHIT0060_raw_outlier_flag,WHIT0070_raw_outlier_flag,WHIT0080_raw_outlier_flag,WHIT0120_raw_outlier_flag,WHIT0130_raw_outlier_flag,WHIT0140_raw_outlier_flag,WHIT0150_raw_outlier_flag,WHITCH00_raw_outlier_flag
1791,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1792,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1793,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1794,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1795,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1796,NA,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1797,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1798,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1799,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1800,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1801,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1802,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1803,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1804,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1805,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1806,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1807,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1808,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1809,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1810,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1811,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1812,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1813,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1814,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1815,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1816,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1817,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1818,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1819,NA,NA,NA,NA,0.21,NA,NA,NA,NA,0.89,NA,0.55,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE
1820,NA,NA,NA,NA,0.16,NA,NA,NA,NA,1.39,NA,0.78,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE
1821,NA,NA,NA,NA,0.13,NA,NA,NA,NA,1.7,NA,0.92,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,FALSE
1822,NA,NA,NA,NA,0.22,NA,NA,NA,NA,1.04,NA,0.63,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE
1823,NA,NA,NA,NA,0.17,NA,NA,NA,NA,0.88,NA,0.53,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE
1824,NA,NA,NA,NA,0.14,NA,NA,NA,NA,0.63,NA,0.39,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE
1825,NA,NA,NA,NA,0.24,NA,NA,NA,NA,0.79,NA,0.52,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE
1826,NA,NA,NA,NA,0.21,NA,NA,NA,NA,0.88,1.48,0.86,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE
1827,NA,NA,NA,NA,0.27,NA,NA,NA,NA,0.99,1.53,0.93,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE
1828,NA,NA,NA,NA,0.31,NA,NA,NA,2.2,0.97,1.45,1.23,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
1829,NA,NA,NA,NA,0.34,NA,NA,NA,2.26,0.99,1.46,1.26,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
1830,NA,NA,NA,NA,0.26,NA,NA,NA,1.78,0.85,0.81,0.93,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1831,NA,NA,NA,NA,0.27,NA,NA,NA,1.3,0.79,1.15,0.88,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1832,NA,NA,NA,NA,0.39,NA,NA,NA,1.56,0.7,1.37,1.01,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1833,NA,NA,NA,NA,0.38,NA,NA,NA,1.59,0.73,1.28,1,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1834,NA,NA,NA,NA,0.38,NA,NA,NA,1.57,0.85,1.15,0.99,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1835,NA,NA,NA,NA,0.36,NA,NA,NA,1.85,0.73,1.12,1.02,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1836,NA,NA,NA,NA,0.42,NA,NA,NA,2.05,0.65,1.02,1.04,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1837,NA,NA,NA,NA,0.35,NA,NA,NA,2.03,0.66,0.77,0.95,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1838,NA,NA,NA,NA,0.33,NA,NA,NA,2.4,0.62,1.03,1.1,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1839,NA,NA,NA,NA,0.45,NA,NA,NA,2.35,0.51,1.3,1.15,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1840,NA,NA,NA,NA,0.4,NA,NA,NA,1.9,0.47,1.26,1.01,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1841,NA,NA,NA,NA,0.58,NA,NA,NA,1.73,0.45,1.3,1.02,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1842,NA,NA,NA,NA,0.58,NA,NA,NA,2.09,0.39,1.18,1.06,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1843,NA,NA,NA,NA,0.68,NA,NA,NA,1.94,0.45,1.56,1.18,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
