age_CE,DBL01A_raw,DBL01B_raw,DBL01A_raw_outlier_flag,DBL01B_raw_outlier_flag
561,3.9,3.71,TRUE,TRUE
562,3.78,3.63,TRUE,FALSE
563,4.09,4.01,TRUE,TRUE
564,4.07,4.17,TRUE,TRUE
565,4.28,4.3,TRUE,TRUE
566,4.4,4.35,TRUE,TRUE
567,4.3,4.28,TRUE,TRUE
568,4.05,4.01,TRUE,TRUE
569,3.43,3.41,FALSE,FALSE
570,3.7,3.69,TRUE,TRUE
571,3.89,3.88,TRUE,TRUE
572,3.71,3.71,TRUE,TRUE
573,3.22,3.18,FALSE,FALSE
574,2.82,2.83,FALSE,FALSE
575,3.04,3,FALSE,FALSE
576,2.52,2.52,FALSE,FALSE
577,2.72,2.74,FALSE,FALSE
578,2.39,2.43,FALSE,FALSE
579,2.65,2.67,FALSE,FALSE
580,2.25,2.23,FALSE,FALSE
581,2.27,2.27,FALSE,FALSE
582,2.31,2.32,FALSE,FALSE
583,2.39,2.36,FALSE,FALSE
584,2.73,2.73,FALSE,FALSE
585,2.66,2.76,FALSE,FALSE
586,2.59,2.66,FALSE,FALSE
587,1.87,1.91,FALSE,FALSE
588,2.18,2.14,FALSE,FALSE
589,2.48,2.46,FALSE,FALSE
590,2.15,2.14,FALSE,FALSE
591,2.11,2.07,FALSE,FALSE
592,1.97,1.96,FALSE,FALSE
593,2.18,2.19,FALSE,FALSE
594,1.85,1.8,FALSE,FALSE
595,2.02,2.03,FALSE,FALSE
596,2.16,2.16,FALSE,FALSE
597,2.74,2.76,FALSE,FALSE
598,2.4,2.42,FALSE,FALSE
599,2.3,2.31,FALSE,FALSE
600,2.71,2.74,FALSE,FALSE
601,2.4,2.34,FALSE,FALSE
602,2.6,2.57,FALSE,FALSE
603,2.42,2.37,FALSE,FALSE
604,2.15,2.15,FALSE,FALSE
605,2.56,2.61,FALSE,FALSE
606,2.07,1.94,FALSE,FALSE
607,2.16,2.19,FALSE,FALSE
608,2.68,2.74,FALSE,FALSE
609,1.78,1.83,FALSE,FALSE
610,1.23,1.25,FALSE,FALSE
611,2.19,2.2,FALSE,FALSE
612,2.13,2.15,FALSE,FALSE
613,2.01,2.02,FALSE,FALSE
614,1.66,1.69,FALSE,FALSE
615,1.44,1.43,FALSE,FALSE
616,1.88,1.86,FALSE,FALSE
617,1.41,1.39,FALSE,FALSE
618,1.66,1.63,FALSE,FALSE
619,1.28,1.31,FALSE,FALSE
620,1.38,1.38,FALSE,FALSE
621,1.61,1.61,FALSE,FALSE
622,1.76,1.77,FALSE,FALSE
623,1.71,1.72,FALSE,FALSE
624,2.08,2.06,FALSE,FALSE
625,1.9,1.94,FALSE,FALSE
626,1.58,1.63,FALSE,FALSE
627,1.84,1.77,FALSE,FALSE
628,2.41,2.35,FALSE,FALSE
629,1.7,1.71,FALSE,FALSE
630,1.76,1.74,FALSE,FALSE
631,1.41,1.37,FALSE,FALSE
632,1.39,1.37,FALSE,FALSE
633,1.68,1.68,FALSE,FALSE
634,1.86,1.91,FALSE,FALSE
635,2.14,2.23,FALSE,FALSE
636,1.48,1.52,FALSE,FALSE
637,1.2,1.21,FALSE,FALSE
638,1.06,1.06,FALSE,FALSE
639,0.99,0.93,FALSE,FALSE
640,0.79,0.78,FALSE,FALSE
641,0.75,0.79,FALSE,FALSE
642,0.72,0.7,FALSE,FALSE
643,1.42,1.47,FALSE,FALSE
644,1.48,1.54,FALSE,FALSE
645,1.6,1.59,FALSE,FALSE
646,1.55,1.56,FALSE,FALSE
647,1.35,1.39,FALSE,FALSE
648,0.98,1.12,FALSE,FALSE
649,1.76,1.69,FALSE,FALSE
650,2.19,2.07,FALSE,FALSE
651,1.47,1.45,FALSE,FALSE
652,1.55,1.64,FALSE,FALSE
653,1.11,1.17,FALSE,FALSE
654,0.86,0.92,FALSE,FALSE
655,1.03,0.9,FALSE,FALSE
656,1,1.11,FALSE,FALSE
657,1.06,1.16,FALSE,FALSE
658,1.37,1.61,FALSE,FALSE
659,1.57,1.64,FALSE,FALSE
660,1.67,1.51,FALSE,FALSE
661,1.48,1.4,FALSE,FALSE
662,1.14,1.14,FALSE,FALSE
663,0.98,1.02,FALSE,FALSE
664,0.97,1.02,FALSE,FALSE
665,0.44,0.45,FALSE,FALSE
666,0.46,0.43,FALSE,FALSE
667,0.6,0.59,FALSE,FALSE
668,0.94,0.91,FALSE,FALSE
669,0.88,0.84,FALSE,FALSE
670,1.52,1.42,FALSE,FALSE
671,1.8,1.83,FALSE,FALSE
672,2.03,2,FALSE,FALSE
673,1.13,1.13,FALSE,FALSE
674,0.71,0.74,FALSE,FALSE
675,0.85,0.86,FALSE,FALSE
676,1.11,1.13,FALSE,FALSE
677,1.39,1.38,FALSE,FALSE
678,1.49,1.49,FALSE,FALSE
679,1.57,1.57,FALSE,FALSE
680,1.83,1.76,FALSE,FALSE
681,1.46,1.44,FALSE,FALSE
682,1.95,1.96,FALSE,FALSE
683,1.93,1.93,FALSE,FALSE
684,1.73,1.83,FALSE,FALSE
685,2.31,2.26,FALSE,FALSE
686,1.85,1.8,FALSE,FALSE
687,1.5,1.44,FALSE,FALSE
688,0.99,0.93,FALSE,FALSE
689,0.95,0.93,FALSE,FALSE
690,1.42,1.44,FALSE,FALSE
691,1.38,1.43,FALSE,FALSE
692,1.2,1.24,FALSE,FALSE
693,1.4,1.47,FALSE,FALSE
694,1.06,1.04,FALSE,FALSE
695,1.27,1.18,FALSE,FALSE
696,1.45,1.45,FALSE,FALSE
697,1.72,1.76,FALSE,FALSE
698,1.77,1.76,FALSE,FALSE
699,1.79,1.71,FALSE,FALSE
700,1.91,1.87,FALSE,FALSE
701,1.69,1.69,FALSE,FALSE
