age_CE,773011_raw,773012_raw,773021_raw,773022_raw,773031_raw,773032_raw,773041_raw,773042_raw,773051_raw,773052_raw,773061_raw,773062_raw,773071_raw,773072_raw,773081_raw,773082_raw,773091_raw,773092_raw,773101_raw,773102_raw,773111_raw,773112_raw,773121_raw,773122_raw,773131_raw,773132_raw,773141_raw,773142_raw,773011_raw_outlier_flag,773012_raw_outlier_flag,773021_raw_outlier_flag,773022_raw_outlier_flag,773031_raw_outlier_flag,773032_raw_outlier_flag,773041_raw_outlier_flag,773042_raw_outlier_flag,773051_raw_outlier_flag,773052_raw_outlier_flag,773061_raw_outlier_flag,773062_raw_outlier_flag,773071_raw_outlier_flag,773072_raw_outlier_flag,773081_raw_outlier_flag,773082_raw_outlier_flag,773091_raw_outlier_flag,773092_raw_outlier_flag,773101_raw_outlier_flag,773102_raw_outlier_flag,773111_raw_outlier_flag,773112_raw_outlier_flag,773121_raw_outlier_flag,773122_raw_outlier_flag,773131_raw_outlier_flag,773132_raw_outlier_flag,773141_raw_outlier_flag,773142_raw_outlier_flag
1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,NA,NA,NA,NA,NA,NA,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3.5,NA,NA,NA,NA,NA,NA,5.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
1682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17,2.94,NA,NA,NA,NA,NA,NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
1683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43,3.73,NA,NA,NA,NA,NA,NA,3.13,NA,NA,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA
