Year,AM_Spring-6b,AM_Spring-7a,AM_Creek-1b,AM_Creek-8a,AM_Creek-9a,AVG_Spring,AVG_Creek,AVG_ALL
1994,31.2,26.3,24.6,24.7,24.8,28.8,24.7,26.3
1995,29.3,30.4,26.1,25,25.5,29.8,25.5,27.2
1996,25.7,26,25.2,25.1,27.6,25.8,26,25.9
1997,26.8,28.8,28,25.5,28.1,27.8,27.2,27.5
1998,29.6,25.8,25.6,23.2,27.9,27.7,25.6,26.4
1999,27.5,28.7,29.9,25.3,25.1,28.1,26.8,27.3
2000,28.4,28.7,27.4,25.4,27.3,28.5,26.7,27.4
2001,27.4,28.8,27.7,24.6,27.4,28.1,26.6,27.2
2002,31.9,28.4,29.4,28.1,25.1,30.2,27.5,28.6
2003,29.3,26.7,27.5,25.2,26.5,28,26.4,27.1
2004,29,30.2,29.2,25.9,26.5,29.6,27.2,28.2
2005,29.1,29,27,28.3,26.4,29,27.2,28
2006,27.7,27.6,26.4,27.2,24.7,27.7,26.1,26.7
2007,29.4,26.9,24.5,24.4,25,28.2,24.6,26
2008,26,23.7,28.6,25.6,25.8,24.9,26.6,25.9
2009,28,24,26.4,23,25.4,26,24.9,25.4
2010,29.9,25,29.2,25,26,27.4,26.7,27
2011,31.3,28.8,26.7,27.1,27.8,30.1,27.2,28.3
2012,30.4,33.7,27.7,28,26.7,32.1,27.5,29.3
2013,28.6,27.7,27,23.4,26.1,28.2,25.5,26.6
2014,23.7,24.1,26.3,27.2,25.3,23.9,26.3,25.3
2015,25.1,25,25,23.2,24.8,25.1,24.3,24.6
2016,27.9,26.2,27.3,23.7,25.7,27.1,25.6,26.2
