localID,title,alternateTitle,abstract,dataType,coordinateLon_WGS84,coordinateLat_WGS84,publicationDate,largerWorkCitation,attachmentFileName
BQB01FS,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB01FS.zip
BQB02aFS,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB02aFS.zip
BQB03FS,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB03FS.zip
BQB04A,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB04A.zip
BQB04B,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB04B.zip
BQB4,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB4.zip
BQB05aFS,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB05aFS.zip
BQB06aFS,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB06aFS.zip
BQB07FS,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB07FS.zip
BQB08FS,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-104.92441,37.09145,9/30/2024,NA,BQB08FS.zip
BNIE31,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-105.071692,37.105704,9/30/2024,NA,BNIE31.zip
BE29,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-105.068631,37.106914,9/30/2024,NA,BE29.zip
BE30,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-105.068631,37.106914,9/30/2024,NA,BE30.zip
BA5,BarNI Ranch,"Geosciences and Environmental Change Science Center: Fire, Climate, Humans Project","Data consist of digital images of tree ring fire history samples collected from Bar-NI Ranch in southcentral Colorado, USA.",digital images,-105.06395,37.107602,9/30/2024,NA,BA5.zip
