Site,Year,d18O_flow-weighted_water_year,d18O_calendar_year,d2H_calendar_year,dexcess_calendar_year
Andrews Creek,1992,-16.98,-16.77,-120.63,13.53
Andrews Creek,1993,NA,NA,NA,NA
Andrews Creek,1994,-18.42,-18.02,-129.91,14.23
Andrews Creek,1995,-17.68,-17.54,NA,NA
Andrews Creek,1996,-18.09,-17.47,NA,NA
Andrews Creek,1997,-18.2,-17.59,NA,NA
Andrews Creek,1998,-16.93,-16.38,NA,NA
Andrews Creek,1999,-17.29,-16.45,NA,NA
Andrews Creek,2000,-17.26,-16.17,-125.58,3.81
Andrews Creek,2001,-16.24,-15.65,-120.59,4.65
Andrews Creek,2002,-16.06,-15.42,-121.56,1.78
Andrews Creek,2003,-16.34,-15.71,-120.41,5.25
Andrews Creek,2004,-15.9,-15.2,-116.47,5.12
Andrews Creek,2005,-15.2,-14.78,-113.63,4.63
Andrews Creek,2006,-17.02,-16.32,-120.24,10.35
Andrews Creek,2007,-17.11,-16.24,-120.25,9.69
Andrews Creek,2008,-18.28,-17.34,-129.66,9.03
Andrews Creek,2009,-18.11,-17.67,-130.56,10.8
Andrews Creek,2010,-17.54,-16.97,-124.3,11.48
Andrews Creek,2011,-17.83,-17.3,-126.33,12.08
Andrews Creek,2012,-16.91,-16.22,-121.17,8.56
Andrews Creek,2013,-17.09,-16.35,-118.04,12.75
Andrews Creek,2014,-18.13,-17.02,-122.59,13.55
Andrews Creek,2015,-16.64,-16.32,-117.89,12.67
Andrews Creek,2016,-15.98,NA,NA,NA
Andrews Creek,2017,NA,NA,NA,NA
Andrews Creek,2018,NA,NA,NA,NA
Andrews Creek,2019,NA,NA,NA,NA
Andrews Spring,1996,NA,-15.31,-102.48,20.03
Andrews Spring,1997,NA,-16.16,NA,NA
Andrews Spring,1998,NA,-15.12,-106.05,14.88
Andrews Spring,1999,NA,-15.7,-114.96,10.64
Andrews Spring,2000,NA,-15.61,-117.91,6.95
Andrews Spring,2001,NA,-14.71,-113.18,4.51
Andrews Spring,2002,NA,-14.97,-116.96,2.78
Andrews Spring,2003,NA,-14.85,-117.05,1.79
Andrews Spring,2004,NA,-13.99,-109.85,2.06
Andrews Spring,2005,NA,-13.88,-107.2,3.86
Andrews Spring,2006,NA,-15.18,-114.35,7.09
Andrews Spring,2007,NA,-15.46,-117.99,5.66
Andrews Spring,2008,NA,-16.79,-128.27,6.07
Andrews Spring,2009,NA,-16.53,-124.46,7.77
Andrews Spring,2010,NA,-15.95,-118.22,9.35
Andrews Spring,2011,NA,-16.16,-120.02,9.24
Andrews Spring,2012,NA,-14.86,-113.81,5.03
Andrews Spring,2013,NA,-15.37,-113.17,9.83
Andrews Spring,2014,NA,-16.52,-120.78,11.37
Andrews Spring,2015,NA,-15.57,-114.28,10.3
