ColoradoFCH_DataDictionary,,,,
"Data dictionary for Brice and others (2024), Preserving Tree-Ring Datasets for Climate and Hazard Research and Understanding Societal Impacts: Colorado Fire, Climate, Humans, U.S. Geological Survey Data Release, https://doi.org/10.5066/P1ZT57UZ",,,,
,,,,
"Note: Not all samples have complete data. The abbreviation ""NA"" (not available) was used when it was not applicable to record data in a cell.",,,,
,,,,
File Name,Field Name,Description,Units,Valid values or range of valid values
ColoradoFCH_Spreadsheet Template for Item Level Metadata.csv,localID,Unique identifier assigned in the field to sampled tree,NA,NA
,title,Unique identifier assigned to the sampling site,NA,NA
,alternateTitle,Unique identifier assigned to the archiving Science Center and project name,NA,NA
,abstract,Brief description of what the data are and their collection location,NA,NA
,dataType,The form of the data,NA,NA
,coordinateLon_WGS84,Geographic coordinates of the sample: longitude,Decimal degrees,-105.366 to -104.924
,coordinateLat_WGS84,Geographic coordinates of the sample: latitude,Decimal degrees,37.092 to 40.464
,publicationDate,The date of the NGGDPP archive publication,Calendar year,9/30/2024
,largerWorkCitation,"If applicable, the publication citation for published work using the data.",NA,NA
,attachmentFileName,"Name of the compressed folder containing raw (ARW) and composited (JPG, TIF) image files.","ARW, JPG, TIF, RAW, RWL",NA
