Year,Precipitation_d18O,Precipitation_d2H,Precipitation_dexcess,Snowpack_d18O,Snowpack_d2H,Snowpack_dexcess,Snowpack_depth_cm
1993,NA,NA,NA,-20.3,-150,12.4,NA
1994,NA,NA,NA,-21.58,-160.08,12.56,244
1995,NA,NA,NA,-19.87,-146.24,12.72,203
1996,NA,NA,NA,-21.36,-158.2,12.68,NA
1997,NA,NA,NA,-21.45,-158.26,13.34,320
1998,NA,NA,NA,-20.8,-153.06,13.34,264
1999,NA,NA,NA,-21.18,-149.28,20.16,231
2000,NA,NA,NA,-22.02,-166.21,9.95,231
2001,-13.99,-102.9,9.06,-20.72,-156.03,9.73,193
2002,-15.04,-107.17,13.18,NA,NA,NA,152
2003,-15.04,-110.54,9.81,-18.37,-137.77,9.19,325
2004,-15.35,-112.17,10.66,-20.44,-154.93,8.59,218
2005,-14.94,-108.7,10.83,-19.9,-150.2,9,241
2006,-14.67,-104.51,12.87,NA,NA,NA,259
2007,-15.31,-110.87,11.62,NA,NA,NA,216
2008,-17.31,-127.06,11.42,-21.16,-160.71,8.57,310
2009,-17.13,-125.11,11.9,-22.3,-167.2,11.2,251
2010,-15.67,-113.27,12.1,-21.72,-162.25,11.51,239
2011,-16.9,-124.77,10.45,-20.23,-149,12.84,348
2012,-14.99,-109.09,10.85,-20,-143,17,203
2013,-15.68,-112.59,12.85,-21.77,-162.86,11.3,170
2014,-17.68,-130.35,11.13,-21.24,-158.33,11.59,333
2015,-17.66,-128.35,12.91,-20.01,-147.62,12.46,254
2016,NA,NA,NA,-20.8,-155.3,11.1,264
2017,NA,NA,NA,-19.7,-154.57,3.03,315
2018,NA,NA,NA,-20.1,-146.6,14.2,244
2019,NA,NA,NA,-19.98,-147.6,12.24,328
2020,NA,NA,NA,-21.17,-154.9,14.46,NA
