/* DATA DESCRIPTION:
Citation:	Pérez-Luque, Antonio Jesus; Gea-Izquierdo, Guillermo; Zamora, Regino (2020): Tree-ring measurements of focal trees from 1899 to 2016 (Sierra Nevada, Spain) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.922053, 
	In: Pérez-Luque, AJ et al. (2020): Resilience to drought of relict Mediterranean Quercus pyrenaica populations in the southern Iberian (Sierra Nevada, Spain) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.922054
Keyword(s):	dendroecology; forest inventory; Quercus pyrenaica; remote sensing
Supplement to:	Pérez-Luque, Antonio Jesus; Gea-Izquierdo, Guillermo; Zamora, Regino (accepted): Land-use legacies and climate change as a double challenge to oak forest resilience: mismatches of geographical and ecological rear edges. Ecosystems, https://doi.org/10.1007/s10021-020-00547-y
Coverage:	MEDIAN LATITUDE: 37.050000 * MEDIAN LONGITUDE: -3.350000 * SOUTH-BOUND LATITUDE: 36.970000 * WEST-BOUND LONGITUDE: -3.400000 * NORTH-BOUND LATITUDE: 37.130000 * EAST-BOUND LONGITUDE: -3.300000
Event(s):	Canar * LATITUDE: 36.970000 * LONGITUDE: -3.400000 * LOCATION: Sierra Nevada, Spain
	San_Juan * LATITUDE: 37.130000 * LONGITUDE: -3.300000 * LOCATION: Sierra Nevada, Spain
Comment:	Tree-width measurements are in tucson format (0.001 mm unit).
Parameter(s):	Binary Object (Binary) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
	Binary Object (Media Type) (Binary (Type)) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
	Binary Object (File Size) [Bytes] (Binary (Size)) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	2 data points
Files:	All files referred to in data matrix can be downloaded in one go as ZIP <https://download.pangaea.de/dataset/922053/allfiles.zip> or TAR <https://download.pangaea.de/dataset/922053/allfiles.tar> (PANGAEA user account required). To download single files, use the filename from data matrix appended to "https://download.pangaea.de/dataset/922053/files/".
*/
Binary	Binary (Type)	Binary (Size) [Bytes]
TreeRingMeasurements_CA.rwl	text/plain	68.3 kBytes
TreeRingMeasurements_SJ.rwl	text/plain	26.3 kBytes
