Year,28PienD6,28Unkn10,28Unkn11,28Unkn7,28Unkn8,28Unkn9,34PienD2,34Unkn1,34Unkn4,34Unkn5,34Pip1,34Pip2,28Pip1NF,34Pip3,34Pip4,28Pip2SF,34Pip5,34Pip6,28Pip3SF,34Psm1SF,34Psm2SF,34Psm3SF,34Pie1NF,34Pie1SF,28Pie1,34Pie2NF,34Pie2SF,28Pie2,34Pie3NF,34Pie3SF,28Pie3
1999,393.1293542,458.6762848,1779.56901,3082.887751,246.452581,1080.658965,470.1740866,567.3308931,1221.367481,228.7555246,1372.171692,1828.742673,2483.127563,767.8449543,658.333131,1292.864837,597.7987623,1202.302513,1712.022679,861.755487,1783.634881,861.5475262,4388.442645,894.4681562,4458.321019,1287.867194,1005.827585,1977.14299,3319.033341,661.0401032,1348.888899
2000,466.6130537,492.3265528,1453.206247,2255.919725,99.13748008,1071.901938,352.9007734,803.7190521,1295.464131,169.657134,1927.823164,1674.321104,2948.844726,931.1591875,1069.711265,859.1113782,775.7757007,1364.580862,924.6927217,556.03355,872.4661472,345.8106386,3641.760245,587.4875118,5102.860045,731.6303958,724.0264001,2091.621218,1784.009708,354.9439238,457.5229715
2001,632.2268008,666.5800882,1561.129536,2686.374332,165.6532118,1494.877463,400.4616901,1454.53204,1347.979261,203.978396,1358.911623,1172.742887,2182.701415,902.5278085,917.6261174,734.5731507,436.950516,1854.24664,1033.104739,611.5197217,900.8138404,463.7650491,3602.338026,876.9203129,6602.242944,810.3367699,1106.31097,2514.258865,2097.058147,460.8883807,737.7895981
2002,455.7793217,628.0570999,1734.413413,2315.245451,172.3250655,906.5095259,413.6940689,1491.706339,1406.139399,179.2852012,1281.165891,963.0561327,1306.761477,546.5780472,746.4384655,456.0724668,733.4425544,802.3449289,743.9509839,525.315635,603.3569435,350.4552885,2220.291014,598.7079738,6901.968426,337.569132,526.3674151,1636.925391,903.1089529,373.9483194,340.556928
2003,791.3503254,548.7109216,1932.430181,2219.980424,306.2145702,1189.079615,584.5141734,1358.390986,1502.409786,147.0180193,1223.071755,989.0797323,952.0888799,618.7348761,437.4670786,491.805727,747.764582,933.4709128,826.3218059,769.8592681,958.2331597,584.5270916,2744.708154,842.1475287,7442.343901,832.147057,795.7218924,1450.893123,1236.682268,660.362336,1035.180211
2004,830.8506474,543.9936726,1653.579706,2147.607453,424.2334086,1148.98492,598.0245455,1184.927859,1402.374539,224.5555891,1670.866219,1167.013452,717.7092196,621.2785891,663.6049779,893.9269949,434.5649162,678.0188564,1419.801381,993.4394272,961.0953045,733.2346092,3013.078141,889.6556101,5879.836311,710.9129619,802.9885187,1531.146999,1544.694319,760.6272331,882.8440623
2005,931.274085,543.4510096,2055.369102,2459.625635,527.3438221,1423.663922,662.5567353,944.9492022,1363.793494,278.3008755,1709.339473,782.452116,564.2301066,966.5410858,468.323032,888.3068867,632.32381,630.3756801,1050.667433,1373.357511,1630.959821,1250.275258,4065.903402,983.6098927,4593.425955,809.5403605,741.5039911,2318.410329,1644.368129,657.7880427,1522.904129
2006,879.371594,471.2395264,1532.468017,1177.64364,639.8303786,1072.836748,381.9744509,1013.778173,1232.061497,348.1725193,1654.190868,787.2802036,328.7609199,793.9617554,487.2319577,782.8990484,709.7827928,760.008531,785.2868882,518.9984169,307.0136626,164.5450401,2614.531625,733.0645077,2697.090377,207.2206578,423.7535649,2253.414082,469.3663329,279.397618,430.2017403
2007,968.3719588,661.399649,1762.990722,2243.40018,736.6158425,1632.422616,645.3546494,1202.56553,1394.373195,643.2295725,2194.235477,1293.392087,568.6494729,899.6264723,380.1847955,1355.901101,314.8815552,1068.461464,1577.587696,1048.135165,1796.960839,906.5776576,4143.70456,995.590416,3401.242965,718.9455997,904.593657,2776.292083,1805.729074,566.6868006,1143.54861
2008,944.3983773,528.8287681,1409.691871,1482.860811,915.3540391,1172.121229,430.0869245,1108.959283,1237.916612,472.5697804,1710.049583,1255.555951,658.256561,1440.863765,833.2578802,681.6745078,651.4189097,585.3416972,1241.440439,1057.044766,1188.878591,619.7156719,3527.588283,832.7720234,2643.671188,570.3007694,808.8195377,2412.003652,1683.779962,554.5193431,689.8956191
2009,1054.314728,651.1416484,1647.48179,1981.893329,1112.187709,1487.9134,646.5988301,1921.765608,1477.200035,282.5418716,1949.389679,1008.033878,569.3736446,755.3917061,943.9243613,1073.391056,509.7241149,712.5483965,1459.301313,1063.958789,935.2176257,558.7500223,3327.486245,1118.034728,4162.291599,572.8183726,988.6771152,3166.329655,1614.532496,762.2380156,1258.601402
2010,1348.800643,663.0315462,1518.313379,2195.237576,1057.984168,1511.375876,630.1973759,1962.902983,1614.076795,252.169623,1713.729949,1477.973922,870.2828188,1452.413928,914.5271059,948.3634066,519.7953541,942.3792035,1480.310834,1234.816699,1357.722929,913.5973076,4029.304922,1076.980075,4338.175014,690.158272,1016.102754,3141.177838,1852.101382,918.4248925,2118.227995
2011,1306.648691,632.7101725,1448.531249,2435.355415,1171.179348,1512.595298,573.8761155,1477.097949,1538.560454,392.8948563,1754.501633,1544.631949,812.145856,1521.927119,800.706403,804.9257096,647.4961192,779.1126156,1627.358365,2068.058937,1601.727169,705.264281,3990.037634,1122.597894,4746.010094,616.818024,1007.120802,3402.204503,2268.431476,775.7596472,1372.595634
2012,1101.417252,483.855886,1239.318793,1314.864078,966.8069179,1382.413183,501.9240399,1957.844563,1435.144153,222.787928,1922.236206,1610.811873,814.1516059,1065.05839,780.3413333,441.3411901,638.5543517,227.5418205,889.011659,1125.478606,422.3289091,173.0662929,2295.415011,635.105351,4492.568199,140.210075,409.2799585,2593.765622,548.3448161,510.5923443,740.0047728
2013,986.4651198,347.2944725,873.7899358,1892.845752,889.4358714,1253.210765,596.1391689,1559.002785,883.4039915,299.2103077,1915.738463,1028.482037,512.5726284,1333.890034,541.7271611,616.6590656,818.9725903,878.9331439,781.1984164,972.0403337,1322.708211,525.7469129,2728.904585,852.9384596,6141.005441,614.8030441,643.3828445,2579.319407,1157.296308,663.8773415,1289.707728
