age_CE,FMMR02A_raw,FMMR03B_raw,FMMR04A_raw,FMMR05B_raw,FMMR06A_raw,FMMR07B_raw,FMMR09A_raw,FMMR10A_raw,FMMR11A_raw,FMMR12A_raw,FMMR13A_raw,FMMR15A_raw,FMMR16A_raw,FMMR18A_raw,FMMR19A_raw,FMMR20B_raw,FMMR02A_raw_outlier_flag,FMMR03B_raw_outlier_flag,FMMR04A_raw_outlier_flag,FMMR05B_raw_outlier_flag,FMMR06A_raw_outlier_flag,FMMR07B_raw_outlier_flag,FMMR09A_raw_outlier_flag,FMMR10A_raw_outlier_flag,FMMR11A_raw_outlier_flag,FMMR12A_raw_outlier_flag,FMMR13A_raw_outlier_flag,FMMR15A_raw_outlier_flag,FMMR16A_raw_outlier_flag,FMMR18A_raw_outlier_flag,FMMR19A_raw_outlier_flag,FMMR20B_raw_outlier_flag
1850,NA,1.15,NA,0.62,NA,NA,1.15,NA,1.55,0.99,0.71,0.89,0.89,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
1851,NA,1.02,NA,0.76,NA,NA,1.52,NA,1.53,1.51,0.85,1.05,1.02,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
1852,NA,1.01,NA,1.13,NA,NA,1.48,NA,1.61,1.18,0.69,0.86,0.87,3.27,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1853,NA,0.83,NA,0.58,NA,NA,1.42,NA,1.42,0.97,0.67,0.81,0.8,3.91,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1854,NA,1.04,NA,0.63,NA,NA,1.73,NA,1.7,0.99,0.91,0.71,0.7,3.73,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1855,NA,1.02,NA,1.07,NA,NA,1.86,NA,1.72,0.86,0.8,0.74,0.74,4.09,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1856,NA,0.62,NA,0.91,NA,NA,1.57,NA,1.3,0.91,0.62,0.63,0.46,3.3,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1857,NA,1.11,NA,0.97,NA,NA,1.43,NA,1.3,1.12,0.45,0.65,0.45,3.4,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1858,NA,1.03,NA,1.24,NA,NA,1.24,NA,1.43,1.26,0.75,0.83,0.45,3.78,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1859,NA,1.49,NA,1.27,NA,NA,1.52,NA,1.04,1.19,0.82,0.82,0.58,3.71,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1860,NA,1.31,NA,1.42,NA,NA,1.58,NA,1.63,0.96,0.66,0.98,0.51,4.54,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
1861,NA,0.99,NA,1.06,NA,NA,1.44,NA,1.55,0.81,0.52,0.73,0.31,3.66,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1862,NA,1.33,NA,1.1,NA,NA,1.72,NA,1.82,1.08,0.73,0.83,0.55,3.03,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1863,NA,1.4,NA,1.39,NA,NA,1.75,NA,2.23,1.61,0.85,1.03,0.67,2.85,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1864,NA,0.99,NA,0.73,NA,NA,1.25,NA,2.05,0.82,0.54,0.44,0.42,2.31,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1865,NA,1.44,NA,1.06,NA,NA,1.62,NA,2.8,1.45,0.77,1.07,0.83,2.55,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
