ID,SPECIES,TYPE,INNER_YR,PITH,OUTER_YR,AGE,EVENT,RATING,LAB_NOTES,RESPONSE_1,RESPONSE_2,RESPONSE_3,RESPONSE_4,MEASURED_RING_WIDTH,FIELD_NOTES,UTM_E,UTM_N,ZONE,DBH,HEIGHT,STATUS,COUNTY
BGL_01A,PIEN,TRANSPORTED,1890,Y,2019,129,1885,5,RW 1 year (small tree) / Bark fully intact; large sample with minimal signal; visually dated; 2019 EW,RW,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01A,PIEN,TRANSPORTED,1890,Y,2019,129,1899,5,RW 1 year (small tree),RW,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01A,PIEN,TRANSPORTED,1890,Y,2019,129,1910,6,Frost ring (cellular disruption in earlywood),FR,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01A,PIEN,TRANSPORTED,1890,Y,2019,129,1915,1,Scar (~2 in) with RW on opposite side of tree and localized TRDs,SCAR,RW,TRDs,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01A,PIEN,TRANSPORTED,1890,Y,2019,129,1919,6,Frost ring (cellular disruption in earlywood),FR,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01A,PIEN,TRANSPORTED,1890,Y,2019,129,1944,3,RW multiple years (poorly defined),RW,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01A,PIEN,TRANSPORTED,1890,Y,2019,129,1991,3,GS with TRDs,GS,TRDs,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01A,PIEN,TRANSPORTED,1890,Y,2019,129,2019,1,EW death date,OBSV_DD,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01B,PIEN,TRANSPORTED,1921,Y,2019,98,1945,6,Frost ring (cellular disruption in earlywood),FR,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01B,PIEN,TRANSPORTED,1921,Y,2019,98,1992,2,"Isolated unusual cambial damage with RW, localized TRDs and growth suppression on opposite side of tree",CD,RW,TRDs,GS,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01B,PIEN,TRANSPORTED,1921,Y,2019,98,2019,1,EW death date,OBSV_DD,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01C,PIEN,TRANSPORTED,1915,Y,2019,104,1919,6,Frost ring (cellular disruption in earlywood) / Bark fully intact; large sample with minimal signal; visually dated; 2019 EW,FR,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01C,PIEN,TRANSPORTED,1915,Y,2019,104,1991,1,Scar (~1.4 in) with localized TRDs and RW,SCAR,TRDs,RW,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_01C,PIEN,TRANSPORTED,1915,Y,2019,104,2019,1,EW death date,OBSV_DD,NA,NA,NA,N,Just about full length of the tree situated between bike path and power pole perpendicular to the slide path. Larger aspen trees on Botha sides of path nearby.,402832,4379050,13,35,23.6,LIVE,Summit
BGL_02A,PIEN,TRANSPORTED,1897,Y,2019,122,1899,1,Scar (~1 cm) on young small tree with localized TRDs and RW / Large sample with minimal signal; visually dated; 2019 EW,SCAR,TRDs,RW,NA,N,Rootball upslope with tip resting just off bike path. Root ball is 3 meters skiers left of power pole. Laying parallel to slide path.,402840,4379055,13,42,11.7,LIVE,Summit
BGL_02A,PIEN,TRANSPORTED,1897,Y,2019,122,1904,1,Scar (~2 cm) on young small tree with localized TRDs and RW,SCAR,TRDs,RW,NA,N,Rootball upslope with tip resting just off bike path. Root ball is 3 meters skiers left of power pole. Laying parallel to slide path.,402840,4379055,13,42,11.7,LIVE,Summit
BGL_02A,PIEN,TRANSPORTED,1897,Y,2019,122,1991,1,"2 large scars (1: ~1.5 in, 2: ~4 in) separated by ~ 2 in with dense localized TRDs and RW",SCAR,TRDs,RW,NA,N,Rootball upslope with tip resting just off bike path. Root ball is 3 meters skiers left of power pole. Laying parallel to slide path.,402840,4379055,13,42,11.7,LIVE,Summit
BGL_02A,PIEN,TRANSPORTED,1897,Y,2019,122,2019,1,EW death date,OBSV_DD,NA,NA,NA,N,Rootball upslope with tip resting just off bike path. Root ball is 3 meters skiers left of power pole. Laying parallel to slide path.,402840,4379055,13,42,11.7,LIVE,Summit
BGL_02B,PIEN,TRANSPORTED,1888,Y,2019,131,1895,6,Frost ring (cellular disruption in earlywood) / Bark fully intact; very large sample with minimal signal; visually dated; 2019 EW,FR,NA,NA,NA,N,Rootball upslope with tip resting just off bike path. Root ball is 3 meters skiers left of power pole. Laying parallel to slide path.,402840,4379055,13,42,11.7,LIVE,Summit
BGL_02B,PIEN,TRANSPORTED,1888,Y,2019,131,1899,4,RW 1 year (pronounced),RW,NA,NA,NA,N,Rootball upslope with tip resting just off bike path. Root ball is 3 meters skiers left of power pole. Laying parallel to slide path.,402840,4379055,13,42,11.7,LIVE,Summit
BGL_02B,PIEN,TRANSPORTED,1888,Y,2019,131,1920,2,Localized GS and TRDs for ~7 years,GS,TRDs,NA,NA,N,Rootball upslope with tip resting just off bike path. Root ball is 3 meters skiers left of power pole. Laying parallel to slide path.,402840,4379055,13,42,11.7,LIVE,Summit
BGL_02B,PIEN,TRANSPORTED,1888,Y,2019,131,1944,4,RW 2 years,RW,NA,NA,NA,N,Rootball upslope with tip resting just off bike path. Root ball is 3 meters skiers left of power pole. Laying parallel to slide path.,402840,4379055,13,42,11.7,LIVE,Summit
BGL_02B,PIEN,TRANSPORTED,1888,Y,2019,131,2019,1,EW death date,OBSV_DD,NA,NA,NA,N,Rootball upslope with tip resting just off bike path. Root ball is 3 meters skiers left of power pole. Laying parallel to slide path.,402840,4379055,13,42,11.7,LIVE,Summit
BGL_03A,PIEN,TRANSPORTED,1962,Y,2019,57,2009,4,Isolated TRDs for 2 years / Bark fully intact; medium-sized sample with minimal signal; visually dated; 2019 EW,TRDs,NA,NA,NA,N,Parallel to slide path. Laying just skiers right of power pole. Most branches intact so maybe didn’t get transported too far,402844,4379066,13,34,17,LIVE,Summit
BGL_03A,PIEN,TRANSPORTED,1962,Y,2019,57,2019,1,EW death date,NA,NA,NA,NA,N,Parallel to slide path. Laying just skiers right of power pole. Most branches intact so maybe didn’t get transported too far,402844,4379066,13,34,17,LIVE,Summit
BGL_03B,PIEN,TRANSPORTED,1952,Y,2019,67,2008,2,Growth suppression with associated TRDs (~5-6 years) / Bark fully intact; visually dated; 2019 EW,GS,TRDs,NA,NA,N,Parallel to slide path. Laying just skiers right of power pole. Most branches intact so maybe didn’t get transported too far,402844,4379066,13,34,17,LIVE,Summit
BGL_03B,PIEN,TRANSPORTED,1952,Y,2019,67,2019,1,EW death date,OBSV_DD,NA,NA,NA,N,Parallel to slide path. Laying just skiers right of power pole. Most branches intact so maybe didn’t get transported too far,402844,4379066,13,34,17,LIVE,Summit
BGL_04A,PICO,TRANSPORTED,1828,Y,2019,191,1851,1,Scar (~1/2 circumference) with associated RW and TRDs / Bark mostly intact; large sample with several scars and possible branch traces (dated around); visually dated; 2019,SCAR,RW,TRDs,NA,N,Broken right at base. No roots attached. Severely damaged bole from many events over long period.,402867,4379045,13,NO DATA,4.7,LIVE,Summit
BGL_04A,PICO,TRANSPORTED,1828,Y,2019,191,1879,1,Scar (~1/3 circumference) with associated RW and TRDs,SCAR,RW,TRDs,NA,N,Broken right at base. No roots attached. Severely damaged bole from many events over long period.,402867,4379045,13,NO DATA,4.7,LIVE,Summit
BGL_04A,PICO,TRANSPORTED,1828,Y,2019,191,1914,2,Isolated unusual cambial damage at two separate locations with localized TRDs and RW,CD,TRDs,RW,NA,N,Broken right at base. No roots attached. Severely damaged bole from many events over long period.,402867,4379045,13,NO DATA,4.7,LIVE,Summit
