STATE,PROV,LAT,LONG,ELEV
C,1,40.6,-105.4,2378
C,2,40.6,-105.5,2588
C,3,37.6,-105.2,2805
C,4,38.4,-105.4,2744
C,5,38.5,-105.4,3049
C,6,38.5,-106.3,3338
C,7,38.8,-106.3,3003
C,8,38.8,-106.4,3079
C,9,38.8,-106.4,3506
C,10,39.4,-106.3,3178
C,11,39.4,-106.3,3201
C,12,39.5,-106.4,2652
C,13,40.3,-106.1,2652
C,14,40.4,-106.1,2835
C,15,40.4,-106.1,2683
C,16,40.6,-105.5,2805
M,1,46.8,-110.8,1875
M,2,46.8,-110.7,2164
M,3,47,-110.8,1561
M,4,48.3,-113.4,1555
M,5,48.3,-113.4,1524
M,6,46.7,-114.5,1372
M,7,45.7,-114,2134
M,8,45.7,-114,2210
M,9,45.7,-113.9,1951
M,10,45.4,-111.2,1783
M,11,44.8,-111.2,2012
M,12,44.9,-111.4,2287
W,1,44.8,-107.4,2287
W,2,44.8,-107.5,2591
W,3,42.7,-108.9,2439
W,4,41.7,-108.9,2591
W,5,42.7,-108.9,2920
W,5A,42.6,-108.8,2668
