age_CE,BW11A_raw,BW11B_raw,BW12A_raw,BW12B_raw,BW13A_raw,BW13B_raw,BW14A_raw,BW14B_raw,BW15A_raw,BW15B_raw,BW16A_raw,BW16B_raw,BW18A_raw,BW18B_raw,BW19A_raw,BW1A_raw,BW20A_raw,BW20B_raw,BW21A_raw,BW21B_raw,BW22A_raw,BW22B_raw,BW23A_raw,BW23B_raw,BW25A_raw,BW25B_raw,BW26A_raw,BW26B_raw,BW27A_raw,BW27B_raw,BW28A_raw,BW28B_raw,BW29A_raw,BW29B_raw,BW30A_raw,BW2A_raw,BW2B_raw,BW3B_raw,BW4A_raw,BW4B_raw,BW6A_raw,BW6B_raw,BW5A_raw,BW5B_raw,BW8B_raw,BW9A_raw,BW9B_raw
1924,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.6211163672113204,-0.47021679067295646,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,-0.08698498111185811,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1925,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-1.2130225589957275,-0.9688796408399764,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,-0.08698498111185811,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1926,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.9607346739728655,-0.12669349389123155,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,-0.08698498111185811,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1927,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.6696332681772554,0.1946670095497369,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,-0.08698498111185811,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1928,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,0.3298148917210056,0.6822484630463785,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,1.570612125718395,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1929,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.21357439909746614,0.0173646628236852,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,0.4863192814008609,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1930,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.6987434087568164,-0.3704842206395526,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,0.261982830852406,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1931,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.3688284821884583,-0.27075165060614853,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,-1.1712778254293919,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1932,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.47556566431351543,-0.10453070055047534,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,-1.1214252808630683,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1933,-0.13124957559198644,-0.3578742988406065,-0.3145521667935606,-0.25988681422987436,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.6793366483704424,-0.10453070055047534,-0.09167032111935683,-0.2819796289115124,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.13347120877834184,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,0.05914669844355383,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,-0.8970888303146132,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
