age_CE,HAN01A_raw,HAN01B_raw,HAN01C_raw,HAN01D_raw,HAN02A_raw,HAN02B_raw,HAN01A_raw_outlier_flag,HAN01B_raw_outlier_flag,HAN01C_raw_outlier_flag,HAN01D_raw_outlier_flag,HAN02A_raw_outlier_flag,HAN02B_raw_outlier_flag
1701,NA,NA,NA,NA,4.77,4.79,NA,NA,NA,NA,FALSE,FALSE
1702,NA,NA,NA,NA,2.76,2.77,NA,NA,NA,NA,FALSE,FALSE
1703,NA,NA,NA,NA,3.2,3.25,NA,NA,NA,NA,FALSE,FALSE
1704,NA,NA,NA,NA,2.83,2.82,NA,NA,NA,NA,FALSE,FALSE
1705,NA,NA,NA,NA,2.58,2.58,NA,NA,NA,NA,FALSE,FALSE
1706,NA,NA,NA,NA,3.3,3.44,NA,NA,NA,NA,FALSE,FALSE
1707,5.25,5.05,NA,NA,5.99,6.02,FALSE,TRUE,NA,NA,TRUE,FALSE
1708,5,5.02,NA,NA,4.67,4.99,FALSE,FALSE,NA,NA,FALSE,FALSE
1709,4.95,4.98,NA,NA,3.7,4.04,FALSE,FALSE,NA,NA,FALSE,FALSE
1710,3.79,3.88,NA,NA,2.59,3.02,FALSE,FALSE,NA,NA,FALSE,FALSE
1711,2.82,2.8,NA,NA,4.63,4.94,FALSE,FALSE,NA,NA,FALSE,FALSE
1712,2.45,2.49,NA,NA,4.71,5.39,FALSE,FALSE,NA,NA,FALSE,FALSE
1713,2.24,2.15,NA,NA,4.16,4.82,FALSE,FALSE,NA,NA,FALSE,FALSE
1714,2.91,2.88,NA,NA,5.29,5.7,FALSE,FALSE,NA,NA,FALSE,FALSE
1715,5.1,5.53,NA,NA,3.68,4.03,FALSE,TRUE,NA,NA,FALSE,FALSE
1716,5.16,4.88,NA,NA,2.55,2.94,FALSE,FALSE,NA,NA,FALSE,FALSE
1717,4.31,3.91,NA,NA,3.76,4.1,FALSE,FALSE,NA,NA,FALSE,FALSE
1718,2.26,2.32,NA,NA,3.34,3.34,FALSE,FALSE,NA,NA,FALSE,FALSE
1719,2.15,2.17,NA,NA,2.63,2.51,FALSE,FALSE,NA,NA,FALSE,FALSE
1720,1.55,1.68,NA,NA,3.43,3.09,FALSE,FALSE,NA,NA,FALSE,FALSE
1721,2.41,2.17,NA,NA,3.35,3.26,FALSE,FALSE,NA,NA,FALSE,FALSE
1722,1.89,1.78,NA,NA,3.03,2.66,FALSE,FALSE,NA,NA,FALSE,FALSE
1723,3.63,3.57,NA,NA,1.76,1.85,FALSE,FALSE,NA,NA,FALSE,FALSE
1724,2.69,2.66,NA,NA,1.52,1.71,FALSE,FALSE,NA,NA,FALSE,FALSE
1725,1.44,1.33,NA,NA,1.83,1.88,FALSE,FALSE,NA,NA,FALSE,FALSE
1726,2.04,1.83,NA,NA,2.39,2.39,FALSE,FALSE,NA,NA,FALSE,FALSE
1727,2.21,1.87,NA,NA,4.1,4.5,FALSE,FALSE,NA,NA,FALSE,FALSE
1728,4.71,4.53,NA,NA,3.72,3.85,FALSE,FALSE,NA,NA,FALSE,FALSE
1729,4.43,3.84,NA,NA,2.69,2.85,FALSE,FALSE,NA,NA,FALSE,FALSE
1730,3.33,2.71,NA,NA,2.2,2.02,FALSE,FALSE,NA,NA,FALSE,FALSE
