,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Slope,Aspect,DBH,Bark,BAF,ABLA_L,ABLA_R,ABLA_G,PSME_L,PSME_R,PSME_G,PIEN_L,PIEN_R,PIEN_G,PIMO_L,PIMO_R,PIMO_G,LAOC_L,LAOC_R,LAOC_G,TSHE_L,TSHE_R,TSHE_G,THPL_L,THPL_R,THPL_G,ABGR_L,ABGR_R,ABGR_G,PIAL_L,PIAL_R,PIAL_G,PICO_L,PICO_R,PICO_G,Pop_sp_L,Pop_sp_R,Pop_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIEN_5,PIEN_5d,LAOC_5nw,LAOC_5dnw,PIMO_5,PIMO_5d,TSHE_5,TSHE_5d,THPL_5,THPL_5d,ABGR_5,ABGR_5d,PICO_5,PICO_5D,PIAL_5,PIAL_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,p_bot.of.canopy.,p_top.of.canopy.,p_base.ref.,dist,Height,N_Cr,p_taller,pic_N,pic_S,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rt,PSME_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rdead,PIMO_r1,PIMO_r2,PIMO_r3,PIMO_r4,PIMO_rdead,LAOC_r1,LAOC_r2,LAOC_r3,LAOC_r4,LAOC_rdead,TSHE_r1,TSHE_r2,TSHE_r3,TSHE_r4,TSHE_r5,TSHE_rdead,THPL_r1,THPL_r2,THPL_r3,THPL_r4,THPL_r5,THPL_rdead,ABGR_r1,ABGR_r2,ABGR_r3,ABGR_r4,ABGR_rdead,PIAL_r1,PIAL_r2,PIAL_r3,PIAL_r4,PIAL_rdead,PICO_r1,PICO_r2,PICO_r3,PICO_r4,PICO_r5,PICO_rdead,PairUn,ACF,BA_totLR,DBHsc,BA_totLRsc,N_Crsc,in5_totsc,ACFsc,BAI10yr,BAI10yrtot,BAI10yrmax,BAI10yrmin,BAI10yrsd,BAI10yrCV
153,MT,TSHE,H,1,C,TSHE-H-01C,48.61291,113.85558,1276,25.8,235,35.9,1.7,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,100,10,10,30,40,60,60,0,60,70,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,63.1,164,-13.1,13,23.023,4,0.8,621,622,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,H1,0.569734613,70,-0.006079382,-1.77323623,0.051859467,-0.681885963,-0.075948074,1256.55086,12565.5086,1781.835572,949.7015491,285.3151032,0.227062121
154,MT,TSHE,H,1,N,TSHE-H-01N,48.61303,113.85564,1276,25,235,36.5,1.3,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,150,40,40,0,40,110,110,0,110,150,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,4,1,0,3,4,5.2,149,-3.4,15,22.86,2,0.9,619,620,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,H1,0.943569554,150,0.054455744,-0.238562988,-0.959400147,-0.457467798,1.844970307,1517.093511,15170.93511,1960.431554,1087.035794,324.6618574,0.214002535
155,MT,TSHE,H,2,C,TSHE-H-02C,48.61238,113.85493,1299,24.8,215,32,0.8,10,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,210,90,90,0,90,120,120,0,120,210,0,0,0,0,3,0,0,0,1,0,0,0,6,0,0,0,1,1,2,0,0,0,14,13,6,0,8,13,2.8,145,-0.3,17,24.701,5,0.8,625,626,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,H2,0.978664831,210,-0.399557703,0.912441944,0.557489274,1.786713854,2.025304343,1307.250599,13072.50599,1686.253764,932.2747883,237.281226,0.18151166
156,MT,TSHE,H,2,N,TSHE-H-02N,48.6121,113.85477,1297,22.4,225,35.5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,130,100,100,0,100,20,30,10,30,120,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,3,2,0,1,3,0.5,119,-7.5,17,21.505,2,0.9,623,624,0,0,0,0,0,NA,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,H2,0.936758893,130,-0.046436133,-0.622231298,-0.959400147,-0.681885963,1.809974319,2810.45824,28104.5824,3445.264173,1917.440672,583.423534,0.207590181
157,MT,TSHE,H,3,C,TSHE-H-03C,48.61185,113.85517,1278,26.5,225,27.8,1.4,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,110,20,20,0,20,80,80,10,90,100,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,1,0,0,14,13,8,0,6,13,3.9,118,-4.2,11,13.442,4,1,627,628,0,0,0,0,0,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,H3,0.933715221,100,-0.823303587,-1.197733764,0.051859467,1.786713854,1.794334673,949.8417052,9498.417052,1527.803982,661.9134282,262.4152073,0.276272568
158,MT,TSHE,H,3,N,TSHE-H-03N,48.61188,113.85547,1271,30.2,230,27.8,1.8,10,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,90,20,20,0,20,60,70,10,70,80,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,3,1,0,2,3,3.5,95.6,-10,10,10.56,1,0.25,629,630,0,0,0,0,0,NA,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,NA,H3,0.872159091,90,-0.823303587,-1.38956792,-1.465029954,-0.681885963,1.478033844,1794.248941,17942.48941,2234.248682,1391.994315,312.2726959,0.174040897
159,MT,TSHE,H,4,C,TSHE-H-04C,48.61488,113.85588,1343,50.7,255,29.7,0.7,10,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,100,0,0,0,0,90,100,10,100,90,10,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,6,6,0,0,6,6,1.8,117,-6.5,15,18.525,3,0.6,687,688,0,0,0,0,0,NA,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,H4,0.932793522,100,-0.63160902,-1.197733764,-0.45377034,-0.008631468,1.789598605,1827.60039,18276.0039,3174.6188,854.7952414,908.6104194,0.497160334
160,MT,TSHE,H,4,N,TSHE-H-04N,48.61481,113.8561,1337,43.4,270,35,1.6,10,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,90,30,30,0,30,50,50,10,60,80,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,14.6,119,-8.6,16,20.416,2,0.8,689,690,0,0,0,0,0,NA,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,H4,0.818181818,80,-0.096882072,-1.581402075,-0.959400147,-1.130722294,1.200676316,2180.956395,21809.56395,3084.11907,1734.56519,419.4730114,0.192334433
161,MT,TSHE,H,5,C,TSHE-H-05C,48.61552,113.85622,1328,56.8,260,23.1,0.9,10,0,0,0,12,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,180,20,20,0,20,150,150,10,160,170,0,10,0,0,9,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,14,14,3,0,11,14,0.7,108,-9.7,14,16.478,6,0.2,693,694,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,H5,0.911639762,170,-1.297495409,0.145105323,1.063119082,1.786713854,1.680901845,640.2401644,6402.401644,867.127473,439.5444536,133.7251223,0.208867125
162,MT,TSHE,H,5,N,TSHE-H-05N,48.6157,113.85623,1330,50.2,255,23.2,1,10,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,120,10,10,0,10,110,110,0,110,120,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,0,5,5,4.2,95.5,-12.2,13,14.001,2,0.25,691,692,0,0,0,0,0,NA,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,H5,0.847725162,120,-1.287406221,-0.814065454,-0.959400147,-0.233049633,1.352482225,804.6088301,8046.088301,1060.711359,566.9326082,177.7397476,0.220902059
