# Woodhouse 2000 Clear Creek Colorado Annual Flow Reconstruction
#----------------------------------------------------------------------- 
#               World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available),
# and date accessed when using these downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/6390
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-recon-6390.json
#   Study_Level_JSON_Description: JSON metadata of this file's parent study, which includes all study metadata.
#
# Data_Type: Climate Reconstructions
#
# Dataset_DOI: 10.25921/4xfe-sx20
#
# Science_Keywords: Streamflow Reconstruction
#-------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/reconstructions/colorado/clearcreek_flow-noaa.txt
#   Data_Download_Description: NOAA Template File; Annual Flow Reconstruction Data
#
#-------------------
# Contribution_Date
#   Date: 2001-01-01
#-------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#-------------------
# Title
#   Study_Name: Woodhouse 2000 Clear Creek Colorado Annual Flow Reconstruction
#-------------------
# Investigators
#    Investigators: Woodhouse, C.A.(https://orcid.org/0000-0003-0545-9753)
#-------------------
# Description_Notes_and_Keywords
#   Description: Clear Creek Colorado Annual Flow Reconstruction. Reconstruction of total annual flow, in acre/feet, of Clear Creek near Golden, Colorado, USA, 39 50'N, 105W, based on tree ring chronologies.
#-------------------
# Publication
#   Authors: Woodhouse, C.
#   Journal_Name: Water Resources IMPACT
#   Published_Title: Extending Hydrologic Records with Tree Rings
#   Published_Date_or_Year: 2000-07-01
#   Volume: 2
#   Issue: 4
#   Pages: 25-27
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Online_Resource: https://www.jstor.org/stable/wateresoimpa.2.4.0025
#   Abstract: 
#-------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant_Number: 
#-------------------
# Site_Information
#   Site_Name: Clear Creek Golden, CO USGS 06719505
#   Location: Colorado
#   Northernmost_Latitude: 39.75306
#   Southernmost_Latitude: 39.75306
#   Easternmost_Longitude: -105.23472
#   Westernmost_Longitude: -105.23472
#   Elevation_m: 1736
#-------------------
# Data_Collection
#   Collection_Name: sf_woodhouse2000
#   First_Year: 1685
#   Last_Year: 1987
#   Time_Unit: CE
#   Core_Length_m: 
#   Parameter_Keywords: streamflow
#   Notes: 
#-------------------
# Chronology_Information
#   Chronology:
#-------------------
# Variables 
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Variables format: shortname <tab> what,material,error,units,seasonality,data_type,detail,method, C(har) or N(umeric) data,additional information
#
## age	age,,,year Common Era,,climate reconstructions;tree ring,,,N,
## sf	streamflow,,,acre foot,annual,climate reconstructions;tree ring,,,N,
#-------------------------------
# Data: 
# Missing_Values: NA
age	sf
1685	74420.22047776
1686	142971.7961361
1687	168671.91531438
1688	272295.757915
1689	164142.57890506
1690	134017.10469315
1691	155496.2392065
1692	189812.8815795
1693	151810.5003219
1694	196883.98238755
1695	166045.1733442
1696	142114.04076611
1697	243262.1134258
1698	165335.39067937
1699	182001.60678766
1700	198055.72129728
1701	194981.13671066
1702	159518.7829787
1703	116787.11046761
1704	166334.94446302
1705	251692.81972905
1706	163604.88675923
1707	112366.79350147
1708	116520.85013326
1709	120304.223355
1710	197190.8917034
1711	125929.06180243
1712	169265.22664505
1713	159243.0130507
1714	302887.7554073
1715	206637.32219897
1716	170264.6555723
1717	163923.7394001
1718	200029.3297915
1719	262216.01823451
1720	215102.3311435
1721	185318.37473332
1722	250192.5209785
1723	109911.4488326
1724	143972.6334793
1725	146030.18627915
1726	190191.86543196
1727	184676.85202988
1728	237712.66688276
1729	138576.84123002
1730	179396.77548457
1731	174194.42050512
1732	144532.52918585
1733	149326.35051259
1734	180691.15764355
1735	132824.1081267
1736	130238.34129675
1737	162223.42708595
1738	171202.64289499
1739	141940.1306856
1740	137313.75829785
1741	133402.54482115
1742	115805.14496355
1743	165336.92833475
1744	163815.2177307
1745	186977.39170665
1746	201944.97062993
1747	169116.56696801
1748	100190.9579154
1749	234862.16364905
1750	152931.13979118
1751	193033.44828067
1752	130726.90137177
1753	207035.95100137
1754	259776.7765012
1755	173087.65689776
1756	105186.22797841
1757	136274.35594771
1758	162889.43090849
1759	173303.61796425
1760	137902.2703171
1761	268075.0367905
1762	130130.00003134
1763	152954.9425882
1764	177725.80765499
1765	135078.98795754
1766	222592.15570115
1767	156167.5563308
1768	209582.65756339
1769	185774.91370755
1770	105232.97907185
1771	173763.83018115
1772	151644.10974427
1773	183583.44825284
1774	185381.373689
1775	143353.71978491
1776	160668.29923235
1777	167169.91669296
1778	157393.91836544
1779	134789.06232547
1780	154991.962265
1781	155177.99708092
1782	153222.0373809
1783	196130.63148257
1784	172358.60809691
1785	147644.70595024
1786	161175.95360401
1787	224445.49664974
1788	158688.76599902
1789	105340.66775881
1790	231659.80626944
1791	184447.46100228
1792	233448.22070688
1793	164563.34925438
1794	203257.42652209
1795	142989.213247
1796	194344.01707306
1797	144480.3924579
1798	117903.047698
1799	175894.67831875
1800	210811.2684395
1801	128858.71055632
1802	187196.05794755
1803	188951.52149918
1804	104590.8441876
1805	117511.44329594
1806	181644.95244627
1807	139473.75275132
1808	195324.58648595
1809	141233.18516048
1810	160281.87844905
1811	135421.1860161
1812	143559.98887568
1813	151046.34361172
1814	180750.63625539
1815	177892.09605548
1816	163029.21035288
1817	150234.22845498
1818	121156.60987194
1819	144680.59000634
1820	135068.45159217
1821	147794.46762473
1822	173609.83193728
1823	128585.97427792
1824	114286.37730032
1825	208699.64502842
1826	169692.4853243
1827	178077.60252155
1828	237996.85156092
1829	143403.04265883
1830	175679.02118923
1831	165080.0307817
1832	186114.79635985
1833	180912.16805425
1834	114847.70075928
1835	205897.17597818
1836	197202.05139169
1837	191079.66481673
1838	254604.8411425
1839	217479.4977225
1840	125456.70989123
1841	161378.88705425
1842	68296.6602755
1843	223240.72805169
1844	178311.60970027
1845	105071.9092547
1846	133359.54177763
1847	105248.8348339
1848	114057.71617875
1849	147367.10460585
1850	158977.45751809
1851	85431.19543812
1852	121624.21253784
1853	194015.78151625
1854	171704.83303384
1855	117609.75096425
1856	144845.63289434
1857	183540.92607121
1858	221242.00982476
1859	147726.21426145
1860	237420.64636577
1861	128835.27065614
1862	143453.15364195
1863	108970.92236275
1864	199575.99470042
1865	143787.24270404
1866	223721.7508433
1867	169641.64099632
1868	186314.42069198
1869	242096.6518722
1870	119626.85617004
1871	129438.41764458
1872	201863.59784723
1873	158381.1019721
1874	157636.49280257
1875	195419.48780915
1876	162099.28410222
1877	119489.79649075
1878	176273.59078042
1879	136924.05064699
1880	72321.28153875
1881	164129.02489652
1882	187867.63676889
1883	172463.39053857
1884	167051.9105353
1885	130136.32724238
1886	121891.02308753
1887	108150.37472606
1888	128368.45948779
1889	167409.39486426
1890	148998.24033291
1891	187583.64634876
1892	156169.67322177
1893	124502.00446851
1894	225818.53752184
1895	171842.56428225
1896	126324.38931866
1897	210222.74833257
1898	175808.35316305
1899	118745.33085553
1900	181392.19759867
1901	175528.1701379
1902	116231.63727345
1903	202270.00578705
1904	209471.39631779
1905	178553.57005665
1906	162276.45158435
1907	255810.84325708
1908	106565.99787507
1909	237606.47661489
1910	144554.56172017
1911	137489.2633124
1912	214231.44021824
1913	152878.66858416
1914	231684.9312795
1915	189872.2863097
1916	173656.79208337
1917	159854.30520874
1918	167606.8828456
1919	141499.46966665
1920	158554.04940334
1921	230080.65423595
1922	116315.44545028
1923	224142.57570216
1924	210264.81686265
1925	97272.32303851
1926	229878.4351854
1927	157418.20934435
1928	221109.16149755
1929	142299.078047
1930	136730.81242611
1931	163575.49225483
1932	133525.3967682
1933	151895.11869371
1934	144776.29463355
1935	128890.98757523
1936	147671.66618922
1937	171889.57062049
1938	186847.80005865
1939	123186.37059721
1940	124802.28794142
1941	195005.76462161
1942	198787.11196556
1943	179337.33969348
1944	166620.31311659
1945	189466.57936601
1946	114419.71445539
1947	248821.79771278
1948	162718.66746313
1949	217393.22745473
1950	113138.70290032
1951	144527.79752417
1952	186912.46370425
1953	126214.75784248
1954	86571.09282555
1955	158016.00729338
1956	120274.5556339
1957	211181.66322552
1958	181160.72372748
1959	158710.43793768
1960	180648.07541361
1961	170757.89775728
1962	155961.81360522
1963	94466.91720825
1964	169436.43868385
1965	226885.7312089
1966	97556.75848609
1967	162399.4987952
1968	138121.5834755
1969	190561.72548283
1970	195010.60134458
1971	174363.17448979
1972	138107.98944545
1973	185442.6398958
1974	142265.15628138
1975	211055.70059657
1976	133202.19998714
1977	121099.84795441
1978	136701.95566753
1979	202458.54772955
1980	173344.80769515
1981	140565.35531611
1982	159288.17027
1983	263851.68607683
1984	142765.07094632
1985	197886.64831676
1986	193947.44295115
1987	235651.15850489
