age_CE,KAP01A_raw,KAP01B_raw,KAP02A_raw,KAP02B_raw,KAP02C_raw,KAP02D_raw,KAP02E_raw,KAP02F_raw,KAP01A_raw_outlier_flag,KAP01B_raw_outlier_flag,KAP02A_raw_outlier_flag,KAP02B_raw_outlier_flag,KAP02C_raw_outlier_flag,KAP02D_raw_outlier_flag,KAP02E_raw_outlier_flag,KAP02F_raw_outlier_flag
1844,1.91,2.25,3.46,3.06,1.96,1.94,0.95,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1845,2.03,2.4,3.67,2.89,1.93,1.99,0.83,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1846,2.42,2.59,2.14,NA,2.15,2.17,1.06,1.31,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1847,1.66,1.49,1.75,NA,1.48,1.59,0.72,0.86,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1848,1.26,1.27,1.19,NA,1.08,1.1,0.47,0.54,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1849,1.54,NA,NA,NA,0.88,0.86,0.49,0.56,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1850,NA,NA,NA,NA,0.83,0.81,0.46,0.52,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1851,NA,NA,NA,NA,0.81,0.73,0.45,0.51,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1852,NA,NA,NA,NA,0.67,0.58,0.41,0.42,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1853,NA,NA,NA,NA,0.7,0.53,0.37,0.36,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1854,NA,NA,NA,NA,0.99,0.76,0.57,0.47,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1855,NA,NA,NA,NA,1.06,0.72,0.6,0.6,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1856,NA,NA,NA,NA,0.87,0.56,0.44,0.48,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1857,NA,NA,NA,NA,1.46,0.98,0.46,0.42,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
