site.name,SITE_ID,cm.top,age.top,char.count,char.Vol,char.con,char.acc,char.bkg,char.peak,thresh1,thresh2,thresh3,thresh.final.pos,thresh.final.neg,SNI,thresh.GOF,peaks1,peaks2,peaks3,peaks.final,peaks.insig,peak.mag,sm.peak.freq,smFRI,nFRIs,mFRI.yr,mFRI.uCI,mFRI.lCI,WBLb.yr,WBLb.uCI,WBLb.lCI,WBLc,WBLc.uCI,WBLc_lCI
Sand Beach,-999,NaN                             ,-57,2.8667,2.6667,0.95556,0.14015,0.27917,-0.13903,0.010199,0.053658,0.10237,0.053658,-0.24304,4.1588,0.69199,0,0,0,0,0,0,5.9181,187.8458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,2.2,-42,4.2,3,1.4,0.11467,0.27604,-0.16138,0.013189,0.056881,0.10586,0.056881,-0.24142,4.1399,0.67278,0,0,0,0,0,0,5.8603,188.4621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,3.4286,-27,15.4667,3,5.1556,0.36825,0.27291,0.095341,0.016129,0.060043,0.10927,0.060043,-0.23977,4.1223,0.7407,0,0,0,0,0,0,5.8022,189.0784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,4.5,-12,19.4,3,6.4667,0.52349,0.26979,0.2537,0.019019,0.063144,0.1126,0.063144,-0.2381,4.1059,0.41352,1,1,1,1,0,3.6137,5.7439,189.6946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,5.7143,3,6.6,2.7333,2.4489,0.15276,0.26667,-0.1139,0.02186,0.066182,0.11586,0.066182,-0.23641,4.0906,0.62225,0,0,0,0,0,0,5.6855,190.3109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,6.65,18,6.6,3,2.2,0.11,0.26356,-0.15356,0.02465,0.069158,0.11905,0.069158,-0.23471,4.0765,0.59644,0,0,0,0,0,0,5.6267,190.9271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,7.4,33,18.2,3,6.0667,0.25615,0.26046,-0.0043112,0.027389,0.072071,0.12215,0.072071,-0.23298,4.0637,0.38625,0,0,0,0,0,0,5.5678,191.5684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,8.0333,48,27.9333,3,9.3111,0.31037,0.25738,0.052993,0.030078,0.074921,0.12519,0.074921,-0.23123,4.052,0.30155,1,0,0,0,0,0,5.5087,192.3096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,8.5333,63,12.9333,3,4.3111,0.15209,0.25432,-0.10223,0.032717,0.077711,0.12814,0.077711,-0.22947,4.0415,0.41763,0,0,0,0,0,0,5.4494,193.0508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,9.0625,78,18.4,3,6.1333,0.34244,0.25128,0.091166,0.03531,0.080443,0.13103,0.080443,-0.22769,4.0322,0.38418,0,0,0,0,1,0.16085,5.39,193.7919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,9.9,93,21.2667,3,7.0889,0.33081,0.24827,0.082544,0.037859,0.083122,0.13386,0.083122,-0.22589,4.0239,0.66804,0,0,0,0,0,0,5.3304,194.5331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,10.6,108,25.6,3,8.5333,0.42667,0.2453,0.18137,0.040369,0.085751,0.13662,0.085751,-0.22408,4.0168,0.069639,0,0,0,0,0,0,5.2708,195.2743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sand Beach,-999,11.35,123,24.8,3,8.2667,0.40832,0.24236,0.16596,0.042842,0.088336,0.13933,0.088336,-0.22226,4.0106,0.057221,0,0,0,0,0,0,5.2111,196.0155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
