AgeCE,T.anom500,T.priorCenturymean
400,0.17253,0.370807269
401,0.16235,0.368638992
402,0.16192,0.36668923
403,0.17096,0.365222794
404,0.18756,0.364442398
405,0.20861,0.364428042
406,0.23045,0.365100913
407,0.24956,0.366224972
408,0.2631,0.367448141
409,0.26924,0.368372497
410,0.26721,0.368634576
411,0.25719,0.367974418
412,0.24007,0.366276824
413,0.21723,0.363577477
414,0.19042,0.360037774
415,0.16164,0.35589916
416,0.13313,0.351432527
417,0.10721,0.346893814
418,0.08615,0.342494606
419,0.07184,0.338387032
420,0.06556,0.3346612
421,0.06773,0.331348335
422,0.07788,0.32842684
423,0.09483,0.325830156
424,0.11697,0.323457176
425,0.14258,0.321186988
426,0.17016,0.318899474
427,0.19846,0.316498484
428,0.22639,0.313933454
429,0.25281,0.311213454
430,0.27627,0.308408207
431,0.295,0.305634445
432,0.30707,0.303029989
433,0.310828,0.300721751
434,0.305454,0.298795652
435,0.2914,0.297276652
436,0.27052,0.296123544
437,0.24585,0.295239088
438,0.2209,0.294491593
439,0.19884,0.293742484
440,0.18167,0.292872583
441,0.16976,0.291801692
442,0.16191,0.290498722
443,0.15588,0.288981633
444,0.14936,0.287309563
445,0.14085,0.285568346
446,0.13038,0.283853811
447,0.1196,0.282254702
448,0.11142,0.280839355
449,0.10906,0.279646682
450,0.11506,0.278685494
451,0.13031,0.277939058
452,0.15366,0.277375791
453,0.18199,0.276960841
454,0.21089,0.276664504
455,0.23571,0.276464504
456,0.25263,0.276340643
457,0.25959,0.276264702
458,0.25667,0.276189652
459,0.24598,0.276044603
460,0.23092,0.275738563
461,0.21519,0.275174108
462,0.2017,0.27426688
463,0.19182,0.272965187
464,0.18511,0.271262751
465,0.17965,0.269200128
466,0.1729,0.266855296
467,0.16275,0.264327009
468,0.14843,0.261716969
469,0.13105,0.259117374
470,0.11337,0.25660479
471,0.09916,0.254241018
472,0.09208,0.252075483
473,0.09465,0.250145681
474,0.10752,0.248473305
475,0.12924,0.247056275
476,0.15669,0.245862414
477,0.18579,0.244828453
478,0.21243,0.243867949
479,0.23324,0.242886968
480,0.24605,0.241803265
481,0.25007,0.240562374
482,0.24571,0.239144011
483,0.23434,0.2375571
484,0.21797,0.235824853
485,0.19896,0.233965512
486,0.17966,0.231974849
487,0.16219,0.22981768
488,0.14802,0.227429149
489,0.13779,0.22472705
490,0.13109,0.221629772
491,0.12664,0.218076851
492,0.12256,0.214045762
493,0.11694,0.209562594
494,0.10839,0.204703584
495,0.0964,0.199586455
496,0.08146,0.19435299
497,0.06489,0.189145366
498,0.04835,0.184079228
499,0.03345,0.179221505
500,0.05918,0.17495101
501,0.05929,0.173829822
502,0.0623,0.172839228
503,0.06808,0.171910119
504,0.07715,0.170981307
505,0.0904,0.170019327
506,0.10852,0.169028337
507,0.13114,0.168045069
508,0.15638,0.167122495
509,0.18094,0.16630903
510,0.20086,0.165632
511,0.21274,0.165092693
512,0.21498,0.164674772
513,0.20857,0.164362891
514,0.19708,0.164163386
515,0.18573,0.16411695
516,0.17988,0.164297545
517,0.1834,0.164795267
518,0.19745,0.165688733
519,0.22013,0.167015267
520,0.24709,0.168750416
521,0.2728,0.170802297
522,0.29223,0.173025069
523,0.302098,0.17524505
524,0.301615,0.177292426
525,0.29229,0.179028267
526,0.27717,0.180360842
527,0.25973,0.181247673
528,0.24295,0.181688168
529,0.22881,0.181712129
530,0.21829,0.181370347
531,0.21174,0.180731436
532,0.20921,0.17988203
533,0.21061,0.17892698
534,0.21546,0.177982743
535,0.22239,0.177160327
536,0.22887,0.176541218
537,0.23126,0.176152505
538,0.22553,0.175951317
539,0.20857,0.175829238
540,0.17945,0.175637257
541,0.14035,0.175228149
542,0.09654,0.174503198
543,0.05525,0.173447158
544,0.02382,0.172139634
545,0.0076,0.170736069
546,0.00842,0.169424881
547,0.0241,0.168372604
548,0.04932,0.167676762
549,0.07746,0.167340525
550,0.10275,0.16727805
551,0.12204,0.167347158
552,0.13561,0.167399634
553,0.14663,0.16733003
554,0.15981,0.167110426
555,0.17948,0.166799436
556,0.20797,0.166524782
557,0.24467,0.16644597
558,0.28618,0.166709238
559,0.327118,0.167406743
560,0.361622,0.168551713
561,0.384842,0.170075693
562,0.3941729,0.171847801
563,0.389958,0.173711742
564,0.375533,0.175530682
565,0.35662,0.177228801
566,0.340145,0.17881786
567,0.332643,0.180399474
568,0.338547,0.182140039
569,0.358755,0.184222464
570,0.3899189,0.186785523
571,0.424815,0.189869137
572,0.453916,0.193381572
573,0.467886,0.197102424
574,0.460392,0.200723632
575,0.430375,0.203920216
576,0.383005,0.206432741
577,0.328847,0.208137265
578,0.28137,0.209083602
579,0.25339,0.209489147
580,0.25354,0.209690137
581,0.28381,0.210063998
582,0.338868,0.210943186
