site.name,SITE_ID,cm.top,age.top,char.count,char.Vol,char.con,char.acc,char.bkg,char.peak,thresh1,thresh2,thresh3,thresh.final.pos,thresh.final.neg,SNI,thresh.GOF,peaks1,peaks2,peaks3,peaks.final,peaks.insig,peak.mag,sm.peak.freq,smFRI,nFRIs,mFRI.yr,mFRI.uCI,mFRI.lCI,WBLb.yr,WBLb.uCI,WBLb.lCI,WBLc,WBLc.uCI,WBLc_lCI
Beaver ,2,18,-61,17,6,2.8333,0.10897,0.089815,0.01916,0.0027337,0.010357,0.018902,0.010357,-0.041688,2.6264,0.20732,0,1,1,1,0,0.15845,3.7416,NaN,6,330,153,561,358.1683,165.052,626.8932,1.3264,1.0301,3.914
Beaver ,2,18.6923,-43,14.2222,6,2.3704,0.091168,0.08526,0.0059079,0.0031749,0.010805,0.019359,0.010805,-0.04129,2.6562,0.70479,1,0,0,0,0,0,3.5874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beaver ,2,19.3846,-25,12,6,2,0.076607,0.080713,-0.0041061,0.0036109,0.011248,0.019808,0.011248,-0.04089,2.6856,0.45338,0,0,0,0,0,0,3.4347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beaver ,2,20.0741,-7,12,6,2,0.074074,0.076163,-0.0020888,0.0040345,0.011675,0.020238,0.011675,-0.040486,2.7149,0.82287,0,0,0,0,0,0,3.2837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beaver ,2,20.7407,11,7.7222,6,1.287,0.048788,0.071602,-0.022814,0.0044391,0.012078,0.02064,0.012078,-0.040072,2.7447,0.7001,0,0,0,0,0,0,3.1345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beaver ,2,21.4231,29,5.1667,6,0.86111,0.032915,0.067023,-0.034108,0.00482,0.012451,0.021004,0.012451,-0.039645,2.7754,0.48766,0,0,0,0,0,0,2.9871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beaver ,2,22.1111,47,6,6,1,0.037037,0.062428,-0.02539,0.0051745,0.01279,0.021327,0.01279,-0.039205,2.8071,0.743,0,0,0,0,0,0,2.8419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beaver ,2,22.7778,65,12.6667,6,2.1111,0.080194,0.057829,0.022365,0.005503,0.013097,0.021609,0.013097,-0.038748,2.84,0.70081,0,0,0,0,0,0,2.6989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beaver ,2,23.4615,83,14.8889,6,2.4815,0.095442,0.053255,0.042187,0.0058088,0.013374,0.021854,0.013374,-0.038277,2.8741,0.62137,0,0,1,0,0,0,2.5583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beaver ,2,24.1538,101,11,6,1.8333,0.070513,0.04874,0.021772,0.006101,0.013634,0.022077,0.013634,-0.037794,2.909,0.37237,0,0,0,0,0,0,2.4203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
