Year,Ecoreg_tot_AreaBurned_ha,Ecoreg_subalp_AreaBurned_ha,Focal_tot_AreaBurned_ha,Focal_subalp_AreaBurned_ha,Ecoreg_tot_area_ha,Ecoreg_subalp_area_ha,Focal_tot_area_ha,Focal_subalp_area_ha
1984,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1985,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1986,1650.179879,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1987,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1988,2540.238721,660.78,1671.51309,660.78,7817464.262,2575623.6,5121480.196,1395869.94
1989,2222.799307,0.36,1726.712612,0.18,7817464.262,2575623.6,5121480.196,1395869.94
1990,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1991,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1992,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1993,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1994,5327.791217,1118.25,1304.916885,1116.54,7817464.262,2575623.6,5121480.196,1395869.94
1995,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1996,6960.780756,2.7,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1997,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1998,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
1999,575.7337405,0.27,575.7337405,0.27,7817464.262,2575623.6,5121480.196,1395869.94
2000,9487.085482,279.54,4814.497657,271.62,7817464.262,2575623.6,5121480.196,1395869.94
2001,2852.935354,547.74,580.7614035,547.74,7817464.262,2575623.6,5121480.196,1395869.94
2002,104572.4412,29248.2,26286.20106,22605.12,7817464.262,2575623.6,5121480.196,1395869.94
2003,1857.667358,31.86,1307.960493,31.77,7817464.262,2575623.6,5121480.196,1395869.94
2004,4860.823445,0.63,3647.637869,0.63,7817464.262,2575623.6,5121480.196,1395869.94
2005,808.0153523,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
2006,4245.397299,220.14,499.6422167,220.14,7817464.262,2575623.6,5121480.196,1395869.94
2007,513.5030433,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
2008,447.7681767,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
2009,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
2010,2373.537102,19.89,2373.537102,19.89,7817464.262,2575623.6,5121480.196,1395869.94
2011,8736.72134,45.54,1819.236003,45.45,7817464.262,2575623.6,5121480.196,1395869.94
2012,99104.43024,9282.78,42122.44031,6722.46,7817464.262,2575623.6,5121480.196,1395869.94
2013,2474.321689,0,533.8336998,0,7817464.262,2575623.6,5121480.196,1395869.94
2014,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
2015,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
2016,21803.55408,16797.24,21803.55408,16797.24,7817464.262,2575623.6,5121480.196,1395869.94
2017,3911.294649,2955.06,3911.294649,2955.06,7817464.262,2575623.6,5121480.196,1395869.94
2018,52889.41499,23413.41,31288.8779,19957.86,7817464.262,2575623.6,5121480.196,1395869.94
2019,0,0,0,0,7817464.262,2575623.6,5121480.196,1395869.94
2020,266046.411,184358.25,252921.7966,180858.33,7817464.262,2575623.6,5121480.196,1395869.94
