age_CE,BIG002A_raw,BIG002B_raw,BIG003A_raw,BIG003B_raw,BIG005A_raw,BIG005B_raw,BIG011A_raw,BIG011B_raw,BIG015A_raw,BIG015B_raw,BIG018A_raw,BIG018B_raw,BIG020A_raw,BIG020B_raw,BIG002A_raw_outlier_flag,BIG002B_raw_outlier_flag,BIG003A_raw_outlier_flag,BIG003B_raw_outlier_flag,BIG005A_raw_outlier_flag,BIG005B_raw_outlier_flag,BIG011A_raw_outlier_flag,BIG011B_raw_outlier_flag,BIG015A_raw_outlier_flag,BIG015B_raw_outlier_flag,BIG018A_raw_outlier_flag,BIG018B_raw_outlier_flag,BIG020A_raw_outlier_flag,BIG020B_raw_outlier_flag
1862,NA,NA,NA,NA,3.33,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1863,NA,NA,NA,NA,3.31,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1864,NA,NA,NA,NA,2.87,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1865,NA,NA,NA,NA,1.86,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1866,NA,NA,NA,NA,3.74,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1867,NA,NA,NA,NA,2.26,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1868,NA,NA,NA,NA,2.41,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1869,NA,NA,NA,NA,3,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1870,NA,NA,NA,NA,2.72,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1871,NA,NA,NA,NA,3.14,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1872,NA,NA,NA,NA,3.76,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1873,NA,NA,NA,NA,2.24,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1874,NA,NA,NA,NA,2.88,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1875,NA,NA,NA,NA,3.24,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1876,NA,NA,NA,NA,2.34,2.96,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
1877,NA,NA,NA,NA,2.52,2.61,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
1878,NA,NA,NA,NA,4.03,3.98,0.63,NA,1.92,1.98,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1879,NA,NA,NA,NA,2.18,2.81,0.53,NA,1.38,1.51,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1880,NA,NA,NA,NA,1.77,1.71,0.46,NA,1.38,1.06,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1881,NA,NA,NA,NA,1.82,1.65,0.49,NA,1.39,1.64,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1882,NA,NA,NA,NA,1.82,2.05,0.5,NA,1.15,1.59,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1883,NA,NA,NA,NA,2.14,2.32,0.6,NA,1.6,1.79,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1884,NA,NA,NA,NA,1.88,2.57,0.84,NA,1.29,1.76,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1885,NA,NA,NA,NA,2.48,3.15,1.46,NA,1.29,2.16,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1886,NA,NA,NA,NA,1.47,1.88,0.8,NA,1.07,1.27,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1887,NA,NA,NA,NA,2.07,2.25,0.84,NA,1.64,1.35,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1888,NA,NA,NA,NA,2.43,3.21,1.23,NA,1.57,1.16,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA
1889,NA,NA,NA,NA,2.76,2.94,1.58,1.36,1.22,1.52,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1890,NA,NA,NA,NA,2.51,2.81,1.63,1.4,0.91,0.95,3.26,3.74,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA
1891,NA,NA,NA,NA,2.24,2.38,1.31,1.58,0.87,0.87,2.69,2.73,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1892,NA,NA,NA,NA,1.68,1.85,1.14,1.65,0.99,0.88,1.19,1.61,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1893,NA,NA,NA,NA,1.88,1.95,1.46,1.54,1.08,0.73,1.74,2.07,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1894,NA,NA,NA,NA,1.76,1.8,1.07,1.15,1.19,0.83,1.5,1.62,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1895,NA,NA,NA,NA,1.55,1.59,1.14,1.17,1.06,0.6,1.62,1.61,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1896,NA,NA,NA,NA,1.47,2.08,1.38,1.18,1.06,0.69,1.76,1.68,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1897,NA,NA,NA,NA,1.33,1.6,2.12,1.67,0.97,0.57,1.99,2.01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1898,NA,NA,NA,NA,2.69,3.01,3.09,2.36,1.58,1.33,3.01,2.75,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA
1899,NA,NA,NA,NA,2.76,3.24,2.68,2.11,1.57,1.34,3.21,3.23,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA
1900,NA,NA,NA,NA,1.6,2.22,1.75,1.44,0.83,0.73,1.53,1.44,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1901,NA,NA,NA,NA,1.49,2.02,1.52,1.57,1.17,1.06,1.78,1.68,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1902,NA,NA,NA,NA,1.1,2.23,1.49,1.54,0.85,1.12,1.16,1.18,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1903,NA,NA,NA,NA,2.64,3.83,2.26,2.1,1.44,1.77,2.19,2.3,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1904,NA,NA,NA,NA,1.27,2.57,1.1,1.16,0.48,0.74,1.45,1.34,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1905,NA,NA,NA,NA,1.37,2.46,1.24,1.44,1.03,1.21,1.58,1.28,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1906,NA,NA,NA,NA,1.09,2.18,1.03,1.32,1.2,1.44,1.19,1.14,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1907,NA,NA,NA,NA,2.13,2.64,1.71,1.68,1.45,1.79,2.21,1.82,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1908,NA,NA,NA,NA,1.94,2.4,2.22,1.76,1.65,1.56,2.61,1.96,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1909,NA,NA,NA,NA,1.35,1.73,1.31,1.63,0.91,1.06,1.69,1.33,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1910,NA,NA,NA,NA,1.09,1.12,0.83,1.17,0.78,0.51,1.37,1.04,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1911,NA,NA,NA,NA,1.38,2.03,1.33,1.51,0.89,0.75,1.95,1.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1912,NA,NA,NA,NA,1.43,2.08,1.53,1.64,1.28,1.27,2.38,1.6,2.62,2.85,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,NA,NA,NA,NA,1.66,2.2,1.75,1.47,1.19,1.22,2.26,1.99,3.56,3.35,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1914,NA,NA,NA,NA,2.11,2.96,2.16,1.77,1.9,1.74,2.29,2.4,3.63,2.82,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1915,NA,NA,NA,NA,0.9,1.56,1.18,1.33,1.06,0.95,1.32,1.31,2.33,1.6,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,NA,NA,NA,NA,1.4,2.18,1.39,1.57,1.79,1.23,1.59,2.15,3.46,1.98,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,NA,NA,NA,NA,1.6,1.91,1.52,1.83,1.78,1.37,1.72,1.97,3.35,2.35,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,NA,NA,NA,NA,0.84,1.27,1.14,1.3,1.23,0.86,1.01,1.06,2.58,1.62,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,NA,NA,NA,NA,1.45,1.52,1.14,1.4,1.45,1.39,1.27,1.55,2.47,2.19,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,NA,NA,NA,NA,1.25,1.25,1.23,1.42,1.34,1.19,1.71,1.75,2.64,2.29,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,NA,NA,NA,NA,0.86,1.23,0.96,1.02,0.78,0.84,1.06,1.07,2.2,1.85,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,NA,NA,NA,NA,0.9,1.51,0.61,0.72,1.01,0.97,1.06,1.06,2.2,1.81,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,NA,NA,NA,NA,0.63,1.11,0.68,0.83,0.61,0.57,0.82,1.02,1.97,1.9,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,NA,NA,NA,NA,0.85,1.11,0.76,0.76,0.93,0.71,1.16,1.28,1.74,1.92,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,NA,NA,NA,NA,0.96,1.31,0.84,1.06,1.12,0.95,1.17,1.23,2.09,2.38,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,NA,NA,NA,NA,0.62,0.78,0.72,1.01,0.87,0.79,0.89,0.83,2,1.99,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,NA,NA,NA,NA,0.71,0.8,0.8,1.23,1.1,0.95,1,0.79,1.94,1.95,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,NA,NA,NA,NA,0.69,0.76,0.6,1.18,0.95,0.72,0.88,0.77,1.87,1.47,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,NA,NA,NA,NA,0.71,0.72,0.5,0.84,1.03,0.92,1.31,0.9,1.95,1.62,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,NA,NA,NA,NA,0.95,1.1,1.1,1.27,1.23,0.99,1.56,1.35,1.65,1.53,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,NA,NA,NA,NA,0.96,1.33,1.07,1.28,1.27,1.06,1.62,1.64,1.96,1.86,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,NA,NA,NA,NA,0.9,1.01,0.83,0.9,1.18,0.9,1.2,1.43,1.74,1.63,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,NA,NA,NA,NA,0.78,1.09,0.95,1.19,1.28,1.04,0.76,1,1.3,1.64,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,NA,NA,NA,NA,0.36,0.47,0.25,0.33,0.94,0.49,0.28,0.62,1.19,1.24,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,NA,NA,NA,NA,0.7,0.95,0.98,1.19,1.84,1.15,0.77,0.98,1.65,1.77,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,NA,NA,NA,NA,0.25,0.48,0.44,0.8,0.96,0.81,0.45,0.46,1.91,1.61,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,NA,NA,NA,NA,0.37,0.36,0.38,0.71,0.91,0.82,0.37,0.4,1.39,1.22,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
