age_CE,MDS-02A_raw,MDS-02B_raw,MCS-03A_raw,MDS-03B_raw,MDS-04A_raw,MDS-04B_raw,MDS-06A_raw,MDS-06B_raw,MDS-07A_raw,MDS-07B_raw,MDS-02A_raw_outlier_flag,MDS-02B_raw_outlier_flag,MCS-03A_raw_outlier_flag,MDS-03B_raw_outlier_flag,MDS-04A_raw_outlier_flag,MDS-04B_raw_outlier_flag,MDS-06A_raw_outlier_flag,MDS-06B_raw_outlier_flag,MDS-07A_raw_outlier_flag,MDS-07B_raw_outlier_flag
1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1876,NA,NA,NA,NA,NA,NA,2.062,NA,NA,3.818,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
1877,NA,NA,NA,1.899,2.377,NA,1.767,NA,NA,2.777,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1878,NA,NA,NA,2.491,1.581,NA,1.712,NA,NA,1.466,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1879,NA,NA,NA,3.35,2.181,NA,2.09,NA,NA,2.575,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1880,NA,NA,NA,2.596,1.321,NA,1.572,NA,NA,1.745,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE
1881,NA,NA,NA,5.472,2.567,NA,1.731,NA,NA,3.625,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,FALSE
1882,NA,NA,NA,4.491,2.04,2.385,2.19,NA,NA,2.946,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1883,NA,NA,NA,2.992,1.446,1.713,2.202,NA,NA,2.79,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1884,NA,NA,NA,3.184,1.505,1.652,1.779,NA,NA,2.867,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1885,NA,NA,NA,3.083,1.945,1.611,2.056,NA,NA,2.982,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1886,NA,NA,3.694,2.984,1.64,1.781,2.291,NA,NA,2.278,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1887,NA,NA,3.986,3.222,1.219,1.496,2.698,NA,NA,2.74,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1888,NA,NA,4.238,3.094,1.91,2.274,2.772,NA,NA,3.902,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1889,NA,NA,3.241,2.667,1.911,2.258,2.755,NA,NA,3.353,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1890,NA,NA,2.665,2.505,1.468,2.069,2.245,NA,NA,3.072,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1891,NA,NA,3.355,2.668,1.467,2.87,2.555,NA,NA,2.792,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1892,NA,NA,4.276,3.26,1.881,2.886,3.039,NA,NA,2.948,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1893,NA,NA,3.702,2.909,1.462,1.786,2.959,NA,NA,2.47,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1894,NA,NA,5.534,3.835,3.199,3.463,4.08,NA,NA,3.071,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE
1895,NA,NA,4.251,2.899,2.192,2.176,3.305,NA,3.777,2.364,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1896,NA,NA,3.718,2.766,1.923,1.746,2.077,NA,3.411,1.815,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1897,NA,NA,4.715,3.59,2.941,2.729,2.637,NA,3.877,2.292,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1898,NA,NA,3.135,2.919,2.072,2.184,2.985,NA,2.731,2.074,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1899,NA,NA,2.541,2.155,0.966,1.992,2.152,NA,2.524,1.907,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1900,NA,NA,2.644,2.639,1.645,2.711,2.705,NA,3.153,2.412,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1901,NA,NA,1.967,1.745,2.159,2.042,2.301,NA,2.749,1.746,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
