age_CE,RIMR0010_raw,RIMR0020_raw,RIMR0030_raw,RIMR0040_raw,RIMR0050_raw,RIMR0060_raw,RIMR0070_raw,RIMR0080_raw,RIMRCH00_raw,RIMR0010_raw_outlier_flag,RIMR0020_raw_outlier_flag,RIMR0030_raw_outlier_flag,RIMR0040_raw_outlier_flag,RIMR0050_raw_outlier_flag,RIMR0060_raw_outlier_flag,RIMR0070_raw_outlier_flag,RIMR0080_raw_outlier_flag,RIMRCH00_raw_outlier_flag
1885,NA,NA,1.73,NA,NA,NA,NA,NA,1.73,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1886,NA,NA,1.47,NA,NA,NA,NA,NA,1.47,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1887,NA,NA,0.58,NA,NA,NA,NA,NA,0.58,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1888,NA,NA,0.9,NA,NA,NA,NA,NA,0.9,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1889,NA,NA,0.52,NA,NA,NA,NA,NA,0.52,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1890,NA,NA,1.33,NA,NA,NA,NA,NA,1.33,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1891,NA,NA,0.99,NA,NA,NA,NA,NA,0.99,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1892,NA,NA,0.68,NA,NA,NA,NA,NA,0.68,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1893,NA,NA,0.78,NA,NA,NA,NA,NA,0.78,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1894,NA,NA,1.11,NA,NA,NA,NA,NA,1.11,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1895,NA,NA,1.02,NA,NA,NA,NA,NA,1.02,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1896,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1897,NA,NA,1.37,NA,NA,NA,NA,NA,1.37,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1898,NA,NA,1.74,NA,NA,NA,NA,NA,1.74,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1899,NA,NA,1.67,NA,NA,NA,NA,NA,1.67,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1900,NA,NA,1.9,NA,NA,NA,NA,NA,1.9,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1901,NA,NA,1.76,NA,NA,NA,NA,NA,1.76,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1902,NA,NA,1.34,NA,NA,NA,NA,NA,1.34,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1903,NA,NA,1.57,NA,NA,NA,NA,NA,1.57,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1904,NA,NA,1.86,NA,NA,NA,NA,NA,1.86,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1905,NA,NA,1.8,NA,NA,NA,NA,NA,1.8,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1906,NA,NA,1.23,NA,NA,NA,NA,NA,1.23,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1907,NA,NA,1.27,NA,NA,NA,NA,NA,1.27,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1908,NA,NA,1.56,NA,NA,NA,NA,NA,1.56,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1909,NA,NA,1.33,NA,NA,NA,NA,NA,1.33,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1910,NA,NA,1.2,NA,NA,NA,NA,NA,1.2,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1911,NA,NA,1.56,NA,NA,NA,NA,NA,3.6,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1912,NA,NA,1.5,NA,NA,NA,NA,NA,3.51,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1913,NA,NA,1.57,NA,NA,NA,NA,NA,3.25,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1914,NA,NA,1.51,NA,NA,NA,NA,NA,3.13,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1915,NA,NA,0.97,NA,NA,NA,NA,NA,2.18,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1916,NA,NA,0.96,NA,NA,NA,NA,NA,2.03,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1917,NA,NA,0.98,NA,NA,NA,NA,NA,1.84,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1918,NA,NA,1.01,NA,NA,NA,NA,NA,1.52,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1919,NA,NA,1.04,NA,NA,NA,NA,NA,1.96,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1920,2.73,NA,0.98,NA,NA,NA,NA,NA,1.86,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1921,2.65,NA,1.16,NA,NA,NA,NA,NA,1.91,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1922,2.51,NA,0.9,NA,NA,NA,NA,NA,1.71,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1923,2.24,NA,0.86,NA,NA,NA,NA,NA,1.55,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1924,2.38,NA,0.84,NA,NA,NA,NA,NA,1.61,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1925,2.13,NA,0.58,NA,NA,NA,NA,NA,1.36,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1926,2.37,NA,0.74,NA,NA,NA,NA,NA,1.56,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1927,3.04,NA,0.97,NA,NA,NA,NA,NA,2.01,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1928,2.98,NA,1.09,NA,NA,NA,NA,NA,2.04,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1929,2.57,2.82,0.86,NA,NA,NA,NA,NA,2.08,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1930,2.25,2.36,1.01,NA,NA,NA,NA,NA,1.87,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1931,1.91,4.18,1.03,NA,NA,NA,NA,NA,2.37,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1932,2.05,3.75,1.18,NA,NA,NA,NA,NA,2.33,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1933,3.34,3.61,1.33,NA,NA,NA,NA,NA,2.76,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1934,1.47,3.13,1.22,NA,NA,NA,NA,NA,1.94,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1935,2.1,2.29,1.15,NA,NA,NA,NA,NA,1.85,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1936,2.09,1.98,0.86,NA,NA,NA,NA,NA,1.64,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1937,3.05,2.22,0.87,NA,NA,NA,NA,NA,2.05,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1938,3.18,2.34,1.23,NA,NA,NA,NA,NA,2.25,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1939,2.7,2.14,0.95,NA,3.26,NA,NA,NA,2.26,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
1940,2.37,2.12,0.98,NA,3.03,NA,NA,NA,2.13,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
1941,2.83,1.98,0.96,NA,2.94,NA,NA,NA,2.18,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
1942,3.29,2.03,1.12,NA,2.76,NA,NA,NA,2.3,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
1943,2.41,1.95,0.96,NA,2.05,NA,2.32,NA,1.94,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1944,1.97,1.91,0.85,NA,1.27,NA,2.83,NA,1.77,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1945,2.19,2.28,0.88,NA,1.96,NA,2.86,NA,2.03,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1946,2.56,3.8,1.23,NA,3.06,NA,3.16,NA,2.76,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1947,3.12,3.49,1.35,NA,2.65,NA,3.36,NA,2.79,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE
1948,3.01,4.3,2,5.11,2.94,NA,4.16,NA,3.59,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE
1949,2.93,4.13,1.89,3.96,2.56,NA,3.51,NA,3.16,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE
1950,3.49,3.36,2.42,4.1,2.7,NA,3.76,NA,3.31,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE
1951,2.53,2.76,1.91,3.49,2.04,NA,3.32,4.18,2.89,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1952,1.84,2.18,1.59,2.96,1.74,NA,3.02,3.82,2.45,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1953,2.6,2.32,1.85,3.97,2.44,NA,3.35,4.2,2.96,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1954,2.08,2.5,1.67,3.16,2.41,NA,3.06,3.27,2.59,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1955,2.23,2.41,1.59,3.02,2.31,NA,2.9,3.41,2.55,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1956,1.99,1.9,1.53,2.54,2.31,NA,2.67,3.62,2.37,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1957,2.03,2.28,1.44,3.2,2.2,4.17,2.79,4.46,2.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,2.16,2.14,1.34,3.19,1.94,3.29,2.67,3.95,2.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,2.03,2.5,1.19,3.82,1.35,2.74,2.21,5,2.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,2.12,2.72,1.12,3.64,1.61,3.12,2.11,4.11,2.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,2.19,2.79,1.28,3.49,2.02,3.54,2.27,4.51,2.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,2.13,2.2,1.23,2.84,1.9,2.81,2.09,3.59,2.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,1.95,3.18,1.09,2.44,1.95,2.89,1.97,3.39,2.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,1.36,2.39,0.85,2.22,1.8,2.79,1.79,2.66,1.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,1.01,1.83,0.71,1.01,1.61,3.01,1.34,1.99,1.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,0.77,1.39,0.53,1.42,1.44,3.42,1.47,2.23,1.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,1.44,1.53,0.79,2.1,1.58,3.66,1.84,3.99,2.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,0.86,1.54,0.39,1.43,1.26,3.7,1.44,2.33,1.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,1.2,1.92,0.76,1.59,1.5,3.34,1.18,2.66,1.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.52,1.81,0.68,2.12,1.42,2.81,1.37,2.94,1.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,1.53,1.75,0.72,2.35,1.6,3.02,1.65,3.58,2.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,1.55,1.76,0.7,2.87,1.74,3.65,1.62,3.98,2.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,0.76,0.89,0.38,1.41,1.34,3.02,1.55,2.51,1.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,1.07,0.72,0.61,1.71,1.41,2.47,1.71,3.19,1.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,1.32,1.15,0.54,1.88,1.34,3.19,1.71,3.91,1.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,1.21,1.5,0.55,2.36,1.63,3.81,1.82,4.25,2.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,0.11,0.48,0.1,0.37,0.49,1.46,0.84,1.41,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.73,0.94,0.4,1.13,0.95,2.1,1.51,2.53,1.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,0.52,0.89,0.29,1.03,1.05,2.54,1.09,2.33,1.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,0.63,0.86,0.32,1.05,0.92,3.5,1.47,2.5,1.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,0.5,0.92,0.25,0.87,0.69,2.39,0.97,2.12,1.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
