age_CE,FHAB001A_raw,FHAB002B_raw,FHAB003B_raw,FHAB004B_raw,FHAB005A_raw,FHAB006B_raw,FHAB007B_raw,FHAB008A_raw,FHAB009A_raw,FHAB010A_raw,FHAB011A_raw,FHAB012B_raw,FHAB013A_raw,FHAB014A_raw,FHAB015A_raw,FHAB016B_raw,FHAB017B_raw,FHAB018B_raw,FHAB019B_raw,FHAB020A_raw,FHAB001A_raw_outlier_flag,FHAB002B_raw_outlier_flag,FHAB003B_raw_outlier_flag,FHAB004B_raw_outlier_flag,FHAB005A_raw_outlier_flag,FHAB006B_raw_outlier_flag,FHAB007B_raw_outlier_flag,FHAB008A_raw_outlier_flag,FHAB009A_raw_outlier_flag,FHAB010A_raw_outlier_flag,FHAB011A_raw_outlier_flag,FHAB012B_raw_outlier_flag,FHAB013A_raw_outlier_flag,FHAB014A_raw_outlier_flag,FHAB015A_raw_outlier_flag,FHAB016B_raw_outlier_flag,FHAB017B_raw_outlier_flag,FHAB018B_raw_outlier_flag,FHAB019B_raw_outlier_flag,FHAB020A_raw_outlier_flag
1756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
