tree,n_missing_total,n_missing_1980_on,n_outliers_total
801101_raw,1719,45,0
801102_raw,1757,45,4
801103_raw,1766,45,2
801106_raw,1833,45,3
801107_raw,1828,45,1
801113_raw,1919,45,0
801114_raw,1930,45,0
801117_raw,1935,45,0
801118_raw,1779,45,3
801119_raw,1950,45,1
801120_raw,1928,45,0
801123_raw,1936,45,1
801124_raw,1901,45,2
801126_raw,1893,45,2
801127_raw,1929,45,0
801128_raw,1947,45,0
801130_raw,1966,45,0
801134_raw,1973,45,0
801236_raw,1879,45,0
801237_raw,1855,45,0
801238_raw,1810,45,1
801241_raw,1867,45,1
801242_raw,1923,45,0
801244_raw,1887,45,0
801245_raw,1853,45,0
801246_raw,1837,45,5
801249_raw,1898,45,2
801250_raw,1855,45,0
803101_raw,1884,45,2
803202_raw,1887,45,1
803204_raw,1952,45,1
803207_raw,1862,45,2
803209_raw,1899,45,2
803211_raw,1920,45,0
803217_raw,1911,45,1
803221_raw,1933,45,0
813201_raw,1944,45,1
813204_raw,1856,45,0
813206_raw,1901,45,1
813111_raw,1912,45,2
816101_raw,1953,45,1
819201_raw,1914,45,1
820201_raw,1931,45,2
820105_raw,1928,45,2
820306_raw,1903,45,1
821301_raw,1792,45,2
821303_raw,1893,45,0
821307_raw,1931,45,1
821109_raw,1909,45,2
821110_raw,1966,45,0
823301_raw,1896,45,1
824301_raw,1905,45,3
825101_raw,1785,45,1
825102_raw,1795,45,0
825103_raw,1923,45,0
819319_raw,1876,45,3
819321_raw,1905,45,2
819324_raw,1923,45,2
819325_raw,1943,45,1
819328_raw,1907,45,0
819329_raw,1918,45,2
819331_raw,1866,45,3
819332_raw,1934,45,1
819333_raw,1938,45,0
819335_raw,1914,45,3
819336_raw,1926,45,0
828301_raw,1902,45,0
DCD011_raw,1550,34,4
DCD012_raw,1426,34,7
DCD041_raw,1476,34,14
DCD042_raw,1386,34,15
DCD091_raw,1439,45,18
DCD121_raw,1866,45,1
DCD311_raw,1786,35,3
DCD312_raw,1625,35,8
DCD313_raw,1681,35,6
DCD314_raw,1596,35,8
DCD321_raw,1674,35,6
DCD322_raw,1613,35,10
DCD331_raw,1700,35,3
DCD332_raw,1688,35,4
DCD341_raw,1768,35,5
DCD342_raw,1745,35,9
DCD351_raw,1652,35,6
DCD352_raw,1652,35,7
DCD361_raw,1577,35,10
DCD362_raw,1469,35,19
DCD363_raw,1521,35,19
DCD371_raw,1613,35,6
DCD372_raw,1517,35,8
DCD381_raw,1665,35,3
DCD382_raw,1675,35,9
DCD991_raw,1328,34,25
DCD992_raw,1323,34,21
ORN391_raw,1698,35,3
ORN392_raw,1687,35,2
ORN401_raw,1744,35,1
ORN402_raw,1767,35,2
ORN411_raw,1815,35,0
ORN412_raw,1798,35,3
ORN431_raw,1675,35,2
ORN432_raw,1682,35,3
ORN441_raw,1655,35,4
ORN442_raw,1754,45,0
ORN461_raw,1671,35,3
ORN462_raw,1677,35,2
ORN471_raw,1677,35,4
ORN472_raw,1680,36,4
ORN481_raw,1733,35,4
ORN482_raw,1742,35,3
ORN491_raw,1683,35,1
ORN492_raw,1657,35,3
ORN501_raw,1817,35,1
ORN502_raw,1816,35,1
ORN511_raw,1665,35,0
ORN512_raw,1680,35,2
ORN521_raw,1670,35,8
ORN522_raw,1740,45,0
ORN531_raw,1663,35,7
ORN532_raw,1648,35,7
