age_CE,FHMA01A_raw,FHMA02B_raw,FHMA03A_raw,FHMA04A_raw,FHMA05A_raw,FHMA06A_raw,FHMA07A_raw,FHMA08B_raw,FHMA09B_raw,FHMA10A_raw,FHMA11A_raw,FHMA14B_raw,FHMA15A_raw,FHMA16A_raw,FHMA01A_raw_outlier_flag,FHMA02B_raw_outlier_flag,FHMA03A_raw_outlier_flag,FHMA04A_raw_outlier_flag,FHMA05A_raw_outlier_flag,FHMA06A_raw_outlier_flag,FHMA07A_raw_outlier_flag,FHMA08B_raw_outlier_flag,FHMA09B_raw_outlier_flag,FHMA10A_raw_outlier_flag,FHMA11A_raw_outlier_flag,FHMA14B_raw_outlier_flag,FHMA15A_raw_outlier_flag,FHMA16A_raw_outlier_flag
1850,0.86,0.69,1.23,0.98,0.58,0.98,0.68,1.19,0.72,NA,0.81,1.39,NA,1.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1851,1.15,0.87,1.48,1.48,0.75,1.24,0.92,1.3,0.9,NA,1.13,1.6,NA,1.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1852,0.88,0.65,1.26,1.36,0.79,0.98,0.84,1.45,0.78,NA,0.85,1.37,NA,1.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1853,1.01,0.69,1.35,1.51,0.71,1.23,1.08,1.7,0.93,NA,0.91,1.12,NA,1.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1854,0.98,0.75,1.24,1.14,0.87,1.18,1.23,1.8,1.18,NA,0.98,1.44,NA,1.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1855,0.9,0.79,1.08,1.51,1.01,1.06,1.04,1.55,1.16,NA,0.85,1.22,NA,1.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1856,1.09,0.57,1.18,1.27,1.25,1.01,0.84,1.03,1,NA,0.7,1.16,1.51,1.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1857,1.3,0.85,1.57,1.37,1.08,1.19,1.08,1.19,1.26,NA,0.77,1.26,1.55,1.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1858,1.26,0.94,1.89,0.97,0.8,1.1,1.05,1.18,1.14,NA,0.58,1.39,1.45,1.59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1859,1.19,1.1,1.58,1.35,0.79,1.07,1,1.06,1.26,NA,0.65,1.16,1.8,1.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1860,1.45,0.9,1.56,1.52,0.75,1.29,0.69,1.02,1.45,NA,0.61,1.16,1.85,1.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1861,0.77,0.56,1.1,1.14,0.6,0.91,0.46,0.88,0.97,NA,0.51,1.15,1.73,1.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1862,1.17,0.83,1.36,1.05,0.87,1.05,0.69,0.88,1.2,NA,0.7,1.24,1.54,1.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1863,1.34,1.02,1.75,1.93,1.08,1.35,1.07,1.08,1.52,NA,0.84,1.65,1.96,2.25,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1864,0.73,0.78,1.45,0.77,0.61,1.17,0.71,1.04,1.32,NA,0.73,1.64,1.39,1.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1865,0.97,0.87,1.37,1.48,0.63,0.96,0.61,1.29,1.41,NA,0.78,1.35,1.35,2.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1866,0.78,0.69,1.1,1.15,0.52,0.62,0.57,0.93,0.9,NA,0.55,0.89,1.44,1.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1867,0.81,0.58,0.95,1.16,0.56,0.7,0.51,1.08,0.99,NA,0.33,1.1,1.34,1.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1868,1.03,0.7,1.01,1.46,0.67,0.75,0.9,1.15,1.17,NA,0.47,1.37,1.58,2.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1869,0.71,0.71,0.87,0.99,0.5,0.59,0.6,1.39,1,NA,0.45,0.83,1.21,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1870,0.76,0.76,0.86,0.59,0.5,0.58,0.54,1.36,0.78,NA,0.33,1.26,1.37,2.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
