tree,n_missing_total,n_missing_1980_on,n_outliers_total
734011_raw,83,41,10
734012_raw,83,41,8
734021_raw,83,41,7
734022_raw,101,41,8
734031_raw,280,41,2
734032_raw,284,41,2
734041_raw,270,41,2
734042_raw,263,41,0
734051_raw,85,41,5
734052_raw,254,41,3
734061_raw,111,41,6
734062_raw,119,41,6
734071_raw,210,41,4
734072_raw,137,41,6
734081_raw,41,41,10
734082_raw,84,41,10
734091_raw,127,41,7
734092_raw,76,41,7
734121_raw,168,41,11
734122_raw,161,41,9
734161_raw,157,45,2
734162_raw,142,41,2
734171_raw,306,41,1
734172_raw,296,41,2
