age_CE,HAM01A_raw,HAM01B_raw,HAM02A_raw,HAM02B_raw,HAM03A_raw,HAM03B_raw,HAM01A_raw_outlier_flag,HAM01B_raw_outlier_flag,HAM02A_raw_outlier_flag,HAM02B_raw_outlier_flag,HAM03A_raw_outlier_flag,HAM03B_raw_outlier_flag
1587,NA,NA,NA,NA,4.35,4.31,NA,NA,NA,NA,FALSE,FALSE
1588,NA,NA,NA,NA,4.73,5.01,NA,NA,NA,NA,FALSE,FALSE
1589,NA,NA,NA,NA,4.45,4.63,NA,NA,NA,NA,FALSE,FALSE
1590,NA,NA,NA,NA,5.13,5.5,NA,NA,NA,NA,FALSE,FALSE
1591,NA,NA,NA,NA,4.77,4.81,NA,NA,NA,NA,FALSE,FALSE
1592,NA,NA,NA,NA,5.27,5.39,NA,NA,NA,NA,FALSE,FALSE
1593,NA,NA,NA,NA,4.57,4.64,NA,NA,NA,NA,FALSE,FALSE
1594,NA,NA,NA,NA,4.7,4.79,NA,NA,NA,NA,FALSE,FALSE
1595,NA,NA,NA,NA,5.29,5.52,NA,NA,NA,NA,FALSE,FALSE
1596,NA,NA,NA,NA,5.14,5.05,NA,NA,NA,NA,FALSE,FALSE
1597,NA,NA,NA,NA,5.03,4.94,NA,NA,NA,NA,FALSE,FALSE
1598,NA,NA,NA,NA,5.71,5.62,NA,NA,NA,NA,FALSE,FALSE
1599,NA,NA,NA,NA,4.14,3.76,NA,NA,NA,NA,FALSE,FALSE
1600,NA,NA,NA,NA,5.1,5.26,NA,NA,NA,NA,FALSE,FALSE
1601,NA,NA,NA,NA,4.66,5.42,NA,NA,NA,NA,FALSE,FALSE
1602,NA,NA,NA,NA,3.76,4.11,NA,NA,NA,NA,FALSE,FALSE
1603,NA,NA,NA,NA,3.37,3.24,NA,NA,NA,NA,FALSE,FALSE
1604,NA,NA,NA,NA,3.54,3.69,NA,NA,NA,NA,FALSE,FALSE
1605,NA,NA,NA,NA,4.01,3.9,NA,NA,NA,NA,FALSE,FALSE
1606,NA,NA,NA,NA,4.78,4.79,NA,NA,NA,NA,FALSE,FALSE
1607,NA,NA,NA,NA,4,3.41,NA,NA,NA,NA,FALSE,FALSE
1608,NA,NA,NA,NA,4,4,NA,NA,NA,NA,FALSE,FALSE
1609,NA,NA,NA,NA,3.53,3.54,NA,NA,NA,NA,FALSE,FALSE
1610,NA,NA,NA,NA,4.02,3.59,NA,NA,NA,NA,FALSE,FALSE
1611,NA,NA,NA,NA,3.69,3.86,NA,NA,NA,NA,FALSE,FALSE
1612,NA,NA,NA,NA,3.21,3.52,NA,NA,NA,NA,FALSE,FALSE
1613,NA,NA,NA,NA,3.2,2.99,NA,NA,NA,NA,FALSE,FALSE
1614,NA,NA,NA,NA,2.98,2.79,NA,NA,NA,NA,FALSE,FALSE
1615,NA,NA,NA,NA,2.3,2.27,NA,NA,NA,NA,FALSE,FALSE
1616,NA,NA,NA,NA,2.75,2.5,NA,NA,NA,NA,FALSE,FALSE
1617,NA,NA,NA,NA,3.09,2.97,NA,NA,NA,NA,FALSE,FALSE
1618,NA,NA,NA,NA,2.44,1.97,NA,NA,NA,NA,FALSE,FALSE
1619,NA,NA,NA,NA,2.42,2.19,NA,NA,NA,NA,FALSE,FALSE
1620,NA,NA,NA,NA,2.53,2.4,NA,NA,NA,NA,FALSE,FALSE
1621,NA,NA,NA,NA,2.57,2.56,NA,NA,NA,NA,FALSE,FALSE
1622,NA,NA,NA,NA,2.83,3.16,NA,NA,NA,NA,FALSE,FALSE
1623,NA,NA,NA,NA,2.67,2.49,NA,NA,NA,NA,FALSE,FALSE
1624,NA,NA,NA,NA,2.62,2.51,NA,NA,NA,NA,FALSE,FALSE
1625,NA,NA,NA,NA,2.41,2.17,NA,NA,NA,NA,FALSE,FALSE
1626,NA,NA,NA,NA,2.15,1.82,NA,NA,NA,NA,FALSE,FALSE
1627,NA,NA,NA,NA,2.27,2.04,NA,NA,NA,NA,FALSE,FALSE
1628,NA,NA,NA,NA,2.16,2.02,NA,NA,NA,NA,FALSE,FALSE
1629,3.93,3.91,NA,NA,3.14,2.89,FALSE,FALSE,NA,NA,FALSE,FALSE
1630,2.53,2.58,NA,NA,2.77,2.49,FALSE,FALSE,NA,NA,FALSE,FALSE
1631,2.67,2.7,NA,NA,2.68,2.53,FALSE,FALSE,NA,NA,FALSE,FALSE
1632,3.76,3.82,NA,NA,3.41,2.86,FALSE,FALSE,NA,NA,FALSE,FALSE
1633,2.85,2.87,NA,NA,3.01,2.35,FALSE,FALSE,NA,NA,FALSE,FALSE
1634,2.51,2.53,NA,NA,2.75,2.64,FALSE,FALSE,NA,NA,FALSE,FALSE
1635,1.77,1.83,NA,NA,2.12,2.02,FALSE,FALSE,NA,NA,FALSE,FALSE
1636,3.49,3.52,NA,NA,2.67,2.39,FALSE,FALSE,NA,NA,FALSE,FALSE
1637,2.38,2.39,NA,NA,2.93,2.02,FALSE,FALSE,NA,NA,FALSE,FALSE
1638,2.92,3.03,NA,NA,3.28,2.68,FALSE,FALSE,NA,NA,FALSE,FALSE
1639,3.18,3.11,NA,NA,2.97,2.27,FALSE,FALSE,NA,NA,FALSE,FALSE
1640,3.43,3.33,NA,NA,2.42,2.4,FALSE,FALSE,NA,NA,FALSE,FALSE
1641,3.95,3.91,NA,NA,3.12,2.58,FALSE,FALSE,NA,NA,FALSE,FALSE
1642,3.26,3.23,NA,NA,2.48,2.17,FALSE,FALSE,NA,NA,FALSE,FALSE
1643,3.28,3.32,NA,NA,2.49,1.88,FALSE,FALSE,NA,NA,FALSE,FALSE
1644,3.75,3.71,NA,NA,2.33,1.89,FALSE,FALSE,NA,NA,FALSE,FALSE
1645,3.29,3.3,NA,NA,2.32,2.31,FALSE,FALSE,NA,NA,FALSE,FALSE
1646,4.34,3.8,NA,NA,2.46,2.37,FALSE,FALSE,NA,NA,FALSE,FALSE
1647,4.27,3.35,NA,NA,2.86,2.86,FALSE,FALSE,NA,NA,FALSE,FALSE
1648,4.28,3.36,NA,NA,2.93,2.57,FALSE,FALSE,NA,NA,FALSE,FALSE
1649,2.26,1.95,NA,NA,2.98,2.01,FALSE,FALSE,NA,NA,FALSE,FALSE
1650,2.8,2.32,NA,NA,2.67,2.41,FALSE,FALSE,NA,NA,FALSE,FALSE
1651,2.42,2.23,NA,NA,2.59,2.37,FALSE,FALSE,NA,NA,FALSE,FALSE
1652,2.82,2.66,NA,NA,3.22,2.98,FALSE,FALSE,NA,NA,FALSE,FALSE
1653,2.18,2.36,NA,NA,2.45,2.22,FALSE,FALSE,NA,NA,FALSE,FALSE
