"","years","Tag","Ring_width(mm)","LongW","LongE","LatN","LatS"
"84",1367,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"85",1368,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"86",1369,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"87",1370,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"88",1371,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"89",1372,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"90",1373,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"91",1374,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"92",1375,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"93",1376,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"94",1377,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"95",1378,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"96",1379,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"97",1380,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"98",1381,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"99",1382,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"100",1383,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"101",1384,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"102",1385,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"103",1386,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"104",1387,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"105",1388,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"106",1389,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"107",1390,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"108",1391,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"109",1392,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"110",1393,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"111",1394,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"112",1395,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"113",1396,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"114",1397,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"115",1398,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"116",1399,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"117",1400,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"118",1401,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"119",1402,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"120",1403,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"121",1404,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"122",1405,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"123",1406,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"124",1407,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"125",1408,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"126",1409,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"127",1410,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"128",1411,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"129",1412,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"130",1413,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"131",1414,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"132",1415,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"133",1416,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"134",1417,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"135",1418,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"136",1419,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"137",1420,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"138",1421,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"139",1422,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"140",1423,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"141",1424,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"142",1425,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"143",1426,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"144",1427,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"145",1428,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"146",1429,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"147",1430,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"148",1431,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"149",1432,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"150",1433,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"151",1434,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"152",1435,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"153",1436,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"154",1437,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"155",1438,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"156",1439,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"157",1440,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"158",1441,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"159",1442,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"160",1443,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"161",1444,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"162",1445,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"163",1446,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"164",1447,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"165",1448,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"166",1449,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"167",1450,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"168",1451,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"169",1452,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"170",1453,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"171",1454,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"172",1455,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"173",1456,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"174",1457,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"175",1458,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"176",1459,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"177",1460,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"178",1461,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"179",1462,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"180",1463,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"181",1464,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"182",1465,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"183",1466,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"184",1467,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
