id1,id2,lat,long,elev
TO04,1,46.7404328,-121.8883492,681
AG05,2,46.7473436,-121.8043788,940
AV06,3,46.77629794,-121.7842335,1069
AM16,4,46.7686046,-121.757518,1206
AE10,5,46.76820597,-121.7432644,1455
PARA,6,46.77645454,-121.7323181,1620
TA01,7,46.74125599,-121.5580695,709
AO03,8,46.82679491,-121.5481655,906
AB08,9,46.92012097,-121.5372401,1061
SUNR,10,46.92860325,-121.6550646,1817
AR07,11,46.77625738,-121.7479238,1483
AX15,12,46.75028896,-121.8246074,1105
TB13,13,46.74041198,-121.8480313,856
